name,price,image,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,rating
Intel Core Ultra 5 225F,133.97,https://cdna.pcpartpicker.com/static/forever/images/product/4ac0c32ed331c672ee51af4d468f3d72.1600.jpg,10,3.3 GHz,4.9 GHz,Arrow Lake,65 W,None,5
Intel Core i3-12100F,79.99,,4,3.3 GHz,4.3 GHz,Alder Lake,58 W,None,4.5
AMD Ryzen 7 8700G,226.99,https://cdna.pcpartpicker.com/static/forever/images/product/e5ca60dc2137886fac6e13e30aad8ed9.256p.jpg,8,4.2 GHz,5.1 GHz,Zen 4,65 W,Radeon 780M,5
Intel Core i7-12700K,258.94,,12,3.6 GHz,5 GHz,Alder Lake,125 W,Intel UHD Graphics 770,4.5
AMD Ryzen 5 5600GT,136.99,https://cdna.pcpartpicker.com/static/forever/images/product/7a6babfed0885332f51c70772687fcd1.1600.jpg,6,3.6 GHz,4.6 GHz,Zen 3,65 W,Radeon Vega 7,4
Intel Core i9-14900KF,399.98,https://cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.1600.jpg,24,3.2 GHz,6 GHz,Raptor Lake Refresh,125 W,None,4.5
Intel Core i3-14100F,89.99,https://cdna.pcpartpicker.com/static/forever/images/product/874cc0e600bde06d75755309677a87e2.1600.jpg,4,3.5 GHz,4.7 GHz,Raptor Lake Refresh,58 W,None,5
Intel Core i7-14700F,305.99,https://cdna.pcpartpicker.com/static/forever/images/product/367d869b80f32e8faa3075378677e28e.1600.jpg,20,2.1 GHz,5.4 GHz,Raptor Lake Refresh,65 W,None,5
AMD Ryzen 5 8600G,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/d5ae2e9f000a9c994f70e092b05c80ef.1600.jpg,6,4.3 GHz,5 GHz,Zen 4,65 W,Radeon 760M,4.5
AMD Ryzen 5 2600,128,,6,3.4 GHz,3.9 GHz,Zen+,65 W,None,4.5
AMD Ryzen 9 7950X3D,590.99,https://cdna.pcpartpicker.com/static/forever/images/product/4f8b13807b9b9e2ab921ddb6e6e81afb.1600.jpg,16,4.2 GHz,5.7 GHz,Zen 4,120 W,Radeon,4.5
Intel Core i7-9700K,162.66,,8,3.6 GHz,4.9 GHz,Coffee Lake Refresh,95 W,Intel UHD Graphics 630,4.5
Intel Core i9-12900K,364.99,,16,3.2 GHz,5.2 GHz,Alder Lake,125 W,Intel UHD Graphics 770,4.5
AMD Ryzen 5 4500,62.99,,6,3.6 GHz,4.1 GHz,Zen 2,65 W,None,4.5
Intel Core i5-12600K,197.47,,10,3.7 GHz,4.9 GHz,Alder Lake,125 W,Intel UHD Graphics 770,4.5
Intel Core i5-10400F,98.99,,6,2.9 GHz,4.3 GHz,Comet Lake,65 W,None,4.5
Intel Core i5-13400F,163.88,https://cdna.pcpartpicker.com/static/forever/images/product/17d82d241bff0efdd1c32fbcf9822c14.1600.jpg,10,2.5 GHz,4.6 GHz,Raptor Lake,65 W,None,4.5
AMD Threadripper 3990X,,,64,2.9 GHz,4.3 GHz,Zen 2,280 W,None,5
Intel Core i7-13700K,349.99,https://cdna.pcpartpicker.com/static/forever/images/product/2f3405387f23ab827695d966ea9f9682.1600.jpg,16,3.4 GHz,5.4 GHz,Raptor Lake,125 W,Intel UHD Graphics 770,4.5
Intel Core i5-14400,182.99,https://cdna.pcpartpicker.com/static/forever/images/product/be9f67b5c1dc033e0373e28beba6a220.1600.jpg,10,2.5 GHz,4.7 GHz,Raptor Lake Refresh,65 W,Intel UHD Graphics 730,5
AMD Ryzen 3 3200G,49,,4,3.6 GHz,4 GHz,Zen+,65 W,Radeon Vega 8,4.5
AMD Ryzen 5 3600X,170.99,,6,3.8 GHz,4.4 GHz,Zen 2,95 W,None,4.5
Intel Core i9-9900K,332,,8,3.6 GHz,5 GHz,Coffee Lake Refresh,95 W,Intel UHD Graphics 630,4.5
AMD Ryzen 5 5500X3D,,,6,3 GHz,4 GHz,Zen 3,105 W,None,5
AMD Ryzen 3 4100,51.99,,4,3.8 GHz,4 GHz,Zen 2,65 W,None,3.5
Intel Core i5-13600K,259.99,https://cdna.pcpartpicker.com/static/forever/images/product/535b5631a223b77657804c8144c1277e.1600.jpg,14,3.5 GHz,5.1 GHz,Raptor Lake,125 W,Intel UHD Graphics 770,4.5
Intel Core Ultra 5 245KF,139.99,https://cdna.pcpartpicker.com/static/forever/images/product/86f90b80222ce0831fa4c548b8af3df2.1600.jpg,14,4.2 GHz,5.2 GHz,Arrow Lake,125 W,None,5
AMD Ryzen 7 2700X,150,,8,3.7 GHz,4.3 GHz,Zen+,105 W,None,4.5
