name,price,image,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,rating
AMD A10-7850K,,,4,3.7 GHz,4 GHz,Steamroller,95 W,Radeon R7 (on-die),4.5
Intel Core 2 Quad Q6600,89.15,,4,2.4 GHz,,Core,100 W,None,3.5
AMD Threadripper 2920X,601.59,,12,3.5 GHz,4.3 GHz,Zen+,180 W,None,5
AMD 2650,,,2,1.45 GHz,,Jaguar,25 W,Radeon HD 8240,4.5
Intel Xeon E5-2697 V3,,,14,2.6 GHz,3.6 GHz,Haswell,145 W,None,5
Intel Xeon E3-1230 V3,,,4,3.3 GHz,3.7 GHz,Haswell,80 W,None,4.5
Intel Xeon E5-2698 V4,,,20,2.2 GHz,3.6 GHz,Broadwell,135 W,None,0
AMD Phenom II X6 1090T Black,299,,6,3.2 GHz,,K10,125 W,None,4
AMD Ryzen 5 PRO 7645,217.56,https://cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.1600.jpg,6,3.8 GHz,5.1 GHz,Zen 4,65 W,Radeon,0
AMD Athlon II X4 640,,,4,3 GHz,,K10,95 W,None,4.5
Intel Core i5-4430,,,4,3 GHz,,Haswell,84 W,Intel HD Graphics 4600,4.5
Intel Core i7-4820K,244.46,,4,3.7 GHz,3.9 GHz,Ivy Bridge,130 W,None,4.5
Intel Xeon E5-1620 V3,,,4,3.5 GHz,3.6 GHz,Haswell,140 W,None,4
Intel Core i5-4570T,158.01,,2,2.9 GHz,,Haswell,35 W,Intel HD Graphics 4600,3
Intel Xeon E5-1620 V4,39.97,,4,3.5 GHz,3.8 GHz,Broadwell,140 W,None,0
AMD A6-9500E,39.95,,2,3 GHz,3.4 GHz,Excavator,35 W,Radeon R5 (on die),0
Intel Core i5-3450S,,,4,2.8 GHz,,Ivy Bridge,65 W,Intel HD Graphics 2500,5
Intel Xeon E5-2690 V2,,,10,3 GHz,3.6 GHz,Ivy Bridge,130 W,None,5
AMD 3850,,,4,1.3 GHz,,Jaguar,25 W,Radeon HD 8280,3
Intel Xeon E5-2640 V4,,,10,2.4 GHz,3.4 GHz,Broadwell,90 W,None,4
Intel Core i5-2300,,,4,2.8 GHz,,Sandy Bridge,95 W,Intel HD Graphics 2000,4.5
Intel Core i5-3550,,,4,3.3 GHz,,Ivy Bridge,77 W,Intel HD Graphics 2500,4
AMD A4-3300,,,2,2.5 GHz,,Lynx,65 W,Radeon HD 6410D,0
Intel Core i5-7500T,216.39,,4,2.7 GHz,3.3 GHz,Kaby Lake,35 W,Intel HD Graphics 630,0
Intel Core i3-3240,58,,2,3.4 GHz,,Ivy Bridge,55 W,Intel HD Graphics 2500,4
Intel Pentium Gold G5400,,,2,3.7 GHz,,Coffee Lake,58 W,Intel UHD Graphics 610,4.5
Intel Core i7-9800X,,,8,3.8 GHz,4.5 GHz,Skylake,165 W,None,0
Intel Core i7-4790T,,,4,2.7 GHz,3.9 GHz,Haswell Refresh,45 W,None,0
Intel Core 2 Duo E7500,,,2,2.93 GHz,,Wolfdale,65 W,None,4.5
Intel Core i7-870,,,4,2.93 GHz,,Nehalem,95 W,None,4
Intel Xeon E5-2680 V2,,,10,2.8 GHz,3.6 GHz,Ivy Bridge,115 W,None,5
AMD A8-7600,,,4,3.1 GHz,3.8 GHz,Steamroller,65 W,Radeon R7 (on-die),4.5
AMD A8-9600,,,4,3.1 GHz,3.4 GHz,Excavator,65 W,Radeon R7 (on-die),0
AMD EPYC 4244P,,,6,3.8 GHz,5.1 GHz,Zen 4,65 W,Radeon,0
Intel Xeon E5-2643 V4,,,6,3.4 GHz,3.7 GHz,Broadwell,135 W,None,0
Intel Celeron G440,,,1,1.6 GHz,,Sandy Bridge,35 W,Intel HD Graphics,0
AMD FX-4300,,,4,3.8 GHz,,Piledriver,95 W,None,4
Intel Xeon E5-2690 V3,1644.8,,12,2.6 GHz,3.5 GHz,Haswell,135 W,None,5
Intel Core i3-10100T,,,4,3 GHz,3.8 GHz,Comet Lake,35 W,Intel UHD Graphics 630,0
Intel Core i3-13100T,,,4,2.5 GHz,4.2 GHz,Raptor Lake,35 W,Intel UHD Graphics 730,4
AMD A12-9800E,236.04,,4,3.1 GHz,3.8 GHz,Excavator,35 W,Radeon R7 (on-die),0
Intel Core i3-8350K,188,,4,4 GHz,,Coffee Lake,91 W,Intel UHD Graphics 630,4.5
Intel Core i7-3960X Extreme Edition,1049.98,,6,3.3 GHz,,Sandy Bridge,130 W,None,5
Intel Pentium G2020,,,2,2.9 GHz,,Ivy Bridge,55 W,Intel HD Graphics,4.5
Intel Celeron G3920,,,2,2.6 GHz,,Skylake,35 W,Intel HD Graphics 510,0
Intel Core i5-760,383,,4,2.8 GHz,,Nehalem,95 W,None,5
Intel Pentium E5700,30.99,,2,3 GHz,,Wolfdale,65 W,None,0
Intel Pentium Gold G5420,230.62,,2,3.8 GHz,,Coffee Lake,54 W,Intel UHD Graphics 610,0
Intel Xeon E5-2670 V2,,,10,2.5 GHz,3.3 GHz,Ivy Bridge,115 W,None,4
Intel Core i5-650,218.05,,2,3.2 GHz,,Westmere,73 W,Intel HD Graphics,4
Intel Xeon E3-1240 V3,,,4,3.4 GHz,3.8 GHz,Haswell,80 W,None,4.5
Intel Xeon E5-2687W V2,,,8,3.4 GHz,4 GHz,Ivy Bridge,150 W,None,0
Intel Xeon E5-2667 V2,,,8,3.3 GHz,4 GHz,Ivy Bridge,130 W,None,0
Intel Core i5-6500T,,,4,2.5 GHz,3.1 GHz,Skylake,35 W,Intel HD Graphics 530,5
Intel Xeon E5-2630,,,6,2.3 GHz,,Sandy Bridge,95 W,None,0
Intel Core i7-960,223.31,,4,3.2 GHz,,Nehalem,130 W,None,5
Intel Core i7-875K,643.21,,4,2.93 GHz,,Nehalem,95 W,None,5
AMD A10-6700,184.9,,4,3.7 GHz,,Piledriver,65 W,Radeon HD 8670D,4.5
Intel Core i5-9500F,166,,6,3 GHz,4.4 GHz,Coffee Lake Refresh,65 W,None,0
Intel Celeron 430,,,1,1.8 GHz,,Core,35 W,None,0
Intel Core 2 Duo E8600,,,2,3.33 GHz,,Wolfdale,65 W,None,4.5
Intel Core i5-2320,,,4,3 GHz,,Sandy Bridge,95 W,Intel HD Graphics 2000,4
Intel Pentium G3220,,,2,3 GHz,,Haswell,54 W,Intel HD Graphics,4.5
AMD A8-7650K,,,4,3.3 GHz,3.7 GHz,Steamroller,95 W,Radeon R7 (on-die),0
Intel Xeon E3-1240 V2,,,4,3.4 GHz,,Ivy Bridge,69 W,None,4
AMD Athlon 5370,,,4,2.2 GHz,,Jaguar,25 W,Radeon R3 (on die),0
Intel Core i5-6402P,,,4,2.8 GHz,3.4 GHz,Skylake,65 W,Intel HD Graphics 510,3.5
Intel Core i3-7350K,,,2,4.2 GHz,,Kaby Lake,60 W,Intel HD Graphics 630,4.5
AMD A6-7400K,,,2,3.5 GHz,3.9 GHz,Steamroller,65 W,Radeon R5 (on die),4
Intel Pentium E2160,95.42,,2,1.8 GHz,,Core,65 W,None,0
Intel Xeon E-2276G,800,,6,3.8 GHz,4.9 GHz,Coffee Lake Refresh,80 W,Intel HD Graphics P630,4
AMD Ryzen 5 PRO 7445,,,6,3.3 GHz,4.3 GHz,Zen 4,65 W,Radeon,0
AMD Ryzen 7 PRO 9745,,,8,3.8 GHz,5.4 GHz,Zen 5,65 W,Radeon,0
Intel Xeon E5-1650 V2,366.89,,6,3.5 GHz,3.9 GHz,Ivy Bridge,130 W,None,4
AMD FX-9370,260.56,,8,4.4 GHz,4.7 GHz,Piledriver,220 W,None,4
Intel Xeon E5-1660 V3,,,8,3 GHz,3.5 GHz,Haswell,140 W,None,5
Intel Core i5-661,135.19,,2,3.33 GHz,,Westmere,87 W,Intel HD Graphics,0
AMD Athlon II X2 270,,,2,3.4 GHz,,K10,65 W,None,4
Intel Core i7-2600S,,,4,2.8 GHz,,Sandy Bridge,65 W,Intel HD Graphics 2000,5
Intel Xeon E3-1245 V2,399.68,,4,3.4 GHz,,Ivy Bridge,77 W,Intel HD Graphics P4000,4
Intel Xeon E5-2660,,,8,2.2 GHz,3 GHz,Sandy Bridge,95 W,None,0
Intel Xeon E-2274G,349.95,,4,4 GHz,4.9 GHz,Coffee Lake Refresh,83 W,Intel HD Graphics P630,0
Intel Core i7-930,361.42,,4,2.8 GHz,,Nehalem,130 W,None,4.5
Intel Core i5-2400S,,,4,2.5 GHz,,Sandy Bridge,65 W,Intel HD Graphics 2000,0
Intel Core i5-3350P,,,4,3.1 GHz,,Ivy Bridge,69 W,None,4.5
AMD A10-6800K,,,4,4.1 GHz,,Piledriver,100 W,Radeon HD 8670D,4.5
Intel Xeon E3-1220 V3,,,4,3.1 GHz,3.5 GHz,Haswell,80 W,None,4.5
Intel Xeon E5-2640 V3,,,8,2.6 GHz,3.4 GHz,Haswell,90 W,None,0
Intel Core i3-6100T,,,2,3.2 GHz,,Skylake,35 W,Intel HD Graphics 530,0
Intel Xeon E3-1240L V5,,,4,2.1 GHz,3.2 GHz,Skylake,25 W,None,0
Intel Celeron G530,69.4,,2,2.4 GHz,,Sandy Bridge,65 W,Intel HD Graphics,4
Intel Core i5-750,198.99,,4,2.66 GHz,,Nehalem,95 W,None,4.5
Intel Xeon E3-1271 V3,,,4,3.6 GHz,4 GHz,Haswell Refresh,80 W,None,5
AMD Athlon X4 880K,,,4,4 GHz,4.2 GHz,Steamroller,95 W,None,4
Intel Xeon E5-2695 V4,,,18,2.1 GHz,3.3 GHz,Broadwell,120 W,None,0
Intel Xeon E5-2650L V4,334.43,,14,1.7 GHz,2.5 GHz,Broadwell,65 W,None,0
AMD Ryzen 5 PRO 9645,,,6,3.9 GHz,5.4 GHz,Zen 5,65 W,Radeon,0
Intel Xeon E5-2660 V4,,,14,2 GHz,3.2 GHz,Broadwell,105 W,None,5
Intel Xeon E5-2670,132.99,,8,2.6 GHz,3.3 GHz,Sandy Bridge,115 W,None,0
Intel Xeon E5-2620 V4,,,8,2.1 GHz,3 GHz,Broadwell,85 W,None,5
Intel Core i7-950,,,4,3.06 GHz,,Nehalem,130 W,None,4.5
AMD Phenom II X4 955 Black,,,4,3.2 GHz,,K10,125 W,None,4
Intel Core i7-880,,,4,3.06 GHz,,Nehalem,95 W,None,0
Intel Core i3-4130T,,,2,2.9 GHz,,Haswell,35 W,Intel HD Graphics 4400,4.5
Intel Core i3-3245,,,2,3.4 GHz,,Ivy Bridge,55 W,Intel HD Graphics 4000,5
Intel Xeon E5-2680 V3,,,12,2.5 GHz,3.3 GHz,Haswell,120 W,None,0
Intel Core i9-9820X,500.43,,10,3.3 GHz,4.1 GHz,Skylake,165 W,None,4.5
Intel Core i9-9900T,,,8,2.1 GHz,4.4 GHz,Coffee Lake Refresh,35 W,Intel UHD Graphics 630,0
Intel Xeon E-2288G,,,8,3.7 GHz,5 GHz,Coffee Lake Refresh,95 W,Intel HD Graphics P630,0
Intel Xeon E5-2660 V3,,,10,2.6 GHz,3.3 GHz,Haswell,105 W,None,0
Intel Pentium Gold G6405,81.73,,2,4.1 GHz,,Comet Lake,58 W,Intel UHD Graphics 610,0
Intel Core i3-9100T,,,4,3.1 GHz,3.7 GHz,Coffee Lake Refresh,35 W,Intel UHD Graphics 630,0
AMD Athlon X4 950,,,4,3.5 GHz,3.8 GHz,Excavator,65 W,None,3.5
AMD Athlon 220GE,,,2,3.4 GHz,,Zen,35 W,Radeon Vega 3,4.5
AMD Sempron 140,,,1,2.7 GHz,,K10,45 W,None,0
AMD A8-5500,,,4,3.2 GHz,,Piledriver,65 W,Radeon HD 7560D,4
Intel Core i5-3470S,,,4,2.9 GHz,,Ivy Bridge,65 W,Intel HD Graphics 2500,0
Intel Xeon E5-2650L V2,,,10,1.7 GHz,2.1 GHz,Ivy Bridge,70 W,None,0
Intel Core i5-4460S,,,4,2.9 GHz,3.4 GHz,Haswell Refresh,65 W,Intel HD Graphics 4000,0
Intel Core i9-7940X,,,14,3.1 GHz,4.4 GHz,Skylake,165 W,None,5
Intel Celeron G5925,,,2,3.6 GHz,,Comet Lake,58 W,Intel UHD Graphics 610,0
Intel Xeon E3-1241 V3,333.49,,4,3.5 GHz,3.9 GHz,Haswell Refresh,80 W,None,4.5
Intel Core i3-3250,,,2,3.5 GHz,,Ivy Bridge,55 W,Intel HD Graphics 2500,5
Intel Core i3-4340,,,2,3.6 GHz,,Haswell,54 W,Intel HD Graphics 4600,4.5
Intel Xeon E-2124,308.13,,4,3.3 GHz,4.3 GHz,Coffee Lake,71 W,None,0
Intel Pentium G6950,474.24,,2,2.8 GHz,,Westmere,73 W,Intel HD Graphics,0
AMD FX-4100,,,4,3.6 GHz,,Bulldozer,95 W,None,4
Intel Pentium G2120,,,2,3.1 GHz,,Ivy Bridge,55 W,Intel HD Graphics,4
Intel Xeon E5-1660 V2,,,6,3.7 GHz,4 GHz,Ivy Bridge,130 W,None,5
Intel Xeon E5-2650 V3,,,10,2.3 GHz,3 GHz,Haswell,105 W,None,0
Intel Core i5-3330S,193.43,,4,2.7 GHz,3.2 GHz,Ivy Bridge,65 W,Intel HD Graphics 2500,0
AMD EPYC 4245P,,,6,3.9 GHz,5.4 GHz,Zen 5,65 W,Radeon,0
AMD Opteron 6320,349.99,,8,2.8 GHz,3.3 GHz,Piledriver,115 W,None,0
Intel Core i5-6600T,,,4,2.7 GHz,3.5 GHz,Skylake,35 W,Intel HD Graphics 530,0
AMD Athlon II X2 250,,,2,3 GHz,,K10,65 W,None,0
Intel Pentium E2220,130.6,,2,2.4 GHz,,Core,65 W,None,0
Intel Celeron E3400,134.9,,2,2.6 GHz,,Wolfdale,65 W,None,0
Intel Xeon E5-1680 V3,,,8,3.2 GHz,3.8 GHz,Haswell,140 W,None,5
Intel Xeon E5-2620 V3,,,6,2.4 GHz,3.2 GHz,Haswell,85 W,None,0
AMD Opteron 6378,,,16,2.4 GHz,3.3 GHz,Piledriver,115 W,None,0
Intel Core i3-10305,,,4,3.8 GHz,4.5 GHz,Comet Lake,65 W,Intel UHD Graphics 630,0
AMD A8-6500,,,4,3.5 GHz,,Piledriver,65 W,Radeon HD 8570D,0
Intel Core 2 Extreme X6800,,,2,2.93 GHz,,Core,75 W,None,0
Intel Core i3-2100T,,,2,2.5 GHz,,Sandy Bridge,35 W,Intel HD Graphics 2000,4
Intel Core i5-2310,206.29,,4,2.9 GHz,,Sandy Bridge,95 W,Intel HD Graphics 2000,5
AMD FX-6100,,,6,3.3 GHz,,Bulldozer,95 W,None,4.5
AMD A8-5600K,,,4,3.6 GHz,,Piledriver,100 W,Radeon HD 7560D,4
Intel Core i5-4570S,,,4,2.9 GHz,,Haswell,65 W,Intel HD Graphics 4600,4.5
AMD Athlon X4 760K,,,4,3.8 GHz,4.1 GHz,Piledriver,100 W,None,4
Intel Core i5-4690S,,,4,3.2 GHz,3.9 GHz,Haswell Refresh,65 W,Intel HD Graphics 4600,5
Intel Core i5-5675C,183.07,,4,3.1 GHz,3.6 GHz,Broadwell,65 W,Iris Pro Graphics 6200,5
AMD A10-7860k,,,4,3.6 GHz,4 GHz,Steamroller,65 W,Radeon R7 (on-die),4.5
AMD A10-7890K,,,4,4.1 GHz,4.3 GHz,Steamroller,95 W,Radeon R7 (on-die),4.5
AMD A12-9800,,,4,3.8 GHz,4.2 GHz,Excavator,65 W,Radeon R7 (on-die),0
AMD A10-9700E,170.79,,4,3 GHz,3.5 GHz,Excavator,35 W,Radeon R7 (on-die),0
Intel Core i5-7600T,285.41,,4,2.8 GHz,3.7 GHz,Kaby Lake,35 W,Intel HD Graphics 630,0
AMD EPYC 4345P,,,8,3.8 GHz,5.5 GHz,Zen 5,65 W,Radeon,0
Intel Core i7-980,639.98,,6,3.333 GHz,,Westmere,130 W,None,5
Intel Pentium G620,,,2,2.6 GHz,,Sandy Bridge,65 W,Intel HD Graphics,4.5
AMD A4-5300,,,2,3.4 GHz,,Piledriver,65 W,Radeon HD 7480D,4
Intel Xeon E3-1220 V2,,,4,3.1 GHz,,Ivy Bridge,69 W,None,0
Intel Xeon E3-1246 V3,,,4,3.5 GHz,3.9 GHz,Haswell Refresh,84 W,Intel HD Graphics P4600,5
Intel Xeon E5-1650 V3,,,6,3.5 GHz,3.8 GHz,Haswell,140 W,None,0
Intel Pentium G4600,79.95,,2,3.6 GHz,,Kaby Lake,51 W,Intel HD Graphics 630,0
AMD A6-9500,,,2,3.5 GHz,3.8 GHz,Excavator,65 W,Radeon R5 (on die),4
AMD A8-7680,,,4,3.5 GHz,3.8 GHz,Puma+,65 W,Radeon R7 (on-die),0
Intel Xeon E-2286G,670.93,,6,4 GHz,4.9 GHz,Coffee Lake Refresh,95 W,Intel HD Graphics P630,0
Intel Core i3-10300,,,4,3.7 GHz,4.4 GHz,Comet Lake,65 W,Intel UHD Graphics 630,5
Intel Core i9-7960X,506,,16,2.8 GHz,4.4 GHz,Skylake,165 W,None,0
Intel Core i3-6098P,,,2,3.6 GHz,,Skylake,54 W,Intel HD Graphics 510,4
Intel Pentium G3240,,,2,3.1 GHz,,Haswell Refresh,53 W,Intel HD Graphics,4
AMD Athlon II X3 440,,,3,3 GHz,,K10,95 W,None,0
AMD Phenom II X4 965 Black,,,4,3.4 GHz,,K10,125 W,None,4.5
Intel Core 2 Duo E4300,132.47,,2,1.8 GHz,,Core,65 W,None,0
Intel Core i7-975 Extreme Edition,599.98,,4,3.33 GHz,,Nehalem,130 W,None,4.5
Intel Core 2 Extreme QX9650,,,4,3 GHz,,Yorkfield,130 W,None,0
AMD FX-8120,,,8,3.1 GHz,,Bulldozer,125 W,None,4.5
Intel Xeon E3-1225 V2,,,4,3.2 GHz,,Ivy Bridge,77 W,Intel HD Graphics P4000,0
Intel Core i3-3210,,,2,3.2 GHz,,Ivy Bridge,55 W,Intel HD Graphics 2500,0
AMD Athlon X4 740,,,4,3.2 GHz,,Piledriver,65 W,None,4
Intel Xeon E3-1245 V3,,,4,3.4 GHz,3.8 GHz,Haswell,84 W,Intel HD Graphics P4600,5
Intel Celeron G1840,,,2,2.8 GHz,,Haswell Refresh,53 W,Intel HD Graphics,4.5
Intel Core i3-4370,,,2,3.8 GHz,,Haswell Refresh,54 W,Intel HD Graphics 4600,4.5
Intel Xeon E5-2637 V3,94.95,,4,3.5 GHz,3.7 GHz,Haswell,135 W,None,0
Intel Xeon E3-1265L V3,,,4,2.5 GHz,3.7 GHz,Haswell,45 W,Intel HD Graphics,5
Intel Core i3-6300,,,2,3.8 GHz,,Skylake,51 W,Intel HD Graphics 530,4.5
Intel Celeron G4900T,,,2,1.8 GHz,,Coffee Lake,35 W,Intel UHD Graphics 610,0
Intel Core i5-9400T,,,6,1.8 GHz,3.4 GHz,Coffee Lake Refresh,35 W,Intel UHD Graphics 630,0
Intel Xeon E-2176G,,,6,3.7 GHz,4.7 GHz,Coffee Lake,80 W,Intel HD Graphics P630,0
Intel Pentium G4620,115,,2,3.7 GHz,,Kaby Lake,51 W,Intel HD Graphics 630,0
Intel Pentium Gold G5400T,,,2,3.1 GHz,,Coffee Lake,35 W,Intel UHD Graphics 610,4
AMD Phenom II X4 920,,,4,2.8 GHz,,K10,125 W,None,0
Intel Pentium E2140,,,2,1.6 GHz,,Core,65 W,None,0
Intel Core i3-550,207.5,,2,3.2 GHz,,Westmere,73 W,Intel HD Graphics,5
AMD Athlon II X4 645,,,4,3.1 GHz,,K10,95 W,None,4
AMD Phenom II X4 980 Black,,,4,3.7 GHz,,K10,125 W,None,5
Intel Xeon E3-1275 V2,1007.29,,4,3.5 GHz,,Ivy Bridge,77 W,Intel HD Graphics P4000,0
AMD 5150,,,4,1.6 GHz,,Jaguar,25 W,Radeon HD 8400,3
AMD Sempron 150,,,1,2.9 GHz,,K10,45 W,None,0
Intel Celeron G470,,,1,2 GHz,,Sandy Bridge,35 W,Intel HD Graphics,0
Intel Xeon E3-1230 V6,588.9,,4,3.5 GHz,3.9 GHz,Kaby Lake,72 W,None,0
Intel Core i5-3570S,,,4,3.1 GHz,3.8 GHz,Ivy Bridge,65 W,Intel HD Graphics 2500,0
Intel Core i5-4590T,,,4,2 GHz,,Haswell Refresh,35 W,Intel HD Graphics 4000,0
AMD EPYC 4364P,,,8,4.5 GHz,5.4 GHz,Zen 4,105 W,Radeon,0
Intel Xeon E5-2650,,,8,2 GHz,2.8 GHz,Sandy Bridge,95 W,None,5
Intel Core i3-2130,,,2,3.4 GHz,,Sandy Bridge,65 W,Intel HD Graphics 2000,5
Intel Xeon E5-2630L V3,,,8,1.8 GHz,2.9 GHz,Haswell,55 W,None,0
Intel Xeon E5-2630 V2,208.24,,6,2.6 GHz,3.1 GHz,Ivy Bridge,80 W,None,0
Intel Core 2 Duo E6700,114.5,,2,2.66 GHz,,Core,65 W,None,0
AMD Athlon II X3 460,,,3,3.4 GHz,,K10,95 W,None,0
Intel Core i3-2120T,,,2,2.6 GHz,,Sandy Bridge,35 W,Intel HD Graphics 2000,5
AMD FX-8100,,,8,2.8 GHz,,Bulldozer,95 W,None,0
Intel Pentium G640T,137.5,,2,2.4 GHz,,Sandy Bridge,35 W,Intel HD Graphics,0
AMD A10-5800K,,,4,3.8 GHz,,Piledriver,100 W,Radeon HD 7660D,4.5
AMD A6-5400K,,,2,3.6 GHz,,Piledriver,65 W,Radeon HD 7540D,4
AMD Athlon X4 750K,,,4,3.4 GHz,,Piledriver,100 W,None,4.5
AMD A6-6400K,,,2,3.9 GHz,,Piledriver,65 W,Radeon HD 8470D,4.5
Intel Xeon E5-4650,,,8,2.7 GHz,3.3 GHz,Sandy Bridge,130 W,None,0
Intel Xeon E5-1620 V2,112.97,,4,3.7 GHz,3.9 GHz,Ivy Bridge,130 W,None,5
Intel Xeon E5-2630L V2,230.19,,6,2.4 GHz,,Ivy Bridge,60 W,None,0
Intel Xeon E5-2695 V3,,,14,2.3 GHz,3.3 GHz,Haswell,120 W,None,0
Intel Xeon E3-1270 V2,,,4,3.5 GHz,,Ivy Bridge,69 W,None,0
Intel Core i5-6400T,,,4,2.2 GHz,2.8 GHz,Skylake,35 W,Intel HD Graphics 530,0
Intel Xeon E3-1220 V5,78.86,,4,3 GHz,3.5 GHz,Skylake,80 W,None,0
Intel Core i3-9350KF,,,4,4 GHz,4.6 GHz,Coffee Lake Refresh,91 W,None,4
Intel Xeon E-2236,542,,6,3.4 GHz,4.8 GHz,Coffee Lake Refresh,80 W,None,0
Intel Core i3-7320,,,2,4.1 GHz,,Kaby Lake,51 W,Intel HD Graphics 630,0
Intel Xeon E5-2603 V3,,,6,1.6 GHz,,Haswell,85 W,None,0
Intel Core i5-7640X,207.86,,4,4 GHz,4.2 GHz,Kaby Lake,112 W,None,0
Intel Core i7-965 Extreme Edition,589.98,,4,3.2 GHz,,Nehalem,130 W,None,0
Intel Core 2 Quad Q8400,,,4,2.66 GHz,,Yorkfield,95 W,None,0
Intel Core 2 Quad Q9400,,,4,2.66 GHz,,Yorkfield,95 W,None,4
Intel Core 2 Extreme QX6850,,,4,3 GHz,,Core,130 W,None,0
Intel Pentium E6800,,,2,3.333 GHz,,Wolfdale,65 W,None,0
AMD A8-3850,,,4,2.9 GHz,,Lynx,100 W,Radeon HD 6550D,4
Intel Core i5-2550K,,,4,3.4 GHz,,Sandy Bridge,95 W,None,0
AMD FX-4130,,,4,3.8 GHz,,Bulldozer,125 W,None,4
Intel Core i7-4771,,,4,3.5 GHz,3.9 GHz,Haswell,84 W,Intel HD Graphics 4600,4.5
Intel Core i5-4440S,,,4,2.8 GHz,3.3 GHz,Haswell,65 W,Intel HD Graphics 4600,0
Intel Xeon E5-1620,,,4,3.6 GHz,3.8 GHz,Sandy Bridge,130 W,None,5
Intel Xeon E5-2450V2,,,8,2.5 GHz,3.3 GHz,Ivy Bridge,95 W,None,0
Intel Celeron G4920,85,,2,3.2 GHz,,Coffee Lake,65 W,Intel UHD Graphics 610,0
Intel Core i5-8600T,,,6,2.3 GHz,3.7 GHz,Coffee Lake,35 W,Intel UHD Graphics 630,4
Intel Core i9-9920X,408.94,,12,3.5 GHz,4.4 GHz,Skylake,165 W,None,0
Intel Celeron G3930T,,,2,2.7 GHz,,Kaby Lake,35 W,Intel HD Graphics 610,0
Intel Xeon E5-2665,,,8,2.4 GHz,3.1 GHz,Sandy Bridge,115 W,None,0
Intel Xeon E-2136,849.28,,6,3.3 GHz,4.5 GHz,Coffee Lake,80 W,None,0
Intel Xeon E-2174G,829.75,,4,3.8 GHz,4.7 GHz,Coffee Lake,71 W,Intel HD Graphics P630,0
AMD EPYC 4344P,,,8,3.8 GHz,5.3 GHz,Zen 4,65 W,Radeon,0
AMD Phenom II X2 545,,,2,3 GHz,,K10,80 W,None,0
AMD Phenom II X3 705e,,,3,2.5 GHz,,K10,65 W,None,0
Intel Core 2 Duo E4500,,,2,2.2 GHz,,Core,65 W,None,0
Intel Core i7-970,,,6,3.2 GHz,,Westmere,130 W,None,0
Intel Core i3-560,150.33,,2,3.333 GHz,,Westmere,73 W,Intel HD Graphics,4
AMD Athlon II X3 455,,,3,3.3 GHz,,K10,95 W,None,4
AMD Phenom II X2 565 Black,,,2,3.4 GHz,,K10,80 W,None,0
AMD Sempron 145,,,1,2.8 GHz,,K10,45 W,None,4
Intel Pentium G860,,,2,3 GHz,,Sandy Bridge,65 W,Intel HD Graphics,4.5
Intel Pentium G630,,,2,2.7 GHz,,Sandy Bridge,65 W,Intel HD Graphics,0
AMD Phenom II X6 1045T,,,6,2.7 GHz,,K10,95 W,None,4
AMD Athlon II X4 651K,,,4,3 GHz,,Lynx,100 W,None,0
Intel Xeon E5-2695 V2,,,12,2.4 GHz,3.2 GHz,Ivy Bridge,115 W,None,0
Intel Pentium G3440,35.47,,2,3.3 GHz,,Haswell Refresh,53 W,Intel HD Graphics,0
AMD Sempron X2 190,,,2,2.5 GHz,,K10,45 W,None,0
AMD FX-6120,,,6,3.5 GHz,4.1 GHz,Bulldozer,95 W,None,0
Intel Xeon E5-2698 V3,,,16,2.3 GHz,3.6 GHz,Haswell,135 W,None,0
Intel Xeon E3-1245 V5,,,4,3.5 GHz,3.9 GHz,Skylake,80 W,Intel HD Graphics P530,0
Intel Xeon E3-1280 V6,754.97,,4,3.9 GHz,4.2 GHz,Kaby Lake,72 W,None,0
Intel Pentium Gold G5600,,,2,3.9 GHz,,Coffee Lake,54 W,Intel UHD Graphics 630,5
Intel Xeon E-2146G,,,6,3.5 GHz,4.5 GHz,Coffee Lake,80 W,Intel HD Graphics P630,0
Intel Celeron G5920,,,2,3.5 GHz,,Comet Lake,58 W,Intel UHD Graphics 610,0
Intel Pentium G645,143.12,,2,2.9 GHz,,Sandy Bridge,65 W,Intel HD Graphics 2500,0
Intel Xeon E3-1270 V6,408.84,,4,3.8 GHz,4.2 GHz,Kaby Lake,72 W,None,0
Intel Core i3-4360,,,2,3.7 GHz,,Haswell Refresh,54 W,Intel HD Graphics 4600,4.5
AMD Athlon II X2 220,,,2,2.8 GHz,,K10,65 W,None,3
AMD Athlon II X4 620,,,4,2.6 GHz,,K10,95 W,None,3.5
Intel Celeron E1500,,,2,2.2 GHz,,Core,65 W,None,0
Intel Core 2 Duo E6850,152.11,,2,3 GHz,,Core,65 W,None,0
Intel Core 2 Quad Q8400S,,,4,2.66 GHz,,Yorkfield,65 W,None,0
AMD Phenom II X4 975,,,4,3.6 GHz,,K10,125 W,None,5
AMD Phenom II X4 840,162.51,,4,3.2 GHz,,K10,95 W,None,0
Intel Xeon E3-1245,,,4,3.3 GHz,,Sandy Bridge,95 W,Intel HD Graphics,5
Intel Core i3-4330,,,2,3.5 GHz,,Haswell,54 W,Intel HD Graphics 4600,4.5
Intel Pentium G3420,,,2,3.2 GHz,,Haswell,54 W,Intel HD Graphics,4.5
