name,price,image,airflow,color,noise_level,pwm,rpm,size,rating
PC Cooler Moonlight 5-Pack,,,54 CFM,Black,,Yes,1000 - 1800 RPM,120 mm,4.5
Deepcool FC120-3 IN 1 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/5dea9a9bca0b16ed01a2bbe4ff0fbe42.256p.jpg,61.91 CFM,Black,28 dB,Yes,500 - 1800 RPM,120 mm,4
ARCTIC F9 PWM,,,,Black,,Yes,150 - 1800 RPM,92 mm,0
Antec Fusion 120 ARGB 5-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/f0716400af70798b79e64d446cbb0aec.256p.jpg,57.93 CFM,Black,17.02 - 31.24 dB,Yes,600 - 2000 RPM,120 mm,0
Cooler Master MasterFan SF120M ARGB,,,35 - 62 CFM,Black,5.5 - 22 dB,Yes,650 - 2000 RPM,120 mm,0
ID-COOLING NO-8010,,https://cdna.pcpartpicker.com/static/forever/images/product/e7dd70894befd8c43ec04fb6711d0910.256p.jpg,25.4 CFM,,27.8 dB,Yes,800 - 3000 RPM,80 mm,0
Jonsbo ZA-140B,,,33.7 - 73.82 CFM,Black,18.3 - 32.2 dB,Yes,700 - 1800 RPM,140 mm,0
Jonsbo ZA-140W,,,33.7 - 73.82 CFM,White,18.3 - 32.2 dB,Yes,700 - 1800 RPM,140 mm,0
Noctua P14s redux-900,15.95,,49.26 CFM,Black / Gray,13.2 dB,No,900 RPM,140 mm,4.5
StarTech FAN8X25TX3L,38.27,https://cdna.pcpartpicker.com/static/forever/images/product/4176090e788d2231966775bf1c7c869a.256p.jpg,26.6 CFM,Black,27 dB,No,2000 RPM,80 mm,0
Noctua A20 FLX,30.95,,59.33 - 86.46 CFM,Brown,10.7 - 18.1 dB,No,550 - 800 RPM,200 mm,5
Akasa Soho AR,19.16,https://cdna.pcpartpicker.com/static/forever/images/product/c407c406f2595d4f479d766d90b9b166.256p.jpg,52.91 CFM,Black,14.2 - 31.8 dB,Yes,500 - 2000 RPM,120 mm,0
Iceberg Thermal IceGALE,,https://cdna.pcpartpicker.com/static/forever/images/product/6e04fdc0f80c7649c991df8343e684e8.256p.jpg,29 CFM,Teal / White,0 - 26 dB,Yes,800 - 2000 RPM,80 mm,0
Thermalright TL-15R,,,42.58 CFM,,22.4 dB,Yes,2700 RPM,92 mm,0
Antec 75000,,,34 CFM,Clear,30 dB,No,2600 RPM,80 mm,0
Thermaltake Riing Trio 12 RGB TT Premium Edition 3-Pack,87.2,https://cdna.pcpartpicker.com/static/forever/images/product/c13c8ec602431687de76bdb805decbf1.256p.jpg,41.13 CFM,Black,25.2 dB,Yes,500 - 1500 RPM,120 mm,4
Thermalright TL-Q12,,,68.9 CFM,Black,28.2 dB,Yes,2000 RPM,120 mm,0
Cooler Master MasterFan Pro Air Flow 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/8aa1ab359bf6dcad583ebeb27d427c74.256p.jpg,48.8 CFM,,6 - 20 dB,Yes,650 - 1100 RPM,120 mm,3.5
Antec Prizm 3+2+C 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/baf92e57b1a0b20d8dc3f55a6fa4cfb1.256p.jpg,45.03 CFM,Black,32.6 dB,Yes,2000 RPM,120 mm,4
Fractal Design Aspect 14 RGB,24.42,https://cdna.pcpartpicker.com/static/forever/images/product/7651b261b19054e6c9bc67eb219cef4d.256p.jpg,41 CFM,Black,19.5 dB,No,1000 RPM,140 mm,0
Deepcool FT14,20.47,,78.83 CFM,Black,25.1 dB,Yes,500 - 1650 RPM,140 mm,0
Corsair SP120 High Performance 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/7540d8720973821377dac3c5b4ea536f.256p.jpg,62.74 CFM,Black,35 dB,No,2350 RPM,120 mm,4.5
SilenX Effizio,46.17,,32 CFM,Clear,15 dB,No,1700 RPM,80 mm,5
SilenX Ixtrema Pro,43.87,,6 CFM,Black,14 dB,No,3000 RPM,40 mm,0
NoiseBlocker BlackSilentPro P-2,,https://cdna.pcpartpicker.com/static/forever/images/product/4063db1b4198d2c5ed9484c08e0c74bf.256p.jpg,5.3 CFM,Black,18 dB,No,3800 RPM,40 mm,5
Titan TFD-12025H12ZP,10.76,,24.23 - 66.62 CFM,White / Blue,15 - 35 dB,Yes,800 - 2200 RPM,120 mm,0
Delta Electronics FFB1212EHE-F00,,https://cdna.pcpartpicker.com/static/forever/images/product/7b768401eff18c2474e20b9365b25c3e.med.256p.jpg,190 CFM,Black,59 dB,No,4000 RPM,120 mm,0
Thermaltake DuraMax,,https://cdna.pcpartpicker.com/static/forever/images/product/2b73a1288631976658141f6b99ccb957.256p.jpg,48.7 CFM,Black,37.6 dB,No,2850 RPM,92 mm,0
be quiet! Silent Wings 2,4.42,https://cdna.pcpartpicker.com/static/forever/images/product/cbc4018e85229847e57dad60d6750831.256p.jpg,26 CFM,Black,14.5 dB,No,2000 RPM,80 mm,5
Fractal Design Venturi HP-14,20.99,https://cdna.pcpartpicker.com/static/forever/images/product/4603c2b2fdc86a1dbb07abd8af5246a1.256p.jpg,78.09 CFM,Black,30.1 dB,Yes,1500 RPM,140 mm,4.5
Cooler Master MasterFan Pro Air Balance 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/08ab346aeaae25dd6b8fdcf0e7b11129.256p.jpg,42.7 CFM,Black,20 dB,Yes,1300 RPM,120 mm,4.5
EVGA 400-HY-FX12-KR,,,74.81 CFM,Black,16 - 39.9 dB,Yes,500 - 2400 RPM,120 mm,0
Cooler Master MasterFan Lite,,https://cdna.pcpartpicker.com/static/forever/images/product/34d29a034480cdee34191cbd4409061b.256p.jpg,32 CFM,Black,25 dB,No,1200 RPM,120 mm,4.5
Fractal Design Dynamic X2,,https://cdna.pcpartpicker.com/static/forever/images/product/4743518c8c4b33ab93011fdedec9828f.256p.jpg,47.9 - 105.9 CFM,White / Black,33.7 dB,Yes,500 - 1700 RPM,140 mm,0
NZXT AER RGB 2 2-Pack,88.88,https://cdna.pcpartpicker.com/static/forever/images/product/16744dab6712df5f15860756e66256f2.256p.jpg,30.39 - 91.19 CFM,White,22 - 33 dB,Yes,500 - 1500 RPM,140 mm,0
Corsair iCUE SP140 RGB Pro 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/23c453f406d4201d17a714162016cd0e.256p.jpg,62 CFM,Black,26 dB,No,1150 RPM,140 mm,3.5
Silverstone FW,32.99,https://cdna.pcpartpicker.com/static/forever/images/product/2441d5ab93c6b3ba339b83d5697445e8.256p.jpg,13.1 - 32.6 CFM,Black / Transparent,14.7 - 24.6 dB,Yes,800 - 2000 RPM,120 mm,4
EK Vardar EVO 120ER,,https://cdna.pcpartpicker.com/static/forever/images/product/e320cd67e2706dafab4e762472201a8f.256p.jpg,,Black / White,33.5 dB,Yes,500 - 2200 RPM,120 mm,4.5
Cooler Master MasterFan MF Prismatic 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/6a6235efd683b7dba07191222a65fc35.256p.jpg,55 CFM,Black / White,8 - 27 dB,Yes,650 - 2000 RPM,120 mm,4.5
PC Cooler HALO FRGB 3-Pack,,,72 CFM,Black,8 - 29.1 dB,Yes,1000 - 2000 RPM,120 mm,4.5
GAMDIAS AEOLUS M2 5-Pack,,,56 CFM,Black,,Yes,700 - 1500 RPM,120 mm,0
ID-COOLING XF-12025-ARGB (Single),,https://cdna.pcpartpicker.com/static/forever/images/product/0e3bf4d09f5069fcd48baa3abfdb5664.256p.jpg,62 CFM,Black / White,18 - 26.4 dB,Yes,700 - 1500 RPM,120 mm,0
Corsair ML Elite,,https://cdna.pcpartpicker.com/static/forever/images/product/9315af3e4ed4f08977dbfb5dfa344b34.256p.jpg,14.86 - 58.1 CFM,White,10 - 30.4 dB,Yes,450 - 2000 RPM,120 mm,0
ARCTIC F8 PWM PST,,https://cdna.pcpartpicker.com/static/forever/images/product/cd1917f148d4ddc23be5e57cd96f8a28.256p.jpg,31 CFM,Black,,Yes,300 - 2000 RPM,80 mm,0
Phanteks M25-140 PWM,,https://cdna.pcpartpicker.com/static/forever/images/product/73025e71bc601720e22c33aa93c8903e.256p.jpg,104.62 CFM,Black,36.57 dB,Yes,500 - 1800 RPM,140 mm,4.5
GAMDIAS AEOLUS M2-1203 LITE 3-Pack,,,46.7 CFM,Black,,No,1200 RPM,120 mm,0
Thermalright TL-B8,,,34 CFM,Gray,24 dB,Yes,2200 RPM,80 mm,5
ID-COOLING TF-12025-PRO-ARGB 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/4e4d98cad40cdfcbf6130f4d07e21710.256p.jpg,82.5 CFM,Black / White,35.2 dB,Yes,500 - 1800 RPM,120 mm,0
ID-COOLING AS-140,,https://cdna.pcpartpicker.com/static/forever/images/product/4099c90282a34421581c2a6cd70578ec.256p.jpg,72.2 CFM,Black,24.9 dB,Yes,300 - 1800 RPM,120 mm,0
GameMax KF300R 3-Pack,,,44.35 CFM,Black,31.21 dB,Yes,800 - 1600 RPM,120 mm,0
Thermalright TL-B6W,,,16.17 CFM,White,20.17 dB,Yes,3200 RPM,60 mm,0
NoiseBlocker ELoop B,40.04,https://cdna.pcpartpicker.com/static/forever/images/product/7a08a33fc925c30fb002f78230c2752f.256p.jpg,83.93 CFM,Black,24 dB,Yes,1200 RPM,140 mm,5
ARCTIC P8 PST CO,10.47,https://cdna.pcpartpicker.com/static/forever/images/product/87eea1916e7a139f828c53c8824e75ce.256p.jpg,23.4 CFM,Black,,Yes,200 - 3000 RPM,80 mm,5
Scythe GlideStream,23.4,,84.59 CFM,Black,29.5 dB,No,1200 RPM,140 mm,0
Fractal Design Venturi HF-14,,https://cdna.pcpartpicker.com/static/forever/images/product/81aa5bc083c56f67cb7c8dccd270a842.256p.jpg,118.2 CFM,Black,26.5 dB,No,1200 RPM,140 mm,4.5
Evercool EC4028HH12BP,,https://cdna.pcpartpicker.com/static/forever/images/product/6f04af30a85cf8f16e1bf977cfa133e9.med.256p.jpg,,Black,46 dB,No,3000 - 12000 RPM,40 mm,0
ARCTIC F9,4.42,https://cdna.pcpartpicker.com/static/forever/images/product/3890df020fa499fe98f51d74902423b3.256p.jpg,35 CFM,White / Black,,Yes,1800 RPM,92 mm,4
Thermaltake SWAFAN GT12,29.21,https://cdna.pcpartpicker.com/static/forever/images/product/c361fd7564141f06802015f5e42130ae.256p.jpg,54.71 - 58.17 CFM,Black,26.5 - 29.8 dB,Yes,500 - 2000 RPM,120 mm,0
Noctua B9 redux-1600,12.95,,37.85 CFM,Black / Gray,17.6 dB,No,350 - 1600 RPM,92 mm,5
Thermaltake Riing 3-Pack,73.26,https://cdna.pcpartpicker.com/static/forever/images/product/9d65738a259c837612b340c8fb862069.256p.jpg,48.79 CFM,Black,18.2 - 24.8 dB,Yes,500 - 1400 RPM,120 mm,4
Iceberg Thermal IceGALE Xtra,,https://cdna.pcpartpicker.com/static/forever/images/product/0dd489b1be308dc380bd4e050c0f21bd.256p.jpg,169 CFM,Black / White,0 - 47 dB,Yes,500 - 2500 RPM,140 mm,0
Thermaltake Pure 20 ARGB Sync Case Fan TT Premium Edition,,https://cdna.pcpartpicker.com/static/forever/images/product/375e4ca9a8fa4874413fbe4d6ba1ac6c.256p.jpg,129.54 CFM,Black,31.2 dB,Yes,500 - 1000 RPM,200 mm,0
Xilence XPF120X.B.PWM,12.3,,63.41 CFM,Black,22 - 24 dB,Yes,500 - 1800 RPM,120 mm,0
Cooler Master Blade Master,,,21.2 - 76.8 CFM,Black,13 - 32 dB,Yes,600 - 2000 RPM,120 mm,4.5
Cooler Master R4-S2S-124K-GP 4-Pack,,,44.73 CFM,Black,19.1 dB,No,1200 RPM,120 mm,4
be quiet! Shadow Wings,,https://cdna.pcpartpicker.com/static/forever/images/product/5d87009a16a33f2d0d3268787918e473.256p.jpg,14.8 - 23.8 CFM,Black,8.4 dB,No,1400 RPM,80 mm,0
NZXT FN V2,,,45 CFM,Black / White,21 dB,No,1200 RPM,120 mm,4.5
Corsair SP120,,https://cdna.pcpartpicker.com/static/forever/images/product/4631043d16670f3597c19466cf8dd50e.256p.jpg,57.24 CFM,Black / Red,26.4 dB,No,1650 RPM,120 mm,4.5
Corsair ML140 2-Pack,,,20 - 97 CFM,White / Black,16 - 37 dB,Yes,400 - 2000 RPM,140 mm,4
NZXT Aer RGB 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/7dcb82df69ebeb7fec9595e3e12bb1c5.256p.jpg,23.9 - 71.6 CFM,Black,22 - 33 dB,Yes,500 - 1500 RPM,140 mm,4.5
Corsair HD120 3-Pack,,,54.4 CFM,Black / White,18 - 30 dB,Yes,800 - 1725 RPM,120 mm,4.5
Corsair SP120 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/3a337c391f56bd78758e98bf1fb65fec.256p.jpg,52 CFM,White / Black,26 dB,Yes,1400 RPM,120 mm,4
ARCTIC BioniX F140,17.28,https://cdna.pcpartpicker.com/static/forever/images/product/04d1868f85945b9c81c9e56206a664d2.256p.jpg,104 CFM,Black / Red,25.3 dB,No,1800 RPM,140 mm,0
Deepcool RF,,https://cdna.pcpartpicker.com/static/forever/images/product/cf6bbbdc5f8abff6d545eeb969b2deb5.256p.jpg,64.13 CFM,Black,19.8 - 24 dB,Yes,5000 - 1200 RPM,140 mm,2
Raidmax NV-R120TP,,,58 - 64 CFM,White,18 - 35 dB,Yes,500 - 2000 RPM,120 mm,4
Antec Prizm,,https://cdna.pcpartpicker.com/static/forever/images/product/db9edb3a30480566e5fa6ec9f8c0b43f.256p.jpg,45.03 CFM,Black,32.6 dB,Yes,2000 RPM,120 mm,4
Anidees AI AUREOLA 3-Pack,,,35.2 CFM,Black,24.7 dB,No,1500 RPM,120 mm,3
SHARKOON RGB SHARK Lights,,https://cdna.pcpartpicker.com/static/forever/images/product/9261422d119026c40bfe4592c440a7e8.256p.jpg,32.96 CFM,Black,15.2 dB,No,1000 RPM,120 mm,5
ARCTIC BioniX P140,14.59,https://cdna.pcpartpicker.com/static/forever/images/product/e35fccba0ff8ee7d468728bfb8bbc181.256p.jpg,77.6 CFM,Black / Red,,Yes,200 - 1950 RPM,140 mm,4.5
MSI MAG MAX F12A-3H 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/b4d9da1fe30045a70c2fece60d6992c4.256p.jpg,8 - 40.1 CFM,Black,20 - 28 dB,Yes,600 - 1500 RPM,120 mm,0
Fractal Design Prisma AL 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/03dc671f9c4cfd624b56ea0ca404945f.256p.jpg,43.1 - 146.8 CFM,Black,14.9 - 37.4 dB,Yes,300 - 1200 RPM,180 mm,0
Phanteks M25-120 PWM 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/af7bdae191efccc451ef0458198b7496.256p.jpg,84.26 CFM,Black,35.7 dB,Yes,500 - 2000 RPM,120 mm,5
Phanteks M25-140 PWM D-RGB 3-Pack,39.99,https://cdna.pcpartpicker.com/static/forever/images/product/4cef10311122526675d771daa5f20ba0.256p.jpg,104.62 CFM,White,36.57 dB,Yes,500 - 1800 RPM,140 mm,5
Silverstone Air Slimmer,,https://cdna.pcpartpicker.com/static/forever/images/product/adbd8ded2e874e7d8a73092e334bb5a8.256p.jpg,5.38 - 45.73 CFM,Black,11.3 - 32 dB,Yes,500 - 2500 RPM,92 mm,0
Jonsbo ZG 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/d84183952a85a968c8b797db4cb08182.256p.jpg,20.1 - 60.45 CFM,Black,23.8 - 29.3 dB,Yes,500 - 1500 RPM,120 mm,3
Gelid Solutions Gale Extreme,,,195 CFM,Black,60 dB,Yes,500 - 6000 RPM,120 mm,0
ID-COOLING AF-127-ARGB-K,,,78 CFM,Black,29.9 dB,Yes,500 - 2000 RPM,120 mm,0
ID-COOLING TF-9215,,https://cdna.pcpartpicker.com/static/forever/images/product/8d4169bb30fad24d31aecba94b452915.256p.jpg,46 CFM,Black,35.2 dB,Yes,800 - 2800 RPM,92 mm,0
Silverstone FHP,32.85,,42.8 - 171 CFM,Black,43.5 dB,No,1200 - 2000 RPM,140 mm,4.5
Alphacool 24846,,https://cdna.pcpartpicker.com/static/forever/images/product/a600a0f2b95d9efdc0d16175ed84ab8b.256p.jpg,115.56 CFM,Black,30 - 43.3 dB,Yes,2500 RPM,140 mm,0
StarTech FAN9X25TX3H,43.83,https://cdna.pcpartpicker.com/static/forever/images/product/e734fb58129898e703d40f15e58a303d.256p.jpg,48.43 CFM,Black,33 dB,No,2600 RPM,92 mm,0
Antec True Quiet,16.88,,21.2 - 35.3 CFM,Red,8.9 - 19.89 dB,No,600 - 1000 RPM,120 mm,4
Thermaltake Riing Plus TT Premium Edition,28.37,https://cdna.pcpartpicker.com/static/forever/images/product/f8f04efbd0a3fb3bb4e8effd9cae2b10.256p.jpg,5 - 14 CFM,Black,24.7 dB,Yes,500 - 1400 RPM,120 mm,3
Antec Prizm 5+C 5-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/b9f791c73f7f374e065d57c47d323a7a.256p.jpg,45.03 CFM,Black,32.6 dB,Yes,2000 RPM,120 mm,4.5
upHere U3KC1,,,64.6 CFM,Black,25 dB,Yes,600 - 1650 RPM,120 mm,0
Apevia C 5-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/332382bd173db62ee213ee588a64f8b1.256p.jpg,57.67 CFM,Black / Green,24.7 dB,No,1500 RPM,120 mm,0
Apevia APEVIA CO312L-GN Cosmos 120mm Green LED Ultra Silent Case Fan w/ 16 LEDs &amp; Anti-Vibration Rubber Pads (3 Pack) 3-Pack,,,57.67 - 56.67 CFM,,24.7 dB,No,1350 RPM,120 mm,1
Apevia APEVIA CO312L-PK Cosmos 120mm Pink LED Ultra Silent Case Fan w/ 16 LEDs &amp; Anti-Vibration Rubber Pads (3 Pack) 3-Pack,,,57.67 - 56.67 CFM,,24.7 dB,No,1350 RPM,120 mm,0
Thermalright TL-Q12W,,,68.9 CFM,White,28.2 dB,Yes,2000 RPM,120 mm,0
Fractal Design Aspect 14,16.35,https://cdna.pcpartpicker.com/static/forever/images/product/a984103b02feb77fcf628f232c2ba173.256p.jpg,41 CFM,Black,19.5 dB,No,1000 RPM,140 mm,0
Gelid Solutions Silent 14 PWM,12,,78.5 CFM,Black,20 dB,Yes,750 - 1500 RPM,140 mm,0
Aerocool Silent Master,,https://cdna.pcpartpicker.com/static/forever/images/product/9e7306d77121d60ca12b2e0f664f308d.256p.jpg,76 CFM,Blue,18 dB,No,800 RPM,200 mm,4.5
Xigmatek XLF,,,63.5 CFM,Orange,16 dB,No,1000 RPM,140 mm,0
Antec TRICOOL,,https://cdna.pcpartpicker.com/static/forever/images/product/aec667bf291490ee0859b73ae69801ba.256p.jpg,79 CFM,Transparent,30 dB,No,2000 RPM,120 mm,4.5
Rosewill ROCF-13001,,,38.2 CFM,Black,22 dB,No,1200 RPM,120 mm,4
Corsair SP140 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/6c8a10108b154df7ab5ec36df1547654.256p.jpg,49.49 CFM,Black / White,29.3 dB,No,1440 RPM,140 mm,4.5
BitFenix Spectre Xtreme,,https://cdna.pcpartpicker.com/static/forever/images/product/8d9770bc95f2239ea51596ca97d7e1f3.256p.jpg,66 CFM,Black / Red,30 dB,No,950 - 2000 RPM,120 mm,0
Cooler Master MasterFan Pro Air Balance,,https://cdna.pcpartpicker.com/static/forever/images/product/1ad1e57218398002df886233b5b6f494.256p.jpg,42.7 CFM,Black / White,6 - 20 dB,Yes,650 - 1300 RPM,120 mm,4
Cooler Master MasterFan Pro Air Flow,,https://cdna.pcpartpicker.com/static/forever/images/product/c95dac1c2369dfafca6ceba257995219.256p.jpg,48.8 CFM,Black,6 - 20 dB,Yes,650 - 1100 RPM,120 mm,3.5
Deepcool RF 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/7706688b01e56ece8266f0ca03c63483.256p.jpg,64.13 CFM,Black,19.8 - 24 dB,Yes,500 - 1200 RPM,140 mm,4.5
Apevia S 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/f14b74d17831080dc865b7908b9ec77a.256p.jpg,57.67 CFM,Black / Red,24.7 dB,No,1500 RPM,120 mm,5
Fractal Design Silent LL,,https://cdna.pcpartpicker.com/static/forever/images/product/86381e39c7578c7c48bd65372a66ec80.256p.jpg,41.8 CFM,Black,24.8 dB,No,1200 RPM,120 mm,4
Deepcool CF,,https://cdna.pcpartpicker.com/static/forever/images/product/89ada51704856d20db33cce507f3e756.256p.jpg,56.5 CFM,Black,17.8 - 27 dB,Yes,500 - 1500 RPM,120 mm,4.5
Cooler Master MasterFan MF120R 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/ea3ae0b1fd1cb0290791ea1db2fb2bae.256p.jpg,59 CFM,Black,31 dB,Yes,650 - 2000 RPM,120 mm,4
Cooler Master MasterFan SF120R,,,59 CFM,Black,8 - 30 dB,Yes,650 - 2000 RPM,120 mm,5
Corsair iCUE SP140 RGB Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/15380f3b57046d4925e57d3dc3e2c93d.256p.jpg,62 CFM,Black,26 dB,No,1150 RPM,140 mm,3
Apevia 412L-RGB Spectra 4-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/a97441d70bbfb2d09e299ce4a2a835bc.256p.jpg,57.67 CFM,Black,24.7 dB,No,1350 RPM,120 mm,5
Apevia Spectra 6-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/b40bc660ebc5dc674e8c91a39e450e6e.256p.jpg,57.67 CFM,Black,24.7 dB,Yes,1350 RPM,120 mm,3.5
upHere B12CM4 3-Pack,,,18.1 - 50.9 CFM,Blue,15.9 - 34.4 dB,Yes,600 - 1800 RPM,120 mm,4.5
Thermaltake Pure Duo 2-Pack,45.59,https://cdna.pcpartpicker.com/static/forever/images/product/174c6e09e7fccbc3e13286f1fceb8fc5.256p.jpg,,Black,28 dB,Yes,500 - 1500 RPM,120 mm,4
Xigmatek Galaxy II Pro 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/02134ae6cd563d77ad20d54da358726e.256p.jpg,,Black / White,,No,600 - 1500 RPM,120 mm,0
ARCTIC P12 PST RGB 0dB,,https://cdna.pcpartpicker.com/static/forever/images/product/b2f0807e5af737bda8212f1c6164aa8b.256p.jpg,48.8 CFM,Black,,Yes,,120 mm,5
EK Furious Vardar EVO BB,,https://cdna.pcpartpicker.com/static/forever/images/product/55d659f529e328af1439457ee4cfd8f8.256p.jpg,144 CFM,Black,48.4 dB,Yes,2500 RPM,140 mm,0
In Win Sirius Extreme Pure ASE120P 3-Pack,,,54 CFM,White,21 - 25 dB,Yes,400 - 1500 RPM,120 mm,0
ID-COOLING FL-12025K,,https://cdna.pcpartpicker.com/static/forever/images/product/a94feb71e5ac65a9381afb64e055db21.256p.jpg,45 CFM,Black,21 dB,No,1250 RPM,120 mm,0
ARCTIC F12 PST 3-Pack,,,53 CFM,Black,22.5 dB,Yes,230 - 1350 RPM,120 mm,0
Bitspower Notos 3-Pack,,,,Black / White,25 - 28 dB,Yes,800 - 1800 RPM,120 mm,5
Tempest TP-FAN120-B,,https://cdna.pcpartpicker.com/static/forever/images/product/fe4f40eba28885edad088577ef9390bd.256p.jpg,37.8 CFM,Black,20.4 dB,No,1000 RPM,120 mm,0
Phanteks M25-140 PWM 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/94d89f03a2d80159fe3f3fc89354ddcc.256p.jpg,104.62 CFM,Black,36.57 dB,Yes,500 - 1800 RPM,140 mm,0
Gelid Solutions Silent 12,13.9,,40.3 CFM,Black,20.2 dB,No,1000 RPM,120 mm,0
Antec Storm T3,,,44.82 - 112.72 CFM,Black,33.69 dB,Yes,600 - 1500 RPM,140 mm,0
Thermalright TL-C-S 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/4527ee01ac9f9560cd518047c0757107.256p.jpg,66.17 CFM,Black / White,25.6 dB,Yes,1500 RPM,120 mm,0
Athena Power FANC-4020S,,,7.1 CFM,Black,28 dB,No,6200 RPM,40 mm,0
SHARKOON Rebel F50,32.99,,77.65 CFM,Black,35 dB,Yes,600 - 2000 RPM,120 mm,0
ID-COOLING TF-12025-ARGB REVERSE,,https://cdna.pcpartpicker.com/static/forever/images/product/d30352902f81681b603d6eec2829704d.256p.jpg,68.2 CFM,,13.8 - 30.5 dB,Yes,500 - 1500 RPM,120 mm,0
ID-COOLING TF-12025-PRO-ARGB REVERSE,,https://cdna.pcpartpicker.com/static/forever/images/product/99922277249fe9714a9e8fc341540993.256p.jpg,82.5 CFM,,35.2 dB,Yes,500 - 1800 RPM,120 mm,0
Montech AIR FAN P120 2-Pack,,,73 CFM,Gray / Black,10 - 27 dB,Yes,600 - 1500 RPM,120 mm,0
Antec Prizm 2-Pack,,,65.03 CFM,Black,32 dB,Yes,1700 RPM,140 mm,0
Thermalright TL-H12W-X28-R9,,,98.2 CFM,White,32.7 dB,Yes,2400 RPM,120 mm,0
Thermaltake TOUGHFAN 12 3-Pack,103.57,https://cdna.pcpartpicker.com/static/forever/images/product/41eaf84ffe5dbb2d6fcec7a92c48cc98.256p.jpg,53.75 CFM,Black,21.2 dB,No,500 - 2000 RPM,120 mm,0
Silverstone Air Penetrator,17.98,,80 - 130 CFM,Black,18 - 34 dB,No,700 - 1200 RPM,180 mm,3
Noctua A9 FLX,17.95,,25.25 - 38.02 CFM,Brown,8.4 - 17.1 dB,No,1050 - 1600 RPM,92 mm,4.5
PC Cooler CORONA 3-IN-1 FRGB KIT 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/7a49a8cb5c8be47b912e8e36038f8ee9.256p.jpg,68 CFM,Black,8 - 29.1 dB,No,1000 - 2000 RPM,120 mm,0
Noctua B9 PWM,28,,30.96 - 37.85 CFM,Brown,13.1 - 17.6 dB,No,300 - 1600 RPM,92 mm,4
Scythe Kaze Flex ARGB,33.03,https://cdna.pcpartpicker.com/static/forever/images/product/482a24d9a8e662799bda6adbdd5cdc69.256p.jpg,16.6 - 79.76 CFM,Black / White,4 - 35.8 dB,Yes,300 - 1800 RPM,120 mm,0
ARCTIC F,8.19,https://cdna.pcpartpicker.com/static/forever/images/product/54a593a51545a46537cdbd24fad75231.256p.jpg,53 CFM,Black,,Yes,230 - 1350 RPM,120 mm,0
Iceberg Thermal IceGALE ARGB 2-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/7758e49fea8c746d3be05c1ec70f253c.256p.jpg,96 CFM,Teal / White,0 - 36 dB,Yes,500 - 1600 RPM,140 mm,0
Vetroo SA-140,,,69.29 CFM,Black,33.5 dB,Yes,1200 RPM,140 mm,0
Deepcool MF GT 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/74fa2d6549d3906bbb9ca392fa80fc9a.256p.jpg,60.6 CFM,Black,35 dB,Yes,500 - 1800 RPM,120 mm,4
Thermaltake SWAFAN GT14,,https://cdna.pcpartpicker.com/static/forever/images/product/c080313487f9b1c7df06918de9528f90.256p.jpg,54.71 - 58.17 CFM,Black,26.5 - 29.8 dB,Yes,500 - 2000 RPM,140 mm,0
Gelid Solutions FN-SX05-40,11.99,,21.94 CFM,White,23 dB,No,4000 RPM,50 mm,0
Apevia C 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/5a8efd2345c7a9a01a76bd4b3152340d.256p.jpg,57.67 CFM,Black / Multicolor,24.7 dB,No,1500 RPM,120 mm,5
Thermaltake Riing Trio 20 RGB TT Premium Edition,,https://cdna.pcpartpicker.com/static/forever/images/product/6111cace6e27d657fb740ab03a14b5fe.256p.jpg,123.53 CFM,Black,28 dB,Yes,500 - 1000 RPM,200 mm,0
