name,price,image,airflow,color,noise_level,pwm,rpm,size,rating
Noctua A12x15 PWM,21.95,,41.67 - 55.44 CFM,Brown,16.8 - 23.9 dB,Yes,450 - 1850 RPM,120 mm,4.5
be quiet! Pure Wings 3,11.99,https://cdna.pcpartpicker.com/static/forever/images/product/b28130a638657a490849c499b4967907.256p.jpg,49.9 CFM,Black,25.5 dB,Yes,1600 RPM,120 mm,4.5
Thermalright TL-M12R,,,42.6 CFM,Black,23.2 dB,Yes,1500 RPM,120 mm,4.5
Lian Li UNI FAN SL-INF Wireless 3-Pack,79.99,https://cdna.pcpartpicker.com/static/forever/images/product/3e5e73e7f0832e7c69c1f5a9b9a0f386.256p.jpg,69.7 CFM,White,32.2 dB,Yes,200 - 2200 RPM,120 mm,5
Thermalright TL-C12RB-S V2,7,,58 CFM,Black / White,25.6 dB,Yes,1500 RPM,120 mm,4.5
NZXT F120 RGB Core,17.47,https://cdna.pcpartpicker.com/static/forever/images/product/d3b7eba12fff50eab9f50e3a097d7b86.256p.jpg,78.86 CFM,Black,33.88 dB,Yes,500 - 1800 RPM,120 mm,4
Lian Li UNI FAN SL Wireless 3-Pack,59.95,https://cdna.pcpartpicker.com/static/forever/images/product/1c2e20edd0898dfa1d70f1621d91f878.256p.jpg,64.05 CFM,Black,28.5 dB,Yes,400 - 2000 RPM,120 mm,4
Noctua A14 PWM chromax.black.swap,26.95,,82.52 CFM,Multicolor,24.6 dB,Yes,300 - 1500 RPM,140 mm,4.5
ARCTIC P12 PWM PST,,https://cdna.pcpartpicker.com/static/forever/images/product/db1d3003e483e6f57fd4d886f48c3a03.256p.jpg,56.3 CFM,Black,,Yes,200 - 1800 RPM,120 mm,4.5
ARCTIC P12 Slim PWM PST,5.99,https://cdna.pcpartpicker.com/static/forever/images/product/585539606f3c6e915473368a8855c26a.256p.jpg,41.1 CFM,Black,22.5 dB,Yes,300 - 2100 RPM,120 mm,4.5
Phanteks T30-120,25.99,https://cdna.pcpartpicker.com/static/forever/images/product/8c344cdb49ed49922789f78b1c9bac98.256p.jpg,0 - 101 CFM,Black,0 - 39.7 dB,Yes,,120 mm,4.5
Corsair RS120,9.95,https://cdna.pcpartpicker.com/static/forever/images/product/1bfd7cf44d0aec51971c7cb5282c78f6.256p.jpg,13.3 - 72.8 CFM,Black,10 - 36 dB,Yes,420 - 2100 RPM,120 mm,4.5
Noctua A8 PWM,16.95,,25.84 - 32.66 CFM,Brown,13.8 - 17.7 dB,Yes,450 - 2200 RPM,80 mm,4.5
Noctua A9x14 HS-PWM chromax.Black.swap,18.95,,33.84 CFM,Black / Multicolor,23.6 dB,Yes,600 - 2500 RPM,92 mm,4.5
Thermalright TL-M12QR X3 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/9a69944dfdcfad225c766600dfd82b59.256p.jpg,47.6 CFM,Black,23.2 dB,Yes,1500 RPM,120 mm,4.5
Phanteks M25G2-120 D-RGB Reverse 3-Pack,25.99,https://cdna.pcpartpicker.com/static/forever/images/product/0046c2d734c1d6351e091b207daaf00f.256p.jpg,73.69 CFM,Black,39.28 dB,Yes,350 - 2000 RPM,120 mm,4
Lian Li UNI FAN CL Wireless 3-Pack,34.99,https://cdna.pcpartpicker.com/static/forever/images/product/ac806547023b0bc7ebf4a5e03ae9946f.256p.jpg,72.3 CFM,Black,30.8 dB,Yes,250 - 2100 RPM,120 mm,5
ARCTIC P14 Pro A-RGB,17.99,,110 CFM,Black,,Yes,400 - 2500 RPM,140 mm,4.5
Thermalright TL-S12 X3 3-Pack,20.59,,47.6 CFM,Black,23.2 dB,Yes,1500 RPM,120 mm,4.5
Thermalright TL-C14C,,,75.8 CFM,Black,26.4 dB,Yes,1500 RPM,140 mm,4.5
