name,price,image,capacity,interface,type,form_factor,cache,price_gb,rating
Samsung 960 Evo,,https://cdna.pcpartpicker.com/static/forever/images/product/05c84a7f2b020b4efe1b7b736b9eefd0.256p.jpg,250 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,512 MB,,4.5
TEAMGROUP MP44Q,167.5,https://cdna.pcpartpicker.com/static/forever/images/product/dacd35ede5635f3afe45a6014ceba789.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.168,5
Asus ROG Strix SQ7,,https://cdna.pcpartpicker.com/static/forever/images/product/5799413da768adb5d686323be059d43d.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,1024 MB,,0
PNY CS2140,,https://cdna.pcpartpicker.com/static/forever/images/product/d46e6931e1bc0a97166ac4efa9eb0f94.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,5
Lexar NM990,266.99,https://cdna.pcpartpicker.com/static/forever/images/product/a65abaf010cd19b6d45a9a5012e185ec.256p.jpg,2 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.133,0
Kingston A2000,184.91,https://cdna.pcpartpicker.com/static/forever/images/product/04f2780924ad6adc22bc16609804195f.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.185,4.5
SK Hynix Gold P31,,,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
Centon MP Essential,166.1,https://cdna.pcpartpicker.com/static/forever/images/product/0ea30deb65dee4d38ba5282ef286130b.256p.jpg,960 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.208,0
ADATA SU630,37.93,https://cdna.pcpartpicker.com/static/forever/images/product/eb2766bf443b4123cb7cf75e65002a7b.256p.jpg,240 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.158,4
Western Digital Black SN850,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/67ae19fe7847cb5bf67f4448e717e831.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.200,4.5
PNY CS2241,344.96,https://cdna.pcpartpicker.com/static/forever/images/product/3fc0cebea011952b5ccdfcf28c99b221.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.172,0
MSI SPATIUM M470 PRO,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/73900c14eb1973ec24f0744d3d439253.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.150,4.5
Klevv CRAS C925,,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,0
SK Hynix Platinum P51,,,2 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,,5
Corsair MP400,,https://cdna.pcpartpicker.com/static/forever/images/product/ff845613cc0803168356a8450932e542.256p.jpg,8 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,5
Lexar NS100,170.25,https://cdna.pcpartpicker.com/static/forever/images/product/596c7bec5396b0c1a0ffb5c344d0797d.256p.jpg,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.170,0
Samsung 860 QVO,,https://cdna.pcpartpicker.com/static/forever/images/product/7477813c6b50ff2093ca5677eac53a61.256p.jpg,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,,4.5
PNY CS1031,92.42,,500 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.185,0
ADATA Legend 800,,https://cdna.pcpartpicker.com/static/forever/images/product/ac08cb11cbb317cac3805442bffdd8d0.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,5
Orico Y-20,25.99,,128 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.203,0
Kingston NV1,,https://cdna.pcpartpicker.com/static/forever/images/product/4b38e34b765a81eddcd84d5450a7f353.256p.jpg,500 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
Gigabyte GP-GSTFS31240GNTD,73.81,https://cdna.pcpartpicker.com/static/forever/images/product/857e48d946c6f3b3ede44ab153fa1079.256p.jpg,240 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.308,4.5
Corsair MP600 ELITE,369.59,https://cdna.pcpartpicker.com/static/forever/images/product/e7a504afe6b68b11181974ea50eedff7.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.185,5
TEAMGROUP MP44,470.87,https://cdna.pcpartpicker.com/static/forever/images/product/e6f690b84c15d5854933edd262dc77c0.256p.jpg,4 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.118,5
MSI SPATIUM M560,368.28,,2 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.184,0
MSI SPATIUM M571 DLP,339.99,,2 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,2048 MB,£0.170,0
Biwin M350,,,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,5
Crucial T500 W/Heatsink,209.99,https://cdna.pcpartpicker.com/static/forever/images/product/d560931c58b12d087e0630e9283bfca0.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.210,5
TEAMGROUP AX2,128.19,,1 TB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.128,4.5
TEAMGROUP MS30,117.94,https://cdna.pcpartpicker.com/static/forever/images/product/6c56efb792800668ebdf88501040055a.256p.jpg,1 TB,M.2 SATA,SSD,M.2-2280,,£0.118,4
