web_scraper_order,web_scraper_start_url,pagination,name,interface,rating,price,color,name3,price2,interface2,color2,name2,name4
"1784222753-54","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech USB31000NDS","InterfaceUSB Type-A 3.2 Gen 1","(0)","£25.66Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/6649a6de92b9e056f16f61298f6f1fd2.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/6649a6de92b9e056f16f61298f6f1fd2.256p.jpg"
"1784222753-55","https://uk.pcpartpicker.com/products/wired-network-card/","","Supermicro AOC-STG-i2T","InterfacePCIe x8","(0)","Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/e77399bf6404835dcb420550ab08066c.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/e77399bf6404835dcb420550ab08066c.256p.jpg"
"1784222753-56","https://uk.pcpartpicker.com/products/wired-network-card/","","Gigabyte GC-AQC113C 10G","InterfacePCIe x4","(0)","Add","ColorWhite / Silver","(0)","Add","Interface","Color","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784222753-57","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST10GSPEXNB","InterfacePCIe x4","(0)","Add","ColorBlack","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/2a42f51875492d5e048b0739b1bbcc0f.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/2a42f51875492d5e048b0739b1bbcc0f.256p.jpg"
"1784222753-58","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel EXPI9402PTG2P20","InterfacePCIe x4","(0)","£104.41Add","ColorGreen / Black","(0)","Add","Interface","Color","https://images-na.ssl-images-amazon.com/images/I/419H7vmlAkL.jpg","https://images-na.ssl-images-amazon.com/images/I/419H7vmlAkL.jpg"
"1784222753-59","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST1000SPEX42","InterfacePCIe x4","(0)","Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/411YJCfIVOL.jpg","https://m.media-amazon.com/images/I/411YJCfIVOL.jpg"
"1784222753-60","https://uk.pcpartpicker.com/products/wired-network-card/","","Belkin F2CU040btBLK","InterfaceUSB Type-C 3.2 Gen 1","(0)","£29.99Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/b677afc9d9e8a44c5b0c3b65ea65958b.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b677afc9d9e8a44c5b0c3b65ea65958b.256p.jpg"
"1784222753-61","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST1000BT32","InterfacePCI","(1)","Add","Color","(1)","Add","Interface","Color","https://m.media-amazon.com/images/I/41n4DxNJONL.jpg","https://m.media-amazon.com/images/I/41n4DxNJONL.jpg"
"1784222753-62","https://uk.pcpartpicker.com/products/wired-network-card/","","Syba SY-PEX24030","InterfacePCIe x1","(0)","Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41uuFawEtWL.jpg","https://m.media-amazon.com/images/I/41uuFawEtWL.jpg"
"1784222753-63","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST10000SPEX","InterfacePCIe x4","(0)","Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41LXDvmycXL.jpg","https://m.media-amazon.com/images/I/41LXDvmycXL.jpg"
"1784222753-64","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel E1G44ET2","InterfacePCIe x4","(0)","Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41FaNGaccqL.jpg","https://m.media-amazon.com/images/I/41FaNGaccqL.jpg"
"1784222753-65","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel E1G42ET","InterfacePCIe x4","(0)","£129.80Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41HAn1n8GGL.jpg","https://m.media-amazon.com/images/I/41HAn1n8GGL.jpg"
"1784222753-66","https://uk.pcpartpicker.com/products/wired-network-card/","","D-Link DUB-E100","InterfaceUSB Type-A 2.0","(0)","£15.49Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41fZ6CPrH2L.jpg","https://m.media-amazon.com/images/I/41fZ6CPrH2L.jpg"
"1784222753-67","https://uk.pcpartpicker.com/products/wired-network-card/","","VisionTek Bigfoot Killer 2100","InterfacePCIe x1","(1)","Add","Color","(1)","Add","Interface","Color","https://m.media-amazon.com/images/I/41W2KgKu9+L.jpg","https://m.media-amazon.com/images/I/41W2KgKu9+L.jpg"
"1784222753-68","https://uk.pcpartpicker.com/products/wired-network-card/","","Edimax EU-4208","InterfaceUSB Type-A 2.0","(0)","Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/95c4a15c96d4db8fa7db487df3a9f282.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/95c4a15c96d4db8fa7db487df3a9f282.256p.jpg"
"1784222753-69","https://uk.pcpartpicker.com/products/wired-network-card/","","Asus PCE-C2500","InterfacePCIe x1","(0)","Add","ColorRed","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/41Yfk8ycH8L.jpg","https://m.media-amazon.com/images/I/41Yfk8ycH8L.jpg"
"1784222753-70","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel PWLA8391GT","InterfacePCI","(0)","Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/51+UPiNllBL.jpg","https://m.media-amazon.com/images/I/51+UPiNllBL.jpg"
"1784222753-71","https://uk.pcpartpicker.com/products/wired-network-card/","","D-Link DGE-530T","InterfacePCI","(0)","£11.99Add","Color","(0)","Add","Interface","Color","https://images-na.ssl-images-amazon.com/images/I/51NrCKnRCgL.jpg","https://images-na.ssl-images-amazon.com/images/I/51NrCKnRCgL.jpg"
"1784222753-72","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech US2GC30","InterfaceUSB Type-C 3.2 Gen 1","(0)","£41.24Add","ColorSilver","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/9417648cd18c979223244d41a43bd44b.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/9417648cd18c979223244d41a43bd44b.256p.jpg"
"1784222753-73","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel PWLA8391GTLBLK","InterfacePCI","(0)","Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/0e791fdd54f2dd244794a9c53202e3bd.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/0e791fdd54f2dd244794a9c53202e3bd.256p.jpg"
"1784222753-74","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech ST2000PEXPSE","InterfacePCIe x1","(0)","£105.01Add","Color","(0)","Add","Interface","Color","https://m.media-amazon.com/images/I/51iATInoMlL.jpg","https://m.media-amazon.com/images/I/51iATInoMlL.jpg"
"1784222753-75","https://uk.pcpartpicker.com/products/wired-network-card/","","StarTech PEX100S","InterfacePCIe x1","(0)","£29.58Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/70fe329deea5427ac2dc73dcb51f9597.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/70fe329deea5427ac2dc73dcb51f9597.256p.jpg"
"1784222753-76","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel EXPI9402PT","InterfacePCIe x4","(0)","£75.46Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/de219bb9a8c917a5a9bf7db7ec1d1e8a.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/de219bb9a8c917a5a9bf7db7ec1d1e8a.256p.jpg"
"1784222753-77","https://uk.pcpartpicker.com/products/wired-network-card/","","Intel PWLA8492MT","InterfacePCI-X","(0)","£141.90Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/0c757ba709eabd5411d6adc8db85a846.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/0c757ba709eabd5411d6adc8db85a846.256p.jpg"
"1784222753-78","https://uk.pcpartpicker.com/products/wired-network-card/","","Acer NP.OTH11.005","InterfaceUSB Type-A 2.0","(0)","Add","Color","(0)","Add","Interface","Color","https://cdna.pcpartpicker.com/static/forever/images/product/b2b9343c5592703ecdb20ed89e2f9ce1.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b2b9343c5592703ecdb20ed89e2f9ce1.256p.jpg"
