web_scraper_order,web_scraper_start_url,pagination,name,channels,rating,price,channel_wattage,name3,pwm_(4-pin),form_factor,price2,color,channels2,channel_wattage2,pwm_(4-pin)2,color2,form_factor2,name2,name4
"1784223268-11","https://uk.pcpartpicker.com/products/fan-controller/","","Lian Li UNI HUB – SLV2 Controller","Channels4","(0)","Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/21uyqG+P5pL.jpg","https://m.media-amazon.com/images/I/21uyqG+P5pL.jpg"
"1784223268-12","https://uk.pcpartpicker.com/products/fan-controller/","","Lian Li UNI HUB – SLV2 Controller","Channels4","(0)","Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorWhite","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/21uyqG+P5pL.jpg","https://m.media-amazon.com/images/I/21uyqG+P5pL.jpg"
"1784223268-13","https://uk.pcpartpicker.com/products/fan-controller/","","Fractal Design Adjust Pro Hub","Channels4","(0)","£29.99Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/d623f65b1799b293a23e0a09468adfa8.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/d623f65b1799b293a23e0a09468adfa8.256p.jpg"
"1784223268-14","https://uk.pcpartpicker.com/products/fan-controller/","","Thermalright TL-FAN-HUB Controller Rev.A","Channels10","(1)","Add","Channel Wattage","(1)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/317zN4lvvkL.jpg","https://m.media-amazon.com/images/I/317zN4lvvkL.jpg"
"1784223268-15","https://uk.pcpartpicker.com/products/fan-controller/","","Phanteks Nexlinq","Channels3","(0)","£16.99Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/78185a1b8845add099314285e1a3268f.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/78185a1b8845add099314285e1a3268f.256p.jpg"
"1784223268-16","https://uk.pcpartpicker.com/products/fan-controller/","","EZDIY-FAB US-12V 5V fan hub-16P","Channels8","(0)","Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/312S8ZuGVCL.jpg","https://m.media-amazon.com/images/I/312S8ZuGVCL.jpg"
"1784223268-17","https://uk.pcpartpicker.com/products/fan-controller/","","Deepcool FH-04","Channels4","(8)","Add","Channel Wattage","(8)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/9835ea94302c8b39b2509f01934b4ee6.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/9835ea94302c8b39b2509f01934b4ee6.256p.jpg"
"1784223268-18","https://uk.pcpartpicker.com/products/fan-controller/","","Thermaltake Commander FT","Channels5","(3)","Add","Channel Wattage10 W","(3)","PWM (4-Pin)Yes","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/5922edfffc1124cc53871aa4c3ac1b88.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/5922edfffc1124cc53871aa4c3ac1b88.256p.jpg"
"1784223268-19","https://uk.pcpartpicker.com/products/fan-controller/","","Thermalright TL-FAN HUB X4","Channels4","(2)","Add","Channel Wattage","(2)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/31LE4YZbbdL.jpg","https://m.media-amazon.com/images/I/31LE4YZbbdL.jpg"
"1784223268-20","https://uk.pcpartpicker.com/products/fan-controller/","","Deepcool FH-10","Channels10","(1)","Add","Channel Wattage","(1)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/7ea84f7f19f2842191362180668b985a.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/7ea84f7f19f2842191362180668b985a.256p.jpg"
