name,price,image,fan_rpm,noise_level,color,radiator_size,size,rating
be quiet! Pure Rock 3,27.9,https://cdna.pcpartpicker.com/static/forever/images/product/0c15d5db66e04ad50dd39228ced3a511.256p.jpg,2000 RPM,12.4 - 31.2 dB,Black,,,5
ID-COOLING FROZN A620 PRO SE,24.99,https://cdna.pcpartpicker.com/static/forever/images/product/c4c978ad9ecf59156eab170fbfbabe21.256p.jpg,300 - 2000 RPM,27.2 dB,Black,,,4.5
ID-COOLING SE-214-XT V2 BLACK,Add,,300 - 2000 RPM,27.2 dB,Black,,,5
ARCTIC Liquid Freezer II 420 RGB,347.31,https://cdna.pcpartpicker.com/static/forever/images/product/26c386757edb664c98c423f476095ce9.256p.jpg,200 - 1900 RPM,22.5 dB,Black,420 mm,420 mm,0
Corsair NAUTILUS 240 RS LCD,49.99,https://cdna.pcpartpicker.com/static/forever/images/product/c7b6c5dad557b0baceca0396439d214c.256p.jpg,2100 RPM,10 - 36 dB,Black,240 mm,240 mm,5
be quiet! Silent Loop 3,109,https://cdna.pcpartpicker.com/static/forever/images/product/8a277ab7166d97b45d51dcd463ebdf05.256p.jpg,2500 RPM,19.8 - 38.8 dB,Black,360 mm,360 mm,5
be quiet! Pure Rock Pro 3,41.9,https://cdna.pcpartpicker.com/static/forever/images/product/adc1a4087a4dd593fe49b79e6373bfd4.256p.jpg,2000 RPM,14 - 34.8 dB,Black,,,5
Asus ProArt LC 420,229.95,https://cdna.pcpartpicker.com/static/forever/images/product/5d83c953ff500cfdee84a1d64c342fc0.256p.jpg,800 - 2000 RPM,31.5 dB,Black,420 mm,420 mm,4
Corsair NAUTILUS 360 RS,86.39,https://cdna.pcpartpicker.com/static/forever/images/product/064aaf809c733638ac91fac1bc46dc00.256p.jpg,2100 RPM,34 dB,Black,360 mm,360 mm,4.5
Thermalright Frozen Notte ARGB,86.88,https://cdna.pcpartpicker.com/static/forever/images/product/315dec7805c5f01538f5748620fddffa.256p.jpg,2000 RPM,27.7 dB,Black,360 mm,360 mm,4.5
Thermalright Assassin X Refined SE ARGB,£19.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/5008fe1e42870ed35b2bf39c1a1e90c9.256p.jpg,1550 RPM,25.6 dB,Black / Silver,,,4.5
Noctua NL-LC1-42,242.95,https://cdna.pcpartpicker.com/static/forever/images/product/073c0e83a07cb0efc8ffa8a812edcc79.256p.jpg,,24.8 dB,Brown / Beige,420 mm,420 mm,5
MSI MAG CORELIQUID A13,62.99,https://cdna.pcpartpicker.com/static/forever/images/product/94534ff5409f98708d38cc1b06d0adf7.256p.jpg,,Black,Black,360 mm,360 mm,5
