name,price,image,capacity,interface,type,price_gb,color,rating
Silicon Power PC60,94.49,https://cdna.pcpartpicker.com/static/forever/images/product/b89839cf227ea50107768254cce85084.256p.jpg,256 GB,USB Type-C 3.2 Gen 2,Portable,£0.369,Black,0
Western Digital G-DRIVE ev RaW,,https://cdna.pcpartpicker.com/static/forever/images/product/ffeb13f9aa93b6ce54c2db130fbb08b9.256p.jpg,2000 GB,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",Portable,,Silver,0
Seagate Backup Plus Ultra Touch,,https://cdna.pcpartpicker.com/static/forever/images/product/cecb830aa9059f213f2e68e99ad42199.256p.jpg,2000 GB,USB Type-A 3.2 Gen 1,Portable,,White,0
Asus FX HDD,,,2000 GB,USB Type-A 3.2 Gen 2,Portable,,Black,0
ADATA SE730,,,250 GB,USB Type-C 3.2 Gen 1,Portable,,,0
Apricorn Aegis Padlock Fortress,378.85,https://cdna.pcpartpicker.com/static/forever/images/product/d9faa26216e3e2f9b1c956bcdf981ccc.256p.jpg,2000 GB,USB Type-A 3.2 Gen 1,Portable,£0.189,Black,0
ADATA DashDrive SE720,,https://cdna.pcpartpicker.com/static/forever/images/product/851ec3b93de00547fe1d62cbc7320ea4.256p.jpg,128 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Hitachi HGST Touro Mobile,,,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,5
Verbatim Store 'n' Go,,https://cdna.pcpartpicker.com/static/forever/images/product/5d3bbe092c618fa5c90d95fb4276a8db.256p.jpg,128 GB,USB Type-A 3.2 Gen 1,Portable,,,0
Western Digital My Passport Studio,,,2000 GB,"IEEE 1394B 9-Pin, USB Type-A 2.0",Portable,,,0
Western Digital My Passport Air,,,500 GB,USB Type-A 3.2 Gen 1,Portable,,,4
LaCie Porsche Design,,,1000 GB,USB Type-A 3.2 Gen 1,Portable,,,0
TEAMGROUP PD20 Eco Mini,401.87,https://cdna.pcpartpicker.com/static/forever/images/product/e9fb411c1ca8a5bd9f8914a6668607cc.256p.jpg,4000 GB,USB Type-C,Portable,£0.100,White / Green,0
Sabrent Rocket Nano Rugged,195.73,https://cdna.pcpartpicker.com/static/forever/images/product/4de327fbeb6dc7d02c5cec4c2463c959.256p.jpg,1000 GB,USB Type-C 3.2 Gen 2,Portable,£0.196,Silver,0
SanDisk SDSSDT40-4T00-NA25,,,4000 GB,USB Type-C 3.2 Gen 2,Desktop,,Black,0
Western Digital My Passport For Mac,,https://cdna.pcpartpicker.com/static/forever/images/product/cb7f54b747644357e294c444fe2a980a.256p.jpg,1000 GB,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",Portable,,Black,0
Western Digital WDBGPU0010BBK-NESN,,,1000 GB,,Portable,,,5
Koss Kanguru Ultra,,https://cdna.pcpartpicker.com/static/forever/images/product/96f3045b604308bac7ef2e1bef8c0108.256p.jpg,2000 GB,USB Type-C,Desktop,,Black,0
Verbatim 99399,,https://cdna.pcpartpicker.com/static/forever/images/product/accda46d7fd1149854f40d978b582078.256p.jpg,4000 GB,USB Type-A 3.2 Gen 1,Desktop,,Black,0
G-Technology G-DRIVE,,,4000 GB,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",Desktop,,,0
Apricorn ASSD-3PL256-120F,,,120 GB,USB Type-A 2.0,Desktop,,,0
Edge Tech EDGDG-236236-PE,,,4000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Buslink CipherShield,,,6000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Transcend StoreJet 35T3,,,2000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Imation Apollo Pro UX,,https://cdna.pcpartpicker.com/static/forever/images/product/c276ff3ed90321a07ba7ebe62f81b88a.256p.jpg,1000 GB,USB Type-A 2.0,Desktop,,,0
Buslink CSC-2T-U3,,https://cdna.pcpartpicker.com/static/forever/images/product/26756797a22058d15a742b9ec02f83e1.256p.jpg,2000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Buslink CSC-1T-U2,,,1000 GB,USB Type-A 2.0,Desktop,,,0
Buslink CRF-2T-U2,,,2000 GB,USB Type-A 2.0,Desktop,,,0
Axiom USB3HD35S500-AX,,,500 GB,,Desktop,,,0
Axiom USB3HD35S3TB-AX,,,3000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Axiom USB3HD35S2TB-AX,,,2000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Axiom USB3HD35S250-AX,,,250 GB,,Desktop,,,0
Axiom USB3HD35S1TB-AX,,,1000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Hitachi HGST Touro Desk Pro,,,4000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Hitachi HGST Touro Desk,,,4000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Seagate FreeAgent GoFlex Desk,,,1000 GB,USB Type-A 2.0,Desktop,,,5
LaCie d2,,,4000 GB,"Thunderbolt, USB Type-A 3.2 Gen 1",Desktop,,,0
LaCie d2 Quadra,,,5000 GB,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",Desktop,,,0
LaCie 2big,,,10000 GB,Thunderbolt,Desktop,,,0
LaCie 4big Quadra,,,8000 GB,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",Desktop,,,0
LaCie Minimus,,,3000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
