name,price,image,chipset,memory,core_clock,boost_clock,color,length,rating
Gigabyte EAGLE OC ICE,310.99,https://cdna.pcpartpicker.com/static/forever/images/product/a6bfce56e3fc8852e785b3e828bb8877.256p.jpg,GeForce RTX 5060,8 GB,2280 MHz,White,White,208 mm,5
MSI VENTUS 2X XS OC,263.96,https://cdna.pcpartpicker.com/static/forever/images/product/cd30fd761012460241548ac2a5a9f8a4.256p.jpg,GeForce RTX 3050 8GB,8 GB,1550 MHz,1807 MHz,Black / Gray,205 mm,4
Gigabyte AERO OC,957.99,https://cdna.pcpartpicker.com/static/forever/images/product/87996fa1877095ab8f6db8fb7b6adf34.256p.jpg,GeForce RTX 5070 Ti,16 GB,2588 MHz,White / Silver,White / Silver,340 mm,5
MSI SHADOW 2X OC,370.36,https://cdna.pcpartpicker.com/static/forever/images/product/8c4f403aea1d6a32045a6368e23486c1.256p.jpg,GeForce RTX 5060,8 GB,2280 MHz,2535 MHz,Black / Silver,197 mm,4
ASRock Intel Arc A380 Challenger ITX,195.21,https://cdna.pcpartpicker.com/static/forever/images/product/c887172d5b7e8f6241c60d0c42cf358d.256p.jpg,Arc A380,6 GB,2250 MHz,Black,Black,190 mm,3.5
NVIDIA 900-5G144-2200-000,11599.99,https://cdna.pcpartpicker.com/static/forever/images/product/2c08913683bd92dd3c8d0bef906c6cd5.256p.jpg,RTX PRO 6000 Blackwell,96 GB,1590 MHz,,Black,305 mm,0
XFX Mercury OC RGB,699,https://cdna.pcpartpicker.com/static/forever/images/product/65b2abf683f0bb8024a83e0038429b5b.256p.jpg,Radeon RX 9070 XT,16 GB,1870 MHz,3100 MHz,Black,360 mm,5
MSI LIGHTNING Z,7990.87,GeForce GTX 1080 Ti,GeForce RTX 5090,32 GB,2010 MHz,2775 MHz,Black / Gold,260 mm,0
Gigabyte OC Low Profile,299.99,https://cdna.pcpartpicker.com/static/forever/images/product/5c3e19e3f7bb2f00d5eac831e50d953f.256p.jpg,GeForce RTX 5060,8 GB,2280 MHz,Black,Black,182 mm,5
Gigabyte AORUS MASTER,3999.95,https://cdna.pcpartpicker.com/static/forever/images/product/96ecd11ddbe5a193c95422e8e620fca6.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,2655 MHz,Black,360 mm,4.5
ASRock Steel Legend,804.14,https://cdna.pcpartpicker.com/static/forever/images/product/289050b8f57e88a5cc6ea4463310a5ef.256p.jpg,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,White / Gray,298 mm,4.5
MSI VENTUS XS OC,548.54,https://cdna.pcpartpicker.com/static/forever/images/product/f88a997f62934e98b9919a099189973a.256p.jpg,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1830 MHz,Silver / Black,257 mm,5
MSI GAMING OC,219.99,https://cdna.pcpartpicker.com/static/forever/images/product/445386b9130d4aaa4ce6d9075fcae250.256p.jpg,GeForce RTX 5050,8 GB,2317 MHz,2647 MHz,Black,202 mm,0
PNY ARGB EPIC-X RGB OC,1305.46,https://cdna.pcpartpicker.com/static/forever/images/product/a80c21ceedea8021d7b2efdade387f44.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,2780 MHz,Black,329 mm,5
ASRock Challenger D,219.99,https://cdna.pcpartpicker.com/static/forever/images/product/c5489241c902a9ae06a42212e978f989.256p.jpg,Radeon RX 6600,8 GB,1626 MHz,Black,Black,269 mm,4.5
MSI SHADOW 2X OC PLUS,735.94,https://cdna.pcpartpicker.com/static/forever/images/product/cea4a842d46e85a29c5a4e772c58c113.256p.jpg,GeForce RTX 5060 Ti,16 GB,2410 MHz,2617 MHz,Black,226 mm,0
PowerColor Fighter,742.1,Radeon RX 6600,Radeon RX 6750 XT,12 GB,2150 MHz,2600 MHz,Black,230 mm,5
MSI LP OC,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/4438465b282a947c070b4758cdccfdd5.256p.jpg,GeForce RTX 3050 6GB,6 GB,1040 MHz,1492 MHz,Black,174 mm,4
Asus ROG Astral LC OC,3899.99,https://cdna.pcpartpicker.com/static/forever/images/product/adc50b2db9f548ed8e1fefbdbdc80709.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,2610 MHz,Black / Silver,288 mm,0
XFX Speedster MERC 310 Black Edition,£850.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/4b6e1666bdde2d084cb87b98ba5d8b30.256p.jpg,Radeon RX 7900 XTX,24 GB,2300 MHz,2615 MHz,Black / Silver,344 mm,4.5
ASRock Radeon RX 7900 XTX 24GB,902.39,Radeon RX 7900 XTX,Radeon RX 7900 XTX,24 GB,2300 MHz,2500 MHz,Black,287 mm,5
Sapphire PURE,699.98,https://cdna.pcpartpicker.com/static/forever/images/product/2c06f017723d991b814947ff0c9bd519.256p.jpg,Radeon RX 9070 XT,16 GB,2460 MHz,3010 MHz,White,320 mm,4.5
Gigabyte AERO OC SFF,1299,https://cdna.pcpartpicker.com/static/forever/images/product/81715ed28e3aae88fb103d7232adcc9f.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,White / Silver,White / Silver,304 mm,4.5
XFX Quicksilver 2,779.61,,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,Black,350 mm,0
PNY VCQ2000D-PB,60.73,https://cdna.pcpartpicker.com/static/forever/images/product/3e7f132cdeebd9312b278e2d377d33be.med.256p.jpg,Quadro 2000D,1 GB,625 MHz,Black / Green,Black / Green,178 mm,0
Asus ProArt OC,3999.95,https://cdna.pcpartpicker.com/static/forever/images/product/2c8dc1ebc125ee2a8d2a943b1434341d.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,2512 MHz,Black / Gold,304 mm,0
ASRock Taichi OC,799.99,https://cdna.pcpartpicker.com/static/forever/images/product/8d2064fe21e3a8318837caf30fad70f1.256p.jpg,Radeon RX 9070 XT,16 GB,2570 MHz,3100 MHz,Black,330 mm,4.5
Gigabyte EAGLE OC ICE SFF,919.99,https://cdna.pcpartpicker.com/static/forever/images/product/f909fab47cb20bea4096f4b62f3d3ccf.256p.jpg,GeForce RTX 5070 Ti,16 GB,2541 MHz,White / Silver,White / Silver,304 mm,4.5
AMD Radeon RX 6950 XT,,https://cdna.pcpartpicker.com/static/forever/images/product/8a44fd1a6f66aa2f153e73efadf3ef47.256p.jpg,Radeon RX 6950 XT,16 GB,1890 MHz,2310 MHz,Black,267 mm,4.5
Asus ROG STRIX GAMING OC,1099.99,https://cdna.pcpartpicker.com/static/forever/images/product/b17fcb9e900098a2cc46c5fe2c2411a6.256p.jpg,GeForce RTX 5070 Ti,16 GB,2300 MHz,2625 MHz,Black / Silver,332 mm,5
Sapphire PULSE OC,491.49,https://cdna.pcpartpicker.com/static/forever/images/product/0fdef68f3aa6076d006b3bb2ed2b21f1.256p.jpg,Radeon RX 9070 GRE,12 GB,1420 MHz,2920 MHz,Black / Red,280 mm,0
NVIDIA 900-5G153-2200-000,10804.94,https://cdna.pcpartpicker.com/static/forever/images/product/be37f023910dc1508b9b7aab8a7ff3a3.256p.jpg,RTX PRO 6000 Blackwell Max-Q,96 GB,1035 MHz,,Black / Gold,267 mm,0
EVGA FTW3 ULTRA GAMING,899.99,https://cdna.pcpartpicker.com/static/forever/images/product/98d66a3d40876fec0cf643a7f6c6a00e.256p.jpg,GeForce RTX 3080 10GB,10 GB,1440 MHz,1800 MHz,Black,300 mm,4.5
MSI GeForce RTX 3060 Ti GAMING X,,https://cdna.pcpartpicker.com/static/forever/images/product/fdebde50e80ae3a2912f7e5dd6ff7622.256p.jpg,GeForce RTX 3060 Ti,8 GB,1410 MHz,1770 MHz,Black / Silver,278 mm,4.5
PowerColor Hellhound OC,655.47,https://cdna.pcpartpicker.com/static/forever/images/product/7b81884d452c572f52509f613a1d328f.256p.jpg,Radeon RX 9070 XT,16 GB,2400 MHz,3010 MHz,Black,327 mm,5
MSI SUPRIM LIQUID SOC,3229,https://cdna.pcpartpicker.com/static/forever/images/product/ceb6bf84996a0c5d069a73e5b48c4d75.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,Black / Silver,Black / Silver,280 mm,4
Gigabyte AORUS MASTER ICE,1463.94,https://cdna.pcpartpicker.com/static/forever/images/product/0d1d28281116c9f7c303f386a28f7355.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,White / Silver,White / Silver,360 mm,4.5
Palit Infinity 3,564.46,https://cdna.pcpartpicker.com/static/forever/images/product/94ab9144c27b1d0f64b4efdbd6fa8a73.256p.jpg,GeForce RTX 5070,12 GB,2325 MHz,2512 MHz,Black,292 mm,5
Asus Noctua OC,1629.97,https://cdna.pcpartpicker.com/static/forever/images/product/9c761920b2a887f4ec27dad9eb6e6efd.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,2730 MHz,Brown / Silver,385 mm,5
Gigabyte AORUS ELITE,766.98,https://cdna.pcpartpicker.com/static/forever/images/product/2806df8c8e8b332c4fbf1a0621f41d93.256p.jpg,Radeon RX 9070 XT,16 GB,2570 MHz,3100 MHz,Black,339 mm,4.5
XFX GTS XXX,159.99,https://cdna.pcpartpicker.com/static/forever/images/product/7a8d66854d65f497aca573e84772d861.256p.jpg,Radeon RX 580,8 GB,1366 MHz,1386 MHz,Black / Red,270 mm,4.5
MSI GT 710 2GD3H LP,43.99,https://cdna.pcpartpicker.com/static/forever/images/product/a01ec3b624bf22abe8f1831194c4d226.256p.jpg,GeForce GT 710,2 GB,954 MHz,954 MHz,Black,146 mm,3
Intel 33P01IB0BB,1159.86,https://cdna.pcpartpicker.com/static/forever/images/product/c536f5faf407e10558547eac5de68830.256p.jpg,Arc Pro B70,32 GB,2280 MHz,2800 MHz,Black / Blue,267 mm,0
Gigabyte WINDFORCE OC Rev 2.0,362.41,GeForce RTX 3060 12GB,GeForce RTX 3060 12GB,12 GB,1320 MHz,1792 MHz,Black,198 mm,4.5
PowerColor RX7800XT 16G-P,£544.55Add,Radeon RX 7800 XT,Radeon RX 7800 XT,16 GB,1295 MHz,2430 MHz,Black,260 mm,5
Asus DUAL EVO OC,741.75,https://cdna.pcpartpicker.com/static/forever/images/product/9587565162ba3dd767fd21a6b640c824.256p.jpg,GeForce RTX 4060 Ti,8 GB,2310 MHz,2595 MHz,Black,227 mm,0
Gigabyte AORUS STEALTH ICE,3799.99,https://cdna.pcpartpicker.com/static/forever/images/product/c6a2a7748125a8b8b4608b299ea49c88.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,2655 MHz,White,360 mm,5
Zotac SOLID SFF OC,1169.99,https://cdna.pcpartpicker.com/static/forever/images/product/24498205825bda83d2141b3f02cac70c.256p.jpg,GeForce RTX 5070 Ti,16 GB,2300 MHz,2482 MHz,Black / Gold,304 mm,4.5
Inno3D X3 OC,1145.47,https://cdna.pcpartpicker.com/static/forever/images/product/74aabc7c8eec3082d597c6000e893d70.256p.jpg,GeForce RTX 5080,16 GB,2295 MHz,2640 MHz,Black / Silver,300 mm,4
MSI Radeon RX 6700 XT 12G,,https://cdna.pcpartpicker.com/static/forever/images/product/0786070af7eabdd89ba8f815658c34bd.256p.jpg,Radeon RX 6700 XT,12 GB,2321 MHz,Black / Silver,Black / Silver,267 mm,4.5
PowerColor Red Devil OC,745.47,https://cdna.pcpartpicker.com/static/forever/images/product/72d2d19e10c9c2bd94bb642c3726df41.256p.jpg,Radeon RX 9070 XT,16 GB,2460 MHz,3060 MHz,Black / Red,340 mm,4.5
Zotac Twin Edge OC,545.47,https://cdna.pcpartpicker.com/static/forever/images/product/cd249f96382c3c81f82b829154af3c8e.256p.jpg,GeForce RTX 5060 Ti,16 GB,2410 MHz,2602 MHz,Black,220 mm,5
PowerColor Red Devil E/OC,559.99,https://cdna.pcpartpicker.com/static/forever/images/product/0f77be954b9e702917173639ca083e50.256p.jpg,Radeon RX 9070 GRE,12 GB,1420 MHz,2920 MHz,Black / Red,352 mm,0
PNY Slim OC,1178.99,https://cdna.pcpartpicker.com/static/forever/images/product/4b3db70011aa32469c9fd0efd9beb13e.256p.jpg,GeForce RTX 5080,16 GB,2295 MHz,2730 MHz,Black,300 mm,5
