name,price,image,type,wattage,efficiency,modular,color,rating
SeaSonic Focus GX V4 ATX 3 (2024),129.11,https://cdna.pcpartpicker.com/static/forever/images/product/5595266ca881fcc6e5296037a601f47d.256p.jpg,ATX,850 W,80+ Gold,Full,Black,5
MSI MAG A750BN PCIE5,59.99,https://cdna.pcpartpicker.com/static/forever/images/product/0e6a8954c4ddd51ffeaac409a3b2f9f7.256p.jpg,ATX,750 W,80+ Bronze,No,Black,4
Silverstone FX500-G,131.99,https://cdna.pcpartpicker.com/static/forever/images/product/6be712b0f14773f8e9761339bff9987a.256p.jpg,Flex ATX,500 W,80+ Gold,No,Black,4
Asus ROG THOR T3 GAMING,599.95,https://cdna.pcpartpicker.com/static/forever/images/product/e80b8c30491ecacce783d79550aebdb9.256p.jpg,ATX,1600 W,80+ Titanium,Full,Black,0
Cooler Master MWE Gold V3,73.99,https://cdna.pcpartpicker.com/static/forever/images/product/8f84152d773d8c3eaf4fbc13c1b9066e.256p.jpg,ATX,750 W,80+ Gold,No,Black,0
Asus ROG Strix,169.96,https://cdna.pcpartpicker.com/static/forever/images/product/68d59d4cd47252cb8074986bac2f0cb8.256p.jpg,ATX,1000 W,80+ Platinum,Full,Black,5
NZXT C850 Core,89.99,,ATX,850 W,80+ Gold,Full,Black,5
be quiet! Dark Power 14,199.99,https://cdna.pcpartpicker.com/static/forever/images/product/9692c03fcb71660f815bb8dc783228d6.256p.jpg,ATX,1200 W,80+ Titanium,Full,Black,0
Thermaltake Toughpower GX2,97.96,https://cdna.pcpartpicker.com/static/forever/images/product/56f77032e78c9af99041786b5196fe91.256p.jpg,ATX,600 W,80+ Gold,No,Black,4
Gigabyte UD750GM PG5 V2,84.99,https://cdna.pcpartpicker.com/static/forever/images/product/14e81eb15877d5ab721ba0d022fcaf45.256p.jpg,ATX,750 W,80+ Gold,Full,White,0
Rosewill VMG,Add,https://cdna.pcpartpicker.com/static/forever/images/product/13c3f469b64531efeed4d2b114e8a021.256p.jpg,ATX,750 W,80+ Gold,Full,Black,5
Lian Li SP1000P,159.95,https://cdna.pcpartpicker.com/static/forever/images/product/9aae2f1751c54bf1615dea0e733e47d8.256p.jpg,SFX,1000 W,80+ Platinum,Full,Black,5
Corsair CX650M (2021),£351.44Add,https://cdna.pcpartpicker.com/static/forever/images/product/cd1c62429bd8d83e6d8dc273f0cc179c.256p.jpg,ATX,650 W,80+ Bronze,Semi,Black,4.5
Corsair RM1000x SHIFT,179.99,https://cdna.pcpartpicker.com/static/forever/images/product/38942a1637e7445c59b8a274492115a5.256p.jpg,ATX,1000 W,80+ Gold,Full / Side,Black,4.5
Silverstone Extreme 500 Bronze,126.22,https://cdna.pcpartpicker.com/static/forever/images/product/c6a047e41887e5fd4831a6c91d4e9184.256p.jpg,SFX,500 W,80+ Bronze,No,Black / White,4
Gigabyte P650SS,43.94,https://cdna.pcpartpicker.com/static/forever/images/product/c61c8871a6236f6ea0269a852ff3434b.256p.jpg,ATX,650 W,80+ Silver,No,Black,4.5
Asus Prime AP-750G,93.24,https://cdna.pcpartpicker.com/static/forever/images/product/72b335278eb86295c6d48f3b1794efa5.256p.jpg,ATX,750 W,80+ Gold,Full,White / Black,4.5
Rosewill VNW750,Add,https://cdna.pcpartpicker.com/static/forever/images/product/1df16cdf25dcad25bd9406afc194b973.256p.jpg,ATX,750 W,80+,No,Black,0
Corsair RM850e (2023),105,https://cdna.pcpartpicker.com/static/forever/images/product/74e6caafd69bcc53d6e5060a3249248d.256p.jpg,ATX,850 W,80+ Gold,Full,Black,4.5
Segotep GN,Add,ATX,ATX,650 W,80+ Gold,No,Black,5
Apevia Prestige,Add,ATX,ATX,600 W,80+ Gold,No,White,5
be quiet! Dark Power Pro 13,302.99,https://cdna.pcpartpicker.com/static/forever/images/product/e0a34fbe10acaf519ea2ed36a8e7fc2e.256p.jpg,ATX,1600 W,80+ Titanium,Full,Black,4
Corsair RM750x (2021),Out of stock£134.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/1b188238912bad1b60bbfef7d8912470.256p.jpg,ATX,750 W,80+ Gold,Full,Black,4.5
Gigabyte P850GM,70.94,https://cdna.pcpartpicker.com/static/forever/images/product/ce830eee6e61a9eba3055a7645673a74.256p.jpg,ATX,850 W,80+ Gold,Full,Black,4
Cooler Master MWE Gold 750 V3,£136.68Add,https://cdna.pcpartpicker.com/static/forever/images/product/8a9ee7ac5f05c46c327249997f43188a.256p.jpg,ATX,750 W,80+ Gold,Full,Black,5
Corsair RM1200e,221.9,https://cdna.pcpartpicker.com/static/forever/images/product/1b7d8f1242e5d43e03fe1f262f522b94.256p.jpg,ATX,1200 W,80+ Gold,Full,Black,4.5
Corsair RM1000x (2021),£199.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/2e9c1e7ffca723f2acf802efc7f4e331.256p.jpg,ATX,1000 W,80+ Gold,Full,Black,4.5
Rosewill VNW650,44.36,https://cdna.pcpartpicker.com/static/forever/images/product/8ab0bdc0b94665b534b14bffa3f18c9a.256p.jpg,ATX,650 W,80+,No,Black,0
SeaSonic CORE GX ATX 3 (2024),115,https://cdna.pcpartpicker.com/static/forever/images/product/2a8c5efeb85017829c46d8fe18d71ca6.256p.jpg,ATX,850 W,80+ Gold,Full,Black,5
be quiet! Pure Power 12,70,https://cdna.pcpartpicker.com/static/forever/images/product/40ab38c15b2b0ac6e8a6e597368c7f57.256p.jpg,ATX,650 W,80+ Gold,No,Black,4
Corsair RM1200x SHIFT,202.12,https://cdna.pcpartpicker.com/static/forever/images/product/6719e9fc9ce80bbf6c163bef40cb6e0b.256p.jpg,ATX,1200 W,80+ Gold,Full / Side,Black,5
Lian Li SX1000P,130.99,https://cdna.pcpartpicker.com/static/forever/images/product/b38a87de6686941a08ff333678f55fdd.256p.jpg,ATX,1000 W,80+ Platinum,Full,Black,5
MSI MAG A650BE,Add,https://cdna.pcpartpicker.com/static/forever/images/product/43cf50ab21a6abfc6b7535674a8a35a9.256p.jpg,ATX,650 W,80+ Bronze,Semi,Black,4.5
Gigabyte GP-P650G PG5,52.94,https://cdna.pcpartpicker.com/static/forever/images/product/2ef75f4f27392e26e5f2720216d42da2.256p.jpg,ATX,650 W,80+ Gold,No,Black,0
Corsair RM850x SHIFT,119.06,https://cdna.pcpartpicker.com/static/forever/images/product/7882f867747759b989aa762208c899ed.256p.jpg,ATX,850 W,80+ Gold,Full / Side,Black,4.5
Raidmax Cobra,Add,https://cdna.pcpartpicker.com/static/forever/images/product/a6cd2bdf6a3d43184879513d592c0c7e.256p.jpg,ATX,600 W,80+ Gold,Semi,,0
NZXT C1000 Core,119.99,,ATX,1000 W,80+ Gold,Full,Black,5
SeaSonic PRIME TX-1600 ATX 3.1,433.99,https://cdna.pcpartpicker.com/static/forever/images/product/d7a128263fc27f3eecbca4d1be407352.256p.jpg,ATX,1600 W,80+ Titanium,Full,Black / Silver,4.5
EVGA SuperNOVA 750 G2,Add,https://cdna.pcpartpicker.com/static/forever/images/product/21e633667a4b2e622acfd79b635c44db.256p.jpg,ATX,750 W,80+ Gold,Full,,4.5
Asus TUF Gaming 750G,101.99,https://cdna.pcpartpicker.com/static/forever/images/product/45c889b358290996d7737156b64146c0.256p.jpg,ATX,750 W,80+ Gold,Full,Black,4.5
Silverstone SFX,181.79,https://cdna.pcpartpicker.com/static/forever/images/product/25aa74d682bfbb478cc7089f30086e4b.256p.jpg,SFX,500 W,80+ Gold,Full,Black,4
Vetroo CP-PSU-VT-850W-SFX (WT),Add,,SFX,850 W,80+ Gold,Full,White,5
Corsair HX1000i (2023),204.98,https://cdna.pcpartpicker.com/static/forever/images/product/c6c707c9177df677d1b642efe8a9fb2d.256p.jpg,ATX,1000 W,80+ Platinum,Full,Black,4.5
Gigabyte P450B,Out of stock£52.00Add,ATX,ATX,450 W,80+ Bronze,No,Black,4
SeaSonic PRIME TX-1300 ATX 3.1,383.99,https://cdna.pcpartpicker.com/static/forever/images/product/b7800614df1d052cc7450cbdbf682079.256p.jpg,ATX,1300 W,80+ Titanium,Full,Black / Silver,5
ASRock Phantom Gaming PG-750G,Add,https://cdna.pcpartpicker.com/static/forever/images/product/05f77e3fcfaedb40ed55bfa5174d914e.256p.jpg,ATX,750 W,80+ Gold,Full,Black,0
Silverstone FX600 Platinum,142.06,https://cdna.pcpartpicker.com/static/forever/images/product/d45f04496f2e4b4c660f0180d2a26b84.256p.jpg,Flex ATX,600 W,false,No,Black,4
Corsair RM750,Add,https://cdna.pcpartpicker.com/static/forever/images/product/8912b48548fca5ee3606a5d93772928a.256p.jpg,ATX,750 W,80+ Gold,Full,White / Black,4.5
Cooler Master MWE Gold 850 - V2,121.99,https://cdna.pcpartpicker.com/static/forever/images/product/01c5294aaa030cd889e3923906b92a10.256p.jpg,ATX,850 W,80+ Gold,Full,Black,4
Lian Li SP0850P,142.99,https://cdna.pcpartpicker.com/static/forever/images/product/787aa6bbebdd60990571826c80f77416.256p.jpg,SFX,850 W,80+ Platinum,Full,White,0
MSI A1000G PCIE5,119.99,https://cdna.pcpartpicker.com/static/forever/images/product/f4ba2af40fa30a597244521a441515b5.256p.jpg,ATX,1000 W,80+ Gold,Full,Black,4.5
Gigabyte P750GM,Add,ATX,ATX,750 W,80+ Gold,Full,Black,4.5
Apevia Galaxy,Add,ATX,ATX,650 W,80+ Gold,Semi,Black,4.5
Asus ROG Thor P3 Gaming,387,https://cdna.pcpartpicker.com/static/forever/images/product/1091a0f5fe20d6b83eb1455270498b0a.256p.jpg,ATX,1200 W,80+ Platinum,Full,Black,0
SeaSonic PRIME PX-2200 ATX 3 (2024),495.99,https://cdna.pcpartpicker.com/static/forever/images/product/c289fb1aaf02ceb989aaafba29c8dcb0.256p.jpg,ATX,2200 W,80+ Platinum,Full,Black,0
Corsair RM850x,Add,https://cdna.pcpartpicker.com/static/forever/images/product/429bb130468e125f4f20d1f7e2f2600e.256p.jpg,ATX,850 W,80+ Gold,Full,,4.5
Corsair SF750 (2018),Add,SFX,SFX,750 W,80+ Platinum,Full,Black,4.5
Thermaltake Smart BM3,64.99,https://cdna.pcpartpicker.com/static/forever/images/product/4f3b7e2fa6212bc5d7addadf36fa2b1b.256p.jpg,ATX,650 W,80+ Bronze,Semi,Black,4.5
Asus Prime AP-850G,106.74,https://cdna.pcpartpicker.com/static/forever/images/product/78e68f418ed5b6051e6e7204102d7094.256p.jpg,ATX,850 W,80+ Gold,Full,White / Black,5
NZXT C850 (2024),114.94,https://cdna.pcpartpicker.com/static/forever/images/product/c0060ae80a7b71686da1ca92324d0f68.256p.jpg,ATX,850 W,80+ Gold,Full,Black,4.5
ASRock Steel Legend SL-1000G,134.99,https://cdna.pcpartpicker.com/static/forever/images/product/0831b235eea9461d59da3b218e57f673.256p.jpg,ATX,1000 W,80+ Gold,Full,Black,0
MSI MAG A750GL PCIE5 II,171.03,https://cdna.pcpartpicker.com/static/forever/images/product/17294c7b6ef21cfb0b52097e46cfd9b3.256p.jpg,ATX,750 W,80+ Gold,Full,Black,5
Corsair HX1200 Platinum,£473.27Add,https://cdna.pcpartpicker.com/static/forever/images/product/a15caa8216152ec9d5235cee607d2dc9.256p.jpg,ATX,1200 W,80+ Platinum,Full,,4.5
Corsair AX1600i,484.99,https://cdna.pcpartpicker.com/static/forever/images/product/1d57cf53a1289e4dfff1aed9b1cc272a.256p.jpg,ATX,1600 W,80+ Titanium,Full,,4.5
SeaSonic FOCUS SGX,109.96,https://cdna.pcpartpicker.com/static/forever/images/product/332544e0e8da6848b9fa83947101de60.256p.jpg,SFX,650 W,80+ Gold,Full,Black,4.5
Lian Li SX0850P,114.46,https://cdna.pcpartpicker.com/static/forever/images/product/a3404283ef1a9e46512f4acf11cb7247.256p.jpg,ATX,850 W,80+ Platinum,Full,White,5
MSI MAG A1250GL PCIE5,190.21,https://cdna.pcpartpicker.com/static/forever/images/product/4892c7a4ba21f50538ec1ae0e18a72ec.256p.jpg,ATX,1250 W,80+ Gold,Full,Black,5
Phanteks AMP GH,104.99,https://cdna.pcpartpicker.com/static/forever/images/product/f9c9719417368c3b38df8587d03cfa12.256p.jpg,ATX,850 W,80+ Gold,Full,Black,5
Corsair RM750 (2019),Out of stock£100.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/02951377c9eed1e21fc3d8ba6092717e.256p.jpg,ATX,750 W,80+ Gold,Full,Black,4.5
Corsair CX650M (2025),107.55,https://cdna.pcpartpicker.com/static/forever/images/product/54f26cb06be0db54a6e46a8ede08cb65.256p.jpg,ATX,650 W,,Semi,Black,0
Cooler Master MWE Gold 850 V3,£146.30Add,https://cdna.pcpartpicker.com/static/forever/images/product/ba3f1ee18ce6535b90116201b175bbef.256p.jpg,ATX,850 W,80+ Gold,Full,Black,3.5
MSI MAG A650GLS PCIE5,123.21,https://cdna.pcpartpicker.com/static/forever/images/product/b3f5ce174d631594ae9f8f2dc3b291d1.256p.jpg,ATX,650 W,80+ Gold,Full,Black,5
SAMA G750,Add,https://cdna.pcpartpicker.com/static/forever/images/product/4841a8db7abc35c567379013f07dbf57.256p.jpg,ATX,750 W,80+ Gold,Full,Black,5
SeaSonic VERTEX GX-1200,234.55,https://cdna.pcpartpicker.com/static/forever/images/product/ed3235057508a33ff8605786994551f9.256p.jpg,ATX,1200 W,80+ Gold,Full,Black / Silver,5
Vetroo 50315153277247,74.98,ATX,ATX,850 W,80+ Gold,Full,White,4.5
Lian Li EDGE,143.69,https://cdna.pcpartpicker.com/static/forever/images/product/2b6505f267e91c686ae87e596ed59260.256p.jpg,ATX,1000 W,80+ Platinum,Full,Black,5
be quiet! Pure Power 12 M,184.01,https://cdna.pcpartpicker.com/static/forever/images/product/9423467940fb7db90ff47c5fa315a309.256p.jpg,ATX,1200 W,80+ Gold,Full,Black,5
Gigabyte UD750GM,£69.98Add,https://cdna.pcpartpicker.com/static/forever/images/product/3fecb5a05a7f614ab70e1ace80e3baee.256p.jpg,ATX,750 W,80+ Gold,Full,Black,4.5
Silverstone DA850R-GMA,109,https://cdna.pcpartpicker.com/static/forever/images/product/ff450bf2512afde80b5ad0a38cf576d2.256p.jpg,ATX,850 W,80+ Gold,Full,Black,5
Corsair RM850,130.99,https://cdna.pcpartpicker.com/static/forever/images/product/1752baa3ddb162df098cf33b0b6eeae3.256p.jpg,ATX,850 W,80+ Gold,Full,White / Black,4.5
SAMA G850,Add,https://cdna.pcpartpicker.com/static/forever/images/product/619fe92900432689ac13ea2cac663ade.256p.jpg,ATX,850 W,80+ Gold,Full,Black,0
be quiet! Straight Power 12,291.36,https://cdna.pcpartpicker.com/static/forever/images/product/5ea07fd9ba33bd3b161eca63f6e4ca96.256p.jpg,ATX,1500 W,80+ Platinum,Full,Black,4.5
Corsair RM1000e (2023),Out of stock£151.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/ce27e414f67e9e8786401e4260bb85fa.256p.jpg,ATX,1000 W,80+ Gold,Full,Black,4.5
NZXT C850 (2026),139.99,https://cdna.pcpartpicker.com/static/forever/images/product/356abe05fadf1fd81c6076e46f884a7d.256p.jpg,SFX,850 W,80+ Gold,Full,,0
Vetroo CP-PSU-VT-850W-SFX (BK),Add,,SFX,850 W,80+ Gold,Full,Black,5
MSI MEG Ai1300P PCIE5,249.95,https://cdna.pcpartpicker.com/static/forever/images/product/dbcc01d16fe6fb17f09bc5e55c3e38ae.256p.jpg,ATX,1300 W,80+ Platinum,Full,Black / Copper,4.5
MSI MAG A850GL PCIE5 II,£168.09Add,https://cdna.pcpartpicker.com/static/forever/images/product/17294c7b6ef21cfb0b52097e46cfd9b3.256p.jpg,ATX,850 W,80+ Gold,Full,Black,5
Thermaltake Toughpower GF1 (2024),130.72,https://cdna.pcpartpicker.com/static/forever/images/product/1d3c099db66ec0e9f5a65298b5aa5b96.256p.jpg,ATX,850 W,80+ Gold,Full,Black,4.5
MSI MAG A1000GLS PCIE5,172.21,https://cdna.pcpartpicker.com/static/forever/images/product/009f529c253efdcffa7588b07a793742.256p.jpg,ATX,1000 W,80+ Gold,Full,Black,0
ASRock Taichi TC-1650T,Add,https://cdna.pcpartpicker.com/static/forever/images/product/e99f5a8095473d18c465d2602974e99c.256p.jpg,ATX,1650 W,80+ Titanium,Full,Black / Silver,5
be quiet! SFX Power 3 450,69.25,https://cdna.pcpartpicker.com/static/forever/images/product/6f22b32ac4c2844cc76bbee6ef798d01.256p.jpg,SFX,450 W,80+ Bronze,No,Black,4
SeaSonic VERTEX PX-1200,Add,https://cdna.pcpartpicker.com/static/forever/images/product/f1ed40376d9fefb5f7e0056778c079cb.256p.jpg,ATX,1200 W,80+ Platinum,Full,Black / Silver,5
Gigabyte UD850GM PG5 V2,93.99,https://cdna.pcpartpicker.com/static/forever/images/product/f2240d866b72a7bc60fa62784e25688b.256p.jpg,ATX,850 W,80+ Gold,Full,White,5
ASRock Challenger CL-650B,Add,https://cdna.pcpartpicker.com/static/forever/images/product/770db437877b861f291f81c98c064622.256p.jpg,ATX,650 W,80+ Bronze,No,Black,0
Corsair CX550 (2017),65.02,ATX,ATX,550 W,80+ Bronze,No,,4.5
Gigabyte P750BS (230V),47.95,https://cdna.pcpartpicker.com/static/forever/images/product/14ee26e6cba2d3b6f8b1cd283b0e050a.256p.jpg,ATX,750 W,80+ Bronze,No,Black,4
EVGA 450 BR,Add,https://cdna.pcpartpicker.com/static/forever/images/product/b1afc6fa49b75c09b8b94797008b1d9b.256p.jpg,ATX,450 W,80+ Bronze,No,,4.5
Corsair RM1000x,Add,https://cdna.pcpartpicker.com/static/forever/images/product/49b15c4f90ae64a72cea7148d88b545e.256p.jpg,ATX,1000 W,80+ Gold,Full,,4.5
