name,overclockers_co_uk_price,box_co_uk_price,ebuyer_com_price,amazon_co_uk_price,cclonline_com_price,novatech_co_uk_price,awd_it_co_uk_price,aria_co_uk_price,lambda_tek_com_price,morecomputers_com_price,watercoolinguk_co_uk_price,price_sources,average_price,image
Intel Core Ultra 5 225,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_5_225.jpg
AMD Ryzen 5 3500X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_3500x.jpg
Intel Core i7-14700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_14700.jpg
AMD Ryzen 5 1600 (14nm),,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_1600__14nm_.jpg
Intel Core i9-11900K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_11900k.jpg
Intel Core i7-10700F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_10700f.jpg
Intel Core i3-10100F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_10100f.jpg
Intel Core i7-11700F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_11700f.jpg
Intel Core i5-13500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_13500.jpg
Intel Pentium E2220,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_pentium_e2220.jpg
Intel Core i7-12700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_12700.jpg
Intel Core i5-10600K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_10600k.jpg
Intel Core i5-6600K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_6600k.jpg
Intel Core Ultra 9 285,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_9_285.jpg
Intel Core i7-4770K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_4770k.jpg
Intel Core i7-3770,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_3770.jpg
Intel Core i7-10700,139.99,,,,,,,,,,,1,139.99,thumbnails/master-prices_intel_core_i7_10700.jpg
AMD Ryzen 9 3950X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_3950x.jpg
Intel Core i3-6100,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_6100.jpg
AMD Threadripper 3960X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_threadripper_3960x.jpg
AMD Ryzen 7 2700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_2700.jpg
Intel Core i5-7500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_7500.jpg
Intel Core i5-14500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_14500.jpg
Intel Core i7-9700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_9700.jpg
Intel Core Ultra 7 265,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_7_265.jpg
Intel Core i5-11400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_11400.jpg
Intel Core i9-10850K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_10850k.jpg
Intel Core i5-7400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_7400.jpg
Intel Core i9-13900KS,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_13900ks.jpg
Intel Core Ultra 7 265F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_7_265f.jpg
Intel Core i3-8100,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_8100.webp
Intel Core i7-4790,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_4790.png
Intel Xeon E5-2699 V4,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_xeon_e5_2699_v4.png
Intel Core i5-4690K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_4690k.jpg
Intel Xeon E5-2680 V4,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_xeon_e5_2680_v4.jpg
Intel Core i9-12900KS,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_12900ks.jpg
AMD Ryzen 7 1700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_1700.jpg
Intel Core i5-8600K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_8600k.jpg
Intel Core i3-10100,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_10100.jpg
Intel Pentium G640,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_pentium_g640.jpg
Intel Core i9-9900KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_9900kf.jpg
Intel Core i7-9700F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_9700f.png
AMD EPYC 4564P,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_epyc_4564p.jpg
AMD Ryzen 3 2200G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_3_2200g.jpg
AMD Ryzen 5 2400G,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_2400g.jpg
Intel Core i5-12500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_12500.jpg
AMD Ryzen 5 5600X3D,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_5600x3d.jpg
Intel Core i3-9100F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_9100f.jpg
Intel Core i5-8500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_8500.jpg
Intel Core i5-11600K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_11600k.jpg
Intel Core i5-7500T,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_7500t.jpg
Intel Core i5-4590,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_4590.jpg
AMD Ryzen 5 1600 (12nm),,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_1600__12nm_.jpg
