name,price,image,speed,ram_type,modules,capacity,first_word_latency,cas_latency,price_gb,color,rating
Corsair Vengeance LED 16 GB,865.84,,DDR4-2400,DDR4,2 x 8GB,16GB,13.333 ns,16,£54.115,Black / White,4.5
G.Skill Aegis 64 GB,739.99,https://cdna.pcpartpicker.com/static/forever/images/product/d6f268ad9028e14a9b4cb10dd224923c.256p.jpg,DDR4-3200,DDR4,4 x 16GB,64GB,10 ns,16,£11.562,Red / Black,0
Crucial CT4K4G4DFS8213 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/8133d4cb016e81e161e259b3f723037b.256p.jpg,DDR4-2133,DDR4,4 x 4GB,16GB,14.065 ns,15,,Black / Green,5
Crucial Ballistix Sport LT 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/de8447dc5c984e3c26fd317e5e5efd3a.256p.jpg,DDR4-3200,DDR4,2 x 16GB,32GB,10 ns,16,,Silver / Black,4.5
Crucial CT64G4LFQ424A 64 GB,699,,DDR4-2400,DDR4,1 x 64GB,64GB,14.167 ns,17,£10.922,Black / Green,0
Kingston Server Premier 16 GB,241.33,,DDR4-2666,DDR4,1 x 16GB,16GB,14.254 ns,19,£15.083,,0
Biwin Black Opal HX100 32 GB,,,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,,Black,0
Crucial CT2K16G4DFD832A 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/822d8fb60b12bde3aa41b7f90f5597c1.256p.jpg,DDR4-3200,DDR4,2 x 16GB,32GB,13.75 ns,22,,Green / Black,0
Crucial CT2K8G4DFS8266 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/4fc4c236f3c9393c969103bf7be40deb.256p.jpg,DDR4-2666,DDR4,2 x 8GB,16GB,14.254 ns,19,,Green,4
ADATA XPG Lancer Blade RGB 8 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/c9bf9843bfbe2e4f8c94d368f6727ad9.256p.jpg,DDR5-5600,DDR5,1 x 8GB,8GB,16.429 ns,46,,White,0
Crucial CT2K24G56C46S5 48 GB,568.87,https://cdna.pcpartpicker.com/static/forever/images/product/0d74e6b06b7717cde5f3eadd08a67dff.256p.jpg,DDR5-5600,DDR5,2 x 24GB,48GB,16.429 ns,46,£11.851,Black,0
Patriot Viper Elite 5 Ultra RGB 96 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/544b9408cd2ed3cd5de1023a628862ce.256p.jpg,DDR5-6400,DDR5,2 x 48GB,96GB,10 ns,32,,Black,0
Silicon Power XPOWER Zenith Gaming 16 GB,151.99,https://cdna.pcpartpicker.com/static/forever/images/product/3e88221de3bde4fddb319fa39878cff7.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,£9.499,Black / Silver,3.5
Patriot Viper 4 Blackout 64 GB,570.34,,DDR4-3600,DDR4,2 x 32GB,64GB,10 ns,18,£8.912,Black,4.5
Patriot Viper Elite 5 RGB 96 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/e55e3b0ac1e6fdf1d9b0f1f4a7b2bd92.256p.jpg,DDR5-6000,DDR5,2 x 48GB,96GB,14 ns,42,,White,0
Crucial Ballistix Elite 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/ac94e9425b0dc46381e34456350c2c01.256p.jpg,DDR4-3600,DDR4,4 x 8GB,32GB,8.889 ns,16,,Black,3.5
TEAMGROUP T-Force Xtreem ARGB 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/e7e5bfd5a94513a55151d1454e97bc55.256p.jpg,DDR4-3600,DDR4,2 x 16GB,32GB,7.778 ns,14,,White,0
Apacer ZADAK Twist 16 GB,,,DDR4-3000,DDR4,2 x 8GB,16GB,10.667 ns,16,,Black / Silver,3
GeIL Orion RGB AMD Edition 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/889a3bf0e44f7669e7491cd488a2946e.256p.jpg,DDR4-3600,DDR4,2 x 8GB,16GB,10 ns,18,,Gray,0
Klevv Urbane V RGB 48 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/1f43772d5425e69392ef102c10a11d47.256p.jpg,DDR5-6000,DDR5,2 x 24GB,48GB,10 ns,30,,White,0
Kingston KCP421NS8/8 8 GB,108.05,,DDR4-2133,DDR4,1 x 8GB,8GB,14.065 ns,15,£13.506,Black / Green,5
Samsung M393A2G40EB1-CRC 16 GB,,,DDR4-2400,DDR4,1 x 16GB,16GB,14.167 ns,17,,Black / Green,0
G.Skill Value 16 GB,156.11,https://cdna.pcpartpicker.com/static/forever/images/product/c4f98ddfa31ed2bfe727382c26ec358c.256p.jpg,DDR4-2666,DDR4,2 x 8GB,16GB,14.254 ns,19,£9.757,Black,5
Gigabyte GP-GR26C16S8K2HU416 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/0c9c8d669fa4e4b1dcc0fc47a32821f9.256p.jpg,DDR4-2666,DDR4,2 x 8GB,16GB,12.003 ns,16,,Black / White,0
Crucial CT2K16G52C42U5 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/4a72adc7687eede0680fe569297c1ca5.256p.jpg,DDR5-5200,DDR5,2 x 16GB,32GB,16.154 ns,42,,Black,0
G.Skill Ripjaws 4 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/040486497900cc3bde6845a717c0fbe5.256p.jpg,DDR4-2133,DDR4,2 x 8GB,16GB,14.065 ns,15,,Red,4.5
Netac Shadow II 8 GB,,,DDR4-3200,DDR4,1 x 8GB,8GB,10 ns,16,,Black,0
G.Skill Ripjaws 64 GB,835.19,https://cdna.pcpartpicker.com/static/forever/images/product/5aadbbb9eba7d5e83667564317e5ac61.256p.jpg,DDR5-4800,DDR5,2 x 32GB,64GB,16.667 ns,40,£13.050,Black,0
Patriot Viper Elite II 8 GB,167.75,https://cdna.pcpartpicker.com/static/forever/images/product/0b87c1095fc9ee08a52a881bce7fd515.256p.jpg,DDR4-3600,DDR4,1 x 8GB,8GB,11.111 ns,20,£20.969,Red / Black,0
Samsung M393A1G43DB0-CPB0 8 GB,,,DDR4-2133,DDR4,1 x 8GB,8GB,14.065 ns,15,,Black / Green,0
Crucial CT2K8G56C46S5 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/f818f3a7577f0480287c27dbb69acfed.256p.jpg,DDR5-5600,DDR5,2 x 8GB,16GB,16.429 ns,46,,Black,0
G.Skill Value 8 GB,71.86,https://cdna.pcpartpicker.com/static/forever/images/product/8bd6ca4575dd0b40523a31db363d3259.256p.jpg,DDR4-2666,DDR4,1 x 8GB,8GB,14.254 ns,19,£8.982,Black,0
Corsair Dominator Platinum 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/3b23f6c1c980b7c634acb2ac5015475c.256p.jpg,DDR4-3000,DDR4,2 x 16GB,32GB,10 ns,15,,Black / Silver,4.5
OLOy MD4U0836180BHKDA 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/ae076b653790230e95e014df9aadbdff.256p.jpg,DDR4-3600,DDR4,2 x 8GB,16GB,10 ns,18,,Black,4.5
Lexar Hades RGB 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/bae8d3a558c592b5e33f927aa4df97cc.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,11.25 ns,18,,Black,0
HP V2 8 GB,,,DDR4-3000,DDR4,1 x 8GB,8GB,10.667 ns,16,,Black,0
GeIL ORION V AMD 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/437b9b50320dd4e3665a5f9c48c14e55.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,10 ns,30,,Black,0
Patriot Viper Venom 48 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/63e8015a266c03a5cc21ddf88d14f9bf.256p.jpg,DDR5-6000,DDR5,2 x 24GB,48GB,10 ns,30,,Black / White,0
Corsair Dominator Titanium RGB 48 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/8da305eef78a280a001a3895bb92250f.256p.jpg,DDR5-6400,DDR5,2 x 24GB,48GB,11.25 ns,36,,Black,0
Kingston FURY Renegade Pro 32 GB,1169.99,https://cdna.pcpartpicker.com/static/forever/images/product/2afe7a78fdbf348b5d7f6ad19beeb1c3.256p.jpg,DDR5-5600,DDR5,1 x 32GB,32GB,12.857 ns,36,£36.562,Black,0
G.Skill Trident Z5 48 GB,1279.6,https://cdna.pcpartpicker.com/static/forever/images/product/a41626f503e2635f8459b69b2da632af.256p.jpg,DDR5-8400,DDR5,2 x 24GB,48GB,9.524 ns,40,£26.658,Black,0
Patriot Viper Xtreme 5 RGB 48 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/6c29d14525fab1e245ce98a28aa01109.256p.jpg,DDR5-8000,DDR5,2 x 24GB,48GB,9.5 ns,38,,Black,0
