name,price,image,configuration,total_wattage,frequency_response,color,rating
Creative Labs Sound Blaster Katana V2,,,2.1,126 W,50 Hz - 20 kHz,,4.5
Audioengine A2+W,,https://cdna.pcpartpicker.com/static/forever/images/product/2a220f3b1c35601516f17edfe4e8c130.256p.jpg,2.0,60 W,65 Hz - 22 kHz,,4
Logitech Z120,,https://cdna.pcpartpicker.com/static/forever/images/product/cb880412d1ebd54793d416e81dfc3c74.256p.jpg,2.0,,,,5
Micca COVO-S,,,2.0,100 W,90 Hz - 20 kHz,,0
Onkyo GX-10DB,,,2.0,34 W,20 Hz - 20 kHz,White,0
Logitech X-540,,,5.1,70 W,40 Hz - 20 kHz,,5
Kanto YU2GB,205.2,https://cdna.pcpartpicker.com/static/forever/images/product/f9c258687ee713bb14a3bb7b1bd9c50a.256p.jpg,2.0,50 W,80 Hz - 20 kHz,Black,0
Audioengine HD3-WAL,,https://cdna.pcpartpicker.com/static/forever/images/product/027d58fc8cc59c8accfdf77b201e5c48.256p.jpg,2.0,60 W,65 Hz - 22 kHz,Brown / Black,0
Yamaha HS7,,,2.0,95 W,43 Hz - 30 kHz,,0
Trust GXT 612 CETIC,44.99,https://cdna.pcpartpicker.com/static/forever/images/product/bba2fd3f3caa8c61e8df81a94689e1e2.256p.jpg,2.0,10 W,20 Hz - 20 kHz,Black,0
Harman Kardon SoundSticks Wireless,,https://cdna.pcpartpicker.com/static/forever/images/product/074d3708e3fcb68714d98e306e6eedb9.256p.jpg,2.1,40 W,44 Hz - 20 kHz,,4.5
Audioengine A2+R,,https://cdna.pcpartpicker.com/static/forever/images/product/4857bdf3964ba44eacab9897717bd5ed.256p.jpg,2.0,60 W,65 Hz - 22 kHz,,4.5
Genius SP-U115,,,2.0,,200 Hz - 18 kHz,,0
Bose Companion 5,,https://cdna.pcpartpicker.com/static/forever/images/product/59f52b5521668648128bc0b85848e671.256p.jpg,2.1,,,Black / Gray,4
Kanto YU2GT,,https://cdna.pcpartpicker.com/static/forever/images/product/f810262e25e3f95ba11df15c89a81845.256p.jpg,2.0,50 W,80 Hz - 20 kHz,Blue / Black,0
SteelSeries Arena 7 AU,,https://cdna.pcpartpicker.com/static/forever/images/product/4839a54d8db920552b186924b8b464c7.256p.jpg,2.1,,35 Hz - 20 kHz,Black,0
Creative Labs SXFI Carrier,,https://cdna.pcpartpicker.com/static/forever/images/product/ba906c07749ff008118bc6e59ea71d8e.256p.jpg,2.1,450 W,25 Hz - 20 kHz,Black,0
Creative Labs GigaWorks T20 Series II,,,2.0,28 W,50 Hz - 20 kHz,,4.5
Creative Labs Inspire T10,,,2.0,10 W,80 Hz - 20 kHz,,4.5
Mackie CR3,,,2.0,50 W,80 Hz - 20 kHz,,4
Logitech THX Z-5300e,,,5.1,280 W,35 Hz - 20 kHz,,5
Audioengine HD3-WHT,320,https://cdna.pcpartpicker.com/static/forever/images/product/4026abe24aa94627d447c16a1ca37952.256p.jpg,2.0,60 W,65 Hz - 22 kHz,White / Black,0
Fluance Ai60 Lucky Bamboo,,https://cdna.pcpartpicker.com/static/forever/images/product/bd9de07201f5f15eba9a34f37e8b99ff.256p.jpg,2.0,100 W,35 Hz - 30 kHz,White / White,0
SteelSeries Arena 7 EU,,https://cdna.pcpartpicker.com/static/forever/images/product/73c65a27411b4644b3476c5fd906f9bb.256p.jpg,2.1,,35 Hz - 20 kHz,Black,0
SteelSeries Arena 7 UK,299,,2.1,,35 Hz - 20 kHz,Black,0
Micca MB42,68.39,,2.0,150 W,60 Hz - 20 kHz,,0
Creative Labs Stage 360,,https://cdna.pcpartpicker.com/static/forever/images/product/40f9da4494b0e9d46dc8f1bf302599cb.256p.jpg,2.1,180 W,50 Hz - 20 kHz,Black,0
Yamaha HS7 W,,https://cdna.pcpartpicker.com/static/forever/images/product/7074ae83850ec5f5d5d268665c5f7def.256p.jpg,1.0,95 W,43 Hz - 30 kHz,,0
Logitech X-140,,,2.0,4 W,80 Hz - 18 kHz,,3.5
Syba CL-SPK20069,,,2.0,3.4 W,280 Hz - 16 kHz,,0
Logitech S120,,https://cdna.pcpartpicker.com/static/forever/images/product/fdb008aa69b39e302bb88cdf319bdf42.256p.jpg,2.0,2.3 W,50 Hz - 20 kHz,,4
KRK RP8 G2,,,2.0,140 W,44 Hz - 20 kHz,,5
KRK VXT 8,,https://cdna.pcpartpicker.com/static/forever/images/product/8d95af617ccd332bb8584c8cd90c24fc.med.256p.jpg,2.0,360 W,37 Hz - 22 kHz,,5
Sony BSP10,,,1.0,20 W,,,0
M-Audio BX5 D3 Crimson,,,1.0,100 W,52 Hz - 35 kHz,Black / Red,0
