name,price,image,configuration,total_wattage,frequency_response,color,rating
Logitech Z337 w/BlueTooth,,https://cdna.pcpartpicker.com/static/forever/images/product/ebf818e8ce22011d6299172337454c28.256p.jpg,2.1,40 W,,,4.5
Mackie MRS10,,,1.0,120 W,40 Hz - 180 Hz,Black,5
Kanto YU2GW,,https://cdna.pcpartpicker.com/static/forever/images/product/b58ebd8158546f70ee1ac2076088c44a.256p.jpg,2.0,50 W,80 Hz - 20 kHz,White / Black,4
Kanto YU2GR,,,2.0,50 W,80 Hz - 20 kHz,Red / Black,0
Genius G2.1 2000,,,2.1,45 W,25 Hz - 20 kHz,Black / Blue,0
JBL Pebbles,,,2.0,,70 Hz - 20 kHz,Black / Red,0
Fluance Ai60 Black Ash,,https://cdna.pcpartpicker.com/static/forever/images/product/2c19933790ef3cbf8e86aa99c85b32c9.256p.jpg,2.0,100 W,35 Hz - 30 kHz,Black / Beige,0
KEF LSXBLUE,,,2.0,200 W,49 Hz - 47 kHz,Blue / Black,0
Creative Labs Creative Stage V2,,,2.1,80 W,55 Hz - 20 kHz,Black,0
Yamaha Yamaha NX-50 2.0 Speaker System - 14 W RMS - Black,,https://cdna.pcpartpicker.com/static/forever/images/product/d4599a543058bf7ca2049ec18293c78b.256p.jpg,2.0,14 W,55 Hz - 20 kHz,Black,0
Vanatoo Transparent Zero,,,2.0,96 W,52 Hz - 20 kHz,Black,0
Mackie CR4-XBT,,https://cdna.pcpartpicker.com/static/forever/images/product/85d7cf6ca79c5b9785924b20ed661068.256p.jpg,2.0,50 W,60 Hz - 20 kHz,Black / Green,5
PreSonus 3.5BT 2nd Gen,,,2.0,50 W,80 Hz - 20 kHz,Black,0
Mackie MR624,,,1.0,65 W,38 Hz - 20 kHz,Black,0
Creative Labs T12,,https://cdna.pcpartpicker.com/static/forever/images/product/55533f0d0fbe903520f4789cd7cf4767.256p.jpg,2.0,18 W,20 Hz - 20 kHz,,5
Genius SP-HF800A,,,2.0,20 W,80 Hz - 20 kHz,,0
Logitech Z553,,,2.1,40 W,55 Hz - 17 kHz,,3.5
Cyber Acoustics CA3001WB,,https://cdna.pcpartpicker.com/static/forever/images/product/c0923c07b7645505bd4d34afeed97f9e.256p.jpg,2.1,14 W,38 Hz - 18 kHz,,4
Genius 31730027102,,,2.0,30 W,50 Hz - 20 kHz,,0
Microlab SP-FC20BK,,https://cdna.pcpartpicker.com/static/forever/images/product/16f64ac8c709893b213dc4bb6890f3f2.256p.jpg,2.1,40 W,50 Hz - 18 kHz,,0
Microlab SP-FC20WH,,https://cdna.pcpartpicker.com/static/forever/images/product/ebd13010a0cb63e9922d1d755fb80bac.256p.jpg,2.1,40 W,50 Hz - 18 kHz,,0
Syba CL-SPK20097,,,2.0,6 W,150 Hz - 20 kHz,,0
Genius SP-S110,,,2.0,1 W,200 Hz - 20 kHz,,0
Cyber Acoustics CA3001RB,,,2.1,14 W,38 Hz - 18 kHz,,3.5
Creative Labs GigaWorks T3,,,2.1,80 W,30 Hz - 20 kHz,,0
Gear Head SP2000USLV,,,2.0,3 W,200 Hz - 20 kHz,,5
Gear Head SP2000URED,,,2.0,3 W,200 Hz - 20 kHz,,5
Gear Head SP2000UBLU,,,2.0,3 W,200 Hz - 20 kHz,,0
Syba CL-SPK20115,,,2.0,6 W,150 Hz - 20 kHz,,0
Creative Labs Inspire S2,,,2.1,33 W,40 Hz - 20 kHz,,0
Cyber Acoustics CA-2011WB,,,2.0,4 W,220 Hz - 20 kHz,,0
Cyber Acoustics CA-2012RB,,,2.0,1.5 W,85 Hz - 18 kHz,,0
Cyber Acoustics CA-2100WB,,,2.0,5.8 W,35 Hz - 18 kHz,,0
Logitech LS21,,,2.1,7 W,40 Hz - 20 kHz,,4
Logitech Z320,,,2.0,10 W,70 Hz - 20 kHz,,4.5
M-Audio Studiophile AV20,,,2.0,10 W,120 Hz - 20 kHz,,0
M-Audio BX8 D2,,,2.0,260 W,30 Hz - 22 kHz,,4.5
M-Audio Studiophile AV30,,,2.0,20 W,90 Hz - 20 kHz,,5
Harman Kardon GLA-55,,,2.0,112 W,35 Hz - 20 kHz,,0
Audioengine A5,,,2.0,100 W,50 Hz - 22 kHz,,4
KRK RP6 G2,,https://cdna.pcpartpicker.com/static/forever/images/product/4e5831f9ee63b2fc3c2490ebbe272ed3.med.256p.jpg,2.0,100 W,48 Hz - 20 kHz,,0
KRK VXT 6,,,2.0,180 W,49 Hz - 22 kHz,,0
KRK VXT4,,,2.0,90 W,66 Hz - 22 kHz,,0
Lenovo M1730,,,2.1,12 W,20 Hz - 20 kHz,,0
Creative Labs Inspire T3300,,,2.1,27 W,40 Hz - 20 kHz,,0
Creative Labs T30,,https://cdna.pcpartpicker.com/static/forever/images/product/d448b52fe54e5da91c0bf8d3144007a3.256p.jpg,2.0,14 W,50 Hz - 20 kHz,,0
Creative Labs T50,,,2.0,40 W,50 Hz - 20 kHz,,0
Mackie CR4,,https://cdna.pcpartpicker.com/static/forever/images/product/4ed2562520044d0753e293fc88fb8da0.256p.jpg,2.0,28 W,60 Hz - 20 kHz,,4.5
Fluance SX6-BK,,,2.0,100 W,50 Hz - 20 kHz,,0
Audioengine A5+N,,,2.0,150 W,50 Hz - 22 kHz,,0
Mackie MR5mk3,,,2.0,100 W,57 Hz - 20 kHz,,0
Mackie MR6mk3,,,2.0,130 W,46 Hz - 20 kHz,,0
Mackie MR8mk3,,,2.0,170 W,38 Hz - 20 kHz,,0
M-Audio AV32,,,2.0,20 W,80 Hz - 20 kHz,,0
Insignia NS-PCS20,,,2.0,,,,5
Creative Labs Inspire T3100,,,2.1,29 W,40 Hz - 20 kHz,,5
Avermedia GS315,,https://cdna.pcpartpicker.com/static/forever/images/product/303284a20551f1442fda0785bfd90ccb.256p.jpg,2.1,77 W,35 Hz - 20 kHz,,3
Creative Labs A550,,,5.1,,,,0
Rosewill SP-7260,,,2.0,,60 Hz - 20 kHz,,0
Creative Labs A250,,https://cdna.pcpartpicker.com/static/forever/images/product/e4ebd63f487e04a861564f6649b93a92.256p.jpg,2.1,9 W,40 Hz - 20 kHz,,3
Creative Labs Sound BlasterX Kratos S3,,,2.1,,,,0
Razer Ferox,,,2.0,6 W,150 Hz - 20 kHz,,0
V7 SP2000-USB-1NC,,,2.0,1 W,,,0
Logitech S-220,,,2.1,17 W,85 Hz - 15 kHz,Black,3
Avermedia GS315-DM,,https://cdna.pcpartpicker.com/static/forever/images/product/ab77d350fc3ac8dc6e50cecf43d151b5.256p.jpg,2.1,77 W,35 Hz - 20 kHz,,0
Cyber Acoustics Curve Sonic,,https://cdna.pcpartpicker.com/static/forever/images/product/20bc3df4dd0201d4abf4cb20a99d2411.256p.jpg,2.0,3 W,,,0
Creative Labs T3250,,,2.1,,,,0
Cyber Acoustics CA-2027,,,2.0,5 W,,,0
Altec Lansing BX1521,,,2.1,,,,0
Altec Lansing VS3030,,,2.0,,,,0
Pioneer SP-BS21-LR,,https://cdna.pcpartpicker.com/static/forever/images/product/79876491f154e93c4843e877b83eff60.256p.jpg,2.0,80 W,65 Hz - 20 kHz,,0
Swan Speakers M200MkIII,,,2.0,120 W,53 Hz - 20 kHz,Brown / Black,0
Swan Speakers M50W,,,2.1,114 W,38 Hz - 20 kHz,Brown / Black,0
M-Audio BX5 D3,92,https://cdna.pcpartpicker.com/static/forever/images/product/7386c02d6787145f55aa020bf43d7d18.256p.jpg,1.0,100 W,52 Hz - 35 kHz,Black,5
M-Audio BX8 D3,,,1.0,150 W,37 Hz - 22 kHz,Black,0
M-Audio BX8 CARBON,,,1.0,130 W,38 Hz - 22 kHz,Black / Silver,0
M-Audio M3-8 (black),,,1.0,220 W,38 Hz - 22 kHz,Black,0
Kanto YU2Bamboo,,https://cdna.pcpartpicker.com/static/forever/images/product/bcbd1c56332509b785b1a1fe9345bd92.256p.jpg,2.0,50 W,80 Hz - 20 kHz,Brown / Black,0
Altec Lansing VS4621,,,2.1,28 W,45 Hz - 18 kHz,Black,0
Audioengine HD3-CHR,,,2.0,60 W,65 Hz - 22 kHz,Red / Black,0
Edifier S2000 PRO,,https://cdna.pcpartpicker.com/static/forever/images/product/1f1b142faf98d27155df047441351b38.256p.jpg,2.0,124 W,48 Hz - 20 kHz,Brown / Black,5
Fluance Ai60 White Walnut,,https://cdna.pcpartpicker.com/static/forever/images/product/c4d0467d31e848a40a193454fcab65c0.256p.jpg,2.0,100 W,35 Hz - 30 kHz,White / Brown,5
KEF LSXGRN,,,2.0,200 W,49 Hz - 47 kHz,Green / Black,0
KEF LSXRED,,,2.0,200 W,49 Hz - 47 kHz,Red / Black,0
Mackie CR5-XBT,,https://cdna.pcpartpicker.com/static/forever/images/product/83d8576404507c89c35e23f7b26c681e.256p.jpg,2.0,80 W,50 Hz - 20 kHz,Green / Black,5
Vanatoo Transparent One Encore,,,2.0,240 W,48 Hz - 20 kHz,Black / Brown,0
SteelSeries Arena 3 UK,,https://cdna.pcpartpicker.com/static/forever/images/product/acce4e016ebf8c15bcdb71fa3f411951.256p.jpg,2.0,,50 Hz - 20 kHz,Black,0
SteelSeries Arena 3 SK,,,2.0,,50 Hz - 20 kHz,Black,0
SteelSeries Arena 7 JP,,,2.1,,35 Hz - 20 kHz,Black,0
SteelSeries Arena 9 JP,,,5.1,,35 Hz - 20 kHz,Black,0
Creative Labs SBS E2900,,https://cdna.pcpartpicker.com/static/forever/images/product/617dc7753266327088fc3d95962a19aa.256p.jpg,2.1,60 W,50 Hz - 20 kHz,Black,0
Creative Labs Sound Blaster GS3 Rev C,,,2.0,12 W,65 Hz - 20 kHz,Black,0
Insignia NS-PCS21,,,2.1,8 W,90 Hz - 18 kHz,Black,0
Edifier R2750DB,255,https://cdna.pcpartpicker.com/static/forever/images/product/4e365ddaf3d71161272021ae1e55ceda.256p.jpg,2.0,136 W,45 Hz - 20 kHz,Black,0
