web_scraper_order,web_scraper_start_url,pagination,name,protocol,interface,rating,price,color,name3,price2,interface2,color2,protocol2,name2,name4
"1784222835-53","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer T3U Nano","ProtocolWi-Fi 5","InterfaceUSB Type-A 2.0","(0)","£17.48Add","ColorBlack","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/3032fab7557adc639a268e0c91db2c75.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/3032fab7557adc639a268e0c91db2c75.256p.jpg"
"1784222835-54","https://uk.pcpartpicker.com/products/wireless-network-card/","","Intel AX200.NGWG.NV","ProtocolWi-Fi 6","InterfaceM.2","(1)","£28.38Add","Color","(1)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/b6de31d8507c898dcea28c01872fb492.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b6de31d8507c898dcea28c01872fb492.256p.jpg"
"1784222835-55","https://uk.pcpartpicker.com/products/wireless-network-card/","","Cudy WE3000","ProtocolWi-Fi 6","InterfacePCIe x1","(1)","£49.36Add","Color","(1)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/4ad51a96b8cf2cb6997c575224b29c30.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/4ad51a96b8cf2cb6997c575224b29c30.256p.jpg"
"1784222835-56","https://uk.pcpartpicker.com/products/wireless-network-card/","","Gigabyte GC-WBAX200","ProtocolWi-Fi 6","InterfacePCIe x1","(19)","Add","ColorBlack / Silver","(19)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/737447f2bbdbf019bdc9232564eaf2cb.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/737447f2bbdbf019bdc9232564eaf2cb.256p.jpg"
"1784222835-57","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus PCE-AC55BT B1","ProtocolWi-Fi 5","InterfacePCIe x1","(85)","Add","Color","(85)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/41IrQZF3m0L.jpg","https://m.media-amazon.com/images/I/41IrQZF3m0L.jpg"
"1784222835-58","https://uk.pcpartpicker.com/products/wireless-network-card/","","Ziyituod ZYT-AX200","ProtocolWi-Fi 6","InterfacePCIe x1","(23)","Add","ColorGreen","(23)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/31P1AzZfWEL.jpg","https://m.media-amazon.com/images/I/31P1AzZfWEL.jpg"
"1784222835-59","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus PCE-AC56","ProtocolWi-Fi 5","InterfacePCIe x1","(47)","Add","Color","(47)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/5516a559362872e6510cbeab949ededd.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/5516a559362872e6510cbeab949ededd.256p.jpg"
"1784222835-60","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus PCE-AX58BT","ProtocolWi-Fi 6","InterfacePCIe x1","(9)","Add","ColorBlack","(9)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/bea22fae2901d63a6a9efb80ed5d7098.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/bea22fae2901d63a6a9efb80ed5d7098.256p.jpg"
"1784222835-61","https://uk.pcpartpicker.com/products/wireless-network-card/","","MSI BE6500","ProtocolWi-Fi 7","InterfaceUSB Type-A 3.2 Gen 1","(0)","Add","ColorBlack","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/61dcc4c1215b90e0119275dee815de34.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/61dcc4c1215b90e0119275dee815de34.256p.jpg"
"1784222835-62","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus PCE-AC68","ProtocolWi-Fi 5","InterfacePCIe x1","(68)","Add","Color","(68)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/1f471cb6b862a05af4eea8aa778c34b6.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/1f471cb6b862a05af4eea8aa778c34b6.256p.jpg"
"1784222835-63","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus PCE-AXE58BT","ProtocolWi-Fi 6E","InterfacePCIe x1","(1)","Add","ColorBlack / Gold","(1)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/b21c133c716604811a0c64fd352a06fc.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b21c133c716604811a0c64fd352a06fc.256p.jpg"
"1784222835-64","https://uk.pcpartpicker.com/products/wireless-network-card/","","Ubit AX210","ProtocolWi-Fi 6E","InterfacePCIe x1","(3)","Add","ColorBlack","(3)","Add","Interface","Color","Protocol","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784222835-65","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer T2U Nano","ProtocolWi-Fi 4","InterfaceUSB Type-A 2.0","(6)","£11.98Add","ColorBlack / Gold","(6)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/49177c109205e9fc15cb9772e9475dd2.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/49177c109205e9fc15cb9772e9475dd2.256p.jpg"
"1784222835-66","https://uk.pcpartpicker.com/products/wireless-network-card/","","fenvi FV-AX3000","ProtocolWi-Fi 6","InterfacePCIe x1","(2)","Add","ColorRed / Black","(2)","Add","Interface","Color","Protocol","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784222835-67","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus PCE-BE90BT","ProtocolWi-Fi 7","InterfacePCIe x1","(0)","Add","ColorBlack","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/04ff8a550f3d7c51765efd7aa85fa4ba.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/04ff8a550f3d7c51765efd7aa85fa4ba.256p.jpg"
"1784222835-68","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer TBE400UH","ProtocolWi-Fi 7","InterfaceUSB Type-A 3.2 Gen 1","(0)","£54.99Add","ColorBlack / Silver","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/b656cf1b403e21e81dd5c005c5a33016.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/b656cf1b403e21e81dd5c005c5a33016.256p.jpg"
"1784222835-69","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus PCE-AC51","ProtocolWi-Fi 5","InterfacePCIe x1","(28)","Add","Color","(28)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/197f9478a19d53d444a85e48e002e2b2.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/197f9478a19d53d444a85e48e002e2b2.256p.jpg"
"1784222835-70","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer T2UB Nano","ProtocolWi-Fi 5","InterfaceUSB Type-A 2.0","(1)","£14.48Add","ColorBlack","(1)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/66d51909cfc4587eddf4081d1db26e53.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/66d51909cfc4587eddf4081d1db26e53.256p.jpg"
"1784222835-71","https://uk.pcpartpicker.com/products/wireless-network-card/","","Netgear Nighthawk AC1900 A7000-10000S","ProtocolWi-Fi 5","InterfaceUSB Type-A 3.2 Gen 1","(3)","Add","ColorBlack","(3)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/884612197060a46a34124579e06705a8.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/884612197060a46a34124579e06705a8.256p.jpg"
"1784222835-72","https://uk.pcpartpicker.com/products/wireless-network-card/","","fenvi FV-8802","ProtocolWi-Fi 5","InterfacePCIe x1","(1)","Add","ColorBlack / Orange","(1)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/318aE2nGj+L.jpg","https://m.media-amazon.com/images/I/318aE2nGj+L.jpg"
"1784222835-73","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer T2U","ProtocolWi-Fi 5","InterfaceUSB Type-A 2.0","(7)","£15.96Add","Color","(7)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/74c28093cf824befbcddbdc6374cd556.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/74c28093cf824befbcddbdc6374cd556.256p.jpg"
"1784222835-74","https://uk.pcpartpicker.com/products/wireless-network-card/","","Ubit G10H-AX210S","ProtocolWi-Fi 6E","InterfacePCIe x1","(5)","Add","Color","(5)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/41LZNnZrSxL.jpg","https://m.media-amazon.com/images/I/41LZNnZrSxL.jpg"
