name,price,image,socket,form_factor,memory_max,memory_slots,color,rating
MSI A520M-A PRO,44.99,https://cdna.pcpartpicker.com/static/forever/images/product/f210cab1260cc8cd402ee007cc382029.256p.jpg,AM4,Micro ATX,64 GB,2,Black,3.5
Asus ROG STRIX X870-I GAMING WIFI,373.61,https://cdna.pcpartpicker.com/static/forever/images/product/4e5ec27085e7971c37ce5794396f9639.256p.jpg,AM5,Mini ITX,128 GB,2,Black,4
ASRock B650M-H/M.2+,90.06,https://cdna.pcpartpicker.com/static/forever/images/product/07c31fe938c6e8531c051bc527759992.256p.jpg,AM5,Micro ATX,96 GB,2,Silver / Black,4.5
ASRock B850M-X WiFi R2.0,106.5,https://cdna.pcpartpicker.com/static/forever/images/product/cf3d0f0524d2e319b2e8eb117d9b63ca.256p.jpg,AM5,Micro ATX,128 GB,2,Black / White,4.5
Gigabyte B850 AORUS ELITE WIFI7 ICE,189.98,https://cdna.pcpartpicker.com/static/forever/images/product/b0c60fa6ec041477ad48e09d4203a0da.256p.jpg,AM5,ATX,256 GB,4,White / Silver,4.5
ASRock B450M-HDV R4.0,,https://cdna.pcpartpicker.com/static/forever/images/product/2b2897ac0de148a2935c3277573131b3.256p.jpg,AM4,Micro ATX,64 GB,2,Black / White,3.5
MSI PRO B850M-P WIFI,139.99,https://cdna.pcpartpicker.com/static/forever/images/product/e5ef70a31eda568d633f331a887b2aae.256p.jpg,AM5,Micro ATX,256 GB,4,Black / Silver,4.5
Asus ProArt X870E-CREATOR WIFI,447.74,https://cdna.pcpartpicker.com/static/forever/images/product/90a7314681e18b425d4240b917dd7d3e.256p.jpg,AM5,ATX,256 GB,4,Black / Gold,4.5
Asus ROG STRIX B650-A GAMING WIFI,158.97,https://cdna.pcpartpicker.com/static/forever/images/product/127cc163cf3e552499471f1908f99cfe.256p.jpg,AM5,ATX,192 GB,4,Black / Silver,4.5
MSI PRO B650M-A WIFI,151.49,https://cdna.pcpartpicker.com/static/forever/images/product/a7ffc5ab34c099836bb0ff9f9dfcab6d.256p.jpg,AM5,Micro ATX,192 GB,4,Black,4
Gigabyte B850 GAMING X WIFI6E,173.99,https://cdna.pcpartpicker.com/static/forever/images/product/62258989025bb9dd8fb1abaa606d1444.256p.jpg,AM5,ATX,256 GB,4,Gray / Black,4.5
MSI MEG X870E GODLIKE MAX,,https://cdna.pcpartpicker.com/static/forever/images/product/564ea74c1994e6960b6305f850b5b780.256p.jpg,AM5,EATX,256 GB,4,Black,0
ASRock B650 Steel Legend WiFi,163.4,https://cdna.pcpartpicker.com/static/forever/images/product/f154f20635f7e56b180c01266156053f.256p.jpg,AM5,ATX,256 GB,4,White / Silver,5
MSI PRO B850M-A WIFI,186.32,https://cdna.pcpartpicker.com/static/forever/images/product/9f36e7016dcb0e90f99d71e992ed2ca6.256p.jpg,AM5,Micro ATX,256 GB,4,Black / Silver,5
Asus ROG STRIX X870E-A GAMING WIFI7 NEO,292,https://cdna.pcpartpicker.com/static/forever/images/product/c8f9c6e956b89c5d25b7d91eba679419.256p.jpg,AM5,ATX,256 GB,4,White,0
ASRock B550 Phantom Gaming 4/ac,106.1,https://cdna.pcpartpicker.com/static/forever/images/product/987495c240f254ae7314bdd8ae3c426c.256p.jpg,AM4,ATX,128 GB,4,Silver / Black,4
Gigabyte X870I AORUS PRO ICE,264.98,https://cdna.pcpartpicker.com/static/forever/images/product/08f4be6287189613c69c5b5dfd6cd88b.256p.jpg,AM5,Mini ITX,128 GB,2,White,3.5
MSI PRO B760M-P DDR4,85.9,https://cdna.pcpartpicker.com/static/forever/images/product/bc24eb1e51b0165c40c5fa45e30055ce.256p.jpg,LGA1700,Micro ATX,128 GB,4,Black,3.5
Asus ROG STRIX X870-A GAMING WIFI,298.99,https://cdna.pcpartpicker.com/static/forever/images/product/8759f89d039f01404d65dcb994629292.256p.jpg,AM5,ATX,256 GB,4,White,4.5
MSI PRO B650M-P,107.94,https://cdna.pcpartpicker.com/static/forever/images/product/f03f1d667284f39b3eaf208a50cdbb68.256p.jpg,AM5,Micro ATX,192 GB,4,Black / Silver,4.5
Asus TUF GAMING B850M-PLUS WIFI,190.99,https://cdna.pcpartpicker.com/static/forever/images/product/1d8ae56612d85a6804f4da9a9bc4c5e4.256p.jpg,AM5,Micro ATX,256 GB,4,Black,4.5
Gigabyte B550M DS3H AC R2,88.96,https://cdna.pcpartpicker.com/static/forever/images/product/61e134589d40c606cd6ac71cd3603434.256p.jpg,AM4,Micro ATX,128 GB,4,Black,4.5
MSI PRO B650-S WIFI,136.34,https://cdna.pcpartpicker.com/static/forever/images/product/a3020fc8322a2821927ed01af1155620.256p.jpg,AM5,ATX,192 GB,4,Black,4.5
Gigabyte B650M GAMING WIFI6E,111.02,https://cdna.pcpartpicker.com/static/forever/images/product/7486bd0a06a2794a9f33b9104c25ca57.256p.jpg,AM5,Micro ATX,128 GB,2,Silver / Black,4
MSI MPG X870E CARBON WIFI,397.99,https://cdna.pcpartpicker.com/static/forever/images/product/fac31c8cea999908580b1081eed58c0e.256p.jpg,AM5,ATX,256 GB,4,Black,4
Asus TUF GAMING B860M-PLUS WIFI,169.99,https://cdna.pcpartpicker.com/static/forever/images/product/2656853c7563ea7353bcb7ebbb3ef261.256p.jpg,LGA1851,Micro ATX,256 GB,4,Black / Silver,5
MSI PRO X870E-P WIFI,204.94,https://cdna.pcpartpicker.com/static/forever/images/product/818755e4ae3a17cd1e3dc208ed4017fe.256p.jpg,AM5,ATX,256 GB,4,Black / Silver,4
Asus ROG STRIX B850-G GAMING WIFI,205.9,https://cdna.pcpartpicker.com/static/forever/images/product/ad06e905477b8cff21bf5a105c68768a.256p.jpg,AM5,Micro ATX,256 GB,4,White,5
MSI PRO B650-P WIFI,226.62,https://cdna.pcpartpicker.com/static/forever/images/product/b381dd1cf368e92388a8bfc64866fcc5.256p.jpg,AM5,ATX,192 GB,4,Black,4
MSI B550-A PRO,94.99,https://cdna.pcpartpicker.com/static/forever/images/product/fc65ca9d5cae55e189d9d159896a659c.256p.jpg,AM4,ATX,128 GB,4,Black / Silver,4.5
Gigabyte B850M EAGLE WIFI6E,151.25,https://cdna.pcpartpicker.com/static/forever/images/product/a6491e56a9da34963366a7c07b77542f.256p.jpg,AM5,Micro ATX,256 GB,4,Black,5
ASRock A620AM-X WiFi,86.99,https://cdna.pcpartpicker.com/static/forever/images/product/c82b0a58c390e8674066c2b1b26dfd84.256p.jpg,AM5,Micro ATX,128 GB,2,Black,0
MSI PRO Z790-A MAX WIFI,237.33,https://cdna.pcpartpicker.com/static/forever/images/product/55e781311c4d62e83df9ac297a64c01a.256p.jpg,LGA1700,ATX,256 GB,4,Silver / Black,4.5
Asus ROG STRIX Z890-E GAMING WIFI,289.99,https://cdna.pcpartpicker.com/static/forever/images/product/e454bdc289a21a76440be26aaacc1c38.256p.jpg,LGA1851,ATX,256 GB,4,Black,5
MSI MPG B850I EDGE TI WIFI,249.9,https://cdna.pcpartpicker.com/static/forever/images/product/9215de4401fbfce1a54ecc659fc6f3b5.256p.jpg,AM5,Mini ITX,128 GB,2,Silver,4
Gigabyte X870 AORUS ELITE WIFI7,239.99,https://cdna.pcpartpicker.com/static/forever/images/product/a6142ac6b6282d5d01bf025a8e7418a0.256p.jpg,AM5,ATX,256 GB,4,Black,4.5
Asus TUF GAMING B550M-PLUS WIFI II,114.79,,AM4,Micro ATX,128 GB,4,Black / Gray,4.5
