name,price,image,type,frequency_response,microphone,wireless,enclosure_type,color,rating
Sony XM5,229,https://cdna.pcpartpicker.com/static/forever/images/product/5b141c21cb9624a2129f3a5a192c7792.256p.jpg,Circumaural,4 Hz - 40 kHz,Yes,Yes,Closed,Black,4.5
Razer Kraken Kitty V2 Pro,159.94,https://cdna.pcpartpicker.com/static/forever/images/product/0d92983d812ea50020a300f9c0e8132a.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Pink / Gray,0
Razer Kraken V3 X,39.99,https://cdna.pcpartpicker.com/static/forever/images/product/3dc024b446b8f01940cbab1b2e9f854a.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black,4
Sennheiser HD 660S2,470.06,https://cdna.pcpartpicker.com/static/forever/images/product/d3e3bd38e0195a188578421160519d07.256p.jpg,Circumaural,8 Hz - 41.5 kHz,No,No,Open,Black,5
Sennheiser HD600,296,https://cdna.pcpartpicker.com/static/forever/images/product/7cc8cd810692a5bf53692c7cf9de7cab.256p.jpg,Circumaural,12 Hz - 39 kHz,No,No,Open,Black,4.5
Logitech G735,155.75,https://cdna.pcpartpicker.com/static/forever/images/product/9003bb2dbbf630570187994920ed0bff.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,4.5
HP HyperX Cloud Alpha 2,116.99,https://cdna.pcpartpicker.com/static/forever/images/product/e7e47e9cac1d47ae1f98bde5db270600.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Apple MD827LL/A,25.48,Earbud,Earbud,true,Yes,No,Closed,White,4.5
Logitech G535 LIGHTSPEED,67.73,https://cdna.pcpartpicker.com/static/forever/images/product/9aef883b5b47ec2d14ef06f7cf0a3b03.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Blue,4
Logitech ASTRO A10,39.99,https://cdna.pcpartpicker.com/static/forever/images/product/df983525ee0450c6c3e5cd732e82757c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,4.5
Asus TUF Gaming H1 Gen II Hatsune Miku Edition,84.25,https://cdna.pcpartpicker.com/static/forever/images/product/85449ccbc982488361fe51a67bfd845a.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,White / Teal,3
Corsair VOID RGB ELITE,119.99,https://cdna.pcpartpicker.com/static/forever/images/product/2e483f6f283c4606e4c82654ca8a2a03.256p.jpg,Circumaural,20 Hz - 30 kHz,Yes,Yes,Closed,White,4.5
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",237,https://cdna.pcpartpicker.com/static/forever/images/product/d67777a48054e86dfe750f9a9bcf2871.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black,4.5
Corsair HS80 MAX WIRELESS,139,https://cdna.pcpartpicker.com/static/forever/images/product/74e15dd13c60c87065c3114a50474dfa.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Gray / Black,5
Beyerdynamic MMX 300 (2nd Generation),249.92,https://cdna.pcpartpicker.com/static/forever/images/product/15a63e1a025be4f594a44c134d3d4c3a.256p.jpg,Circumaural,5 Hz - 35 kHz,Yes,No,Closed,Black,4.5
HiFiMAN Susvara,5999,https://cdna.pcpartpicker.com/static/forever/images/product/54fe0ca737c04afc856fa32912993f25.256p.jpg,Circumaural,6 Hz - 75 kHz,No,No,Open,Silver / Brown,0
Asus TUF Gaming H1 Wireless,67.94,https://cdna.pcpartpicker.com/static/forever/images/product/f3c2a3a1a568cb13fe746db2c5e70c7f.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,,0
