name,price,image,type,frequency_response,microphone,wireless,enclosure_type,color,rating
Sony MDR-EX37B/BLK,,In Ear,In Ear,6 Hz - 23 kHz,No,No,Closed,Black / Silver,0
Sony MDR-EX37B/YLW,,In Ear,In Ear,6 Hz - 23 kHz,No,No,Closed,Black / Yellow,0
Sony MDRED12LP/SILVER,,https://cdna.pcpartpicker.com/static/forever/images/product/5f22ce7f4931126187a629b3302b4182.med.256p.jpg,In Ear,false,No,No,Closed,Black / Silver,0
Sony MDREX100APL,,In Ear,In Ear,5 Hz - 24 kHz,No,No,Closed,Black / Blue,0
Sony MDREX100APP,,In Ear,In Ear,5 Hz - 24 kHz,No,No,Closed,Black / Pink,0
Sony MDREX25LPBLU,,https://cdna.pcpartpicker.com/static/forever/images/product/f42528ea2d80f4c08a8d0a15de2d31d6.med.256p.jpg,In Ear,6 Hz - 23 kHz,No,No,Closed,Blue / White,0
Sony MDREX25LPPNK,,https://cdna.pcpartpicker.com/static/forever/images/product/9999e3742b54f6602355c50d14104d99.med.256p.jpg,In Ear,6 Hz - 23 kHz,No,No,Closed,Pink,0
Sony MDREX25LPVLT,,In Ear,In Ear,6 Hz - 23 kHz,No,No,Closed,Purple,0
Sony MDREX38IP/BQ(U),,In Ear,In Ear,false,No,No,Closed,Black,0
Sony MDREX38IP/WQ(U),,https://cdna.pcpartpicker.com/static/forever/images/product/28103bf1672c54c526b4cfc3a98d08ab.256p.jpg,In Ear,false,No,No,Closed,White,0
Sony XBA-1,,In Ear,In Ear,5 Hz - 25 kHz,No,No,Closed,Black / Silver,0
Sony XBAC10IPBL,,In Ear,In Ear,5 Hz - 25 kHz,Yes,No,Closed,Black,0
Sony XBAC10IPWH,,In Ear,In Ear,5 Hz - 25 kHz,Yes,No,Closed,White,0
A4Tech HU-111,24.99,https://cdna.pcpartpicker.com/static/forever/images/product/5b0d585f98ee8b273bddd0741f8ba68f.med.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
A4Tech L-610-1,,https://cdna.pcpartpicker.com/static/forever/images/product/81acdd7587d00d37b2efaa5d985e99bd.med.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
A4Tech MK-630P,,https://cdna.pcpartpicker.com/static/forever/images/product/418d913b8794c32508d0a739b39d155b.med.256p.jpg,In Ear,20 Hz - 20 kHz,No,No,Closed,Pink / White,0
A4Tech MK-650P,,https://cdna.pcpartpicker.com/static/forever/images/product/758e3669595a52ae46e008a9ebec0ec2.med.256p.jpg,In Ear,20 Hz - 20 kHz,No,No,Closed,Pink / Silver,0
Creative Labs Aurvana In-Ear2,,In Ear,In Ear,15 Hz - 16 kHz,No,No,Closed,Black / Silver,0
Creative Labs HQ-1450,,Supra-aural,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black / Silver,0
Creative Labs Aurvana In-Ear3,,In Ear,In Ear,10 Hz - 17 kHz,No,No,Closed,Black / Silver,0
Creative Labs EP-660,,In Ear,In Ear,6 Hz - 23 kHz,No,No,Closed,Black / Silver,0
Creative Labs Hs-430,,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,0
Creative Labs ZEN AURVANA,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,Black,0
Creative Labs EP-830,,In Ear,In Ear,6 Hz - 23 kHz,No,No,Closed,Black / Silver,0
Cyber Acoustics AC-100B,,https://cdna.pcpartpicker.com/static/forever/images/product/1b7eef2ef9f56c1c951d1de93e5ec37a.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Cyber Acoustics AC-200B,,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Cyber Acoustics AC-744,,https://cdna.pcpartpicker.com/static/forever/images/product/9c8e0ea539db31683de94cfec7bf0517.med.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Cyber Acoustics ACM-940,24.95,https://cdna.pcpartpicker.com/static/forever/images/product/d003a6c518e0b9d002317828b2cd6a48.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Cyber Acoustics AC-201,50.19,https://cdna.pcpartpicker.com/static/forever/images/product/ada4cb27d97a01670d71c9d00750b5f1.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Cyber Acoustics AC-400MV,,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Cyber Acoustics AC-401,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Cyber Acoustics AC-404,,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Cyber Acoustics AC-648,,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Cyber Acoustics AC-740,26.79,https://cdna.pcpartpicker.com/static/forever/images/product/4c0fa0e3f916f3d4ee0c6a22d30ffaa5.med.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Cyber Acoustics AC-850,42.5,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Cyber Acoustics AC-94,,Earbud,Earbud,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Cyber Acoustics AC-960,,https://cdna.pcpartpicker.com/static/forever/images/product/767b10702a0f2440011133691692f26f.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Cyber Acoustics AC-9648,,Circumaural,Circumaural,true,Yes,No,Closed,Black / Silver,0
Cyber Acoustics AC-96I,,In Ear,In Ear,true,Yes,No,Closed,Black / Silver,0
Cyber Acoustics AC851B,,https://cdna.pcpartpicker.com/static/forever/images/product/61f8fcb1e081c3f33265f260a46fcfb4.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Cyber Acoustics ACM-500RB,24.99,https://cdna.pcpartpicker.com/static/forever/images/product/9a25ac2df912bab02f7a8a50f4fa867d.256p.jpg,Circumaural,false,No,No,Closed,Black,0
Cyber Acoustics ACM-62,10.99,Supra-aural,Supra-aural,false,No,No,Closed,Black,0
Cyber Acoustics ACM-62B,,https://cdna.pcpartpicker.com/static/forever/images/product/ca31d2c2bcb8af499c08cd647b29bea8.256p.jpg,Supra-aural,20 Hz - 18 kHz,No,No,Closed,Black,0
Cyber Acoustics ACM-7002,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Cyber Acoustics HE200RB,,https://cdna.pcpartpicker.com/static/forever/images/product/856c10f1b4b0df82ac42e32f7200dd4a.med.256p.jpg,Supra-aural,false,No,No,Closed,Black / Silver,0
Altec Lansing MZX736,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,Blue / White,0
Antec BXH-100 BLK,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,Black / Red,0
Antec BXH-100 GRN,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,Green / White,0
Antec BXH-100 GRY,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,Black / Gray,0
Antec BXH-100 SIL,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,Silver,0
Antec BXH-100 WHI,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,White / Purple,0
Apple MB770G,,Earbud,Earbud,true,Yes,No,Closed,White,0
ARCTIC P301,,Circumaural,Circumaural,12 Hz - 24 kHz,Yes,No,Closed,Black / Silver,0
Panasonic RP-HT227,23.98,https://cdna.pcpartpicker.com/static/forever/images/product/32c0a7926a711cf794c1bb9d0fb149d6.med.256p.jpg,Circumaural,false,No,No,Closed,Black / Silver,0
Panasonic RP-DJS400-K,,Circumaural,Circumaural,10 Hz - 27 kHz,No,No,Closed,Black / Orange,0
Panasonic RP-DJS400-R,,Supra-aural,Supra-aural,10 Hz - 27 kHz,No,No,Closed,Black / Red,0
Panasonic RP-DJS400-W,,Circumaural,Circumaural,10 Hz - 27 kHz,No,No,Closed,White,0
Panasonic RP-DJS400-Z,,Supra-aural,Supra-aural,10 Hz - 27 kHz,No,No,Closed,White / Pink,0
Panasonic RP-HTF295,,https://cdna.pcpartpicker.com/static/forever/images/product/b9ff1c573ad87c63fe3b5236decacf78.med.256p.jpg,Circumaural,false,No,No,Closed,Black,0
Panasonic RP-HTF600-S,,https://cdna.pcpartpicker.com/static/forever/images/product/c5b426c03da98169e42e8721fc7c5b55.med.256p.jpg,Circumaural,10 Hz - 28 kHz,No,No,Closed,Black / Silver,4
Panasonic RP-HTF890-S,,https://cdna.pcpartpicker.com/static/forever/images/product/7ab610cdba3e250ea612806972505d45.med.256p.jpg,Circumaural,5 Hz - 30 kHz,No,No,Open,Black / Silver,0
Panasonic RP-HTX7-A1,,https://cdna.pcpartpicker.com/static/forever/images/product/11e26a7b2029417b2418d2082d4562c4.256p.jpg,Circumaural,false,No,No,Closed,Black / Blue,0
Panasonic RP-HTX7-C1,,Circumaural,Circumaural,false,No,No,Closed,Black / White,0
Panasonic RP-HTX7-G1,,Circumaural,Circumaural,7 Hz - 22 kHz,No,No,Closed,Black / Green,0
Panasonic RP-HTX7-K1,,https://cdna.pcpartpicker.com/static/forever/images/product/5e7de5398376c79a0001ff20fa859f99.med.256p.jpg,Circumaural,7 Hz - 22 kHz,No,No,Closed,Black / Silver,0
Panasonic RP-HTX7-W1,,Circumaural,Circumaural,7 Hz - 22 kHz,No,No,Closed,Black / White,0
Panasonic RP-HTX7P1,,https://cdna.pcpartpicker.com/static/forever/images/product/7db6c886f28ec550c76df5412f22602a.256p.jpg,Circumaural,7 Hz - 22 kHz,No,No,Closed,Black / Pink,0
Panasonic RP-HTX7R1,,https://cdna.pcpartpicker.com/static/forever/images/product/1d6cbecb349e60ff18164db9f4c7e215.med.256p.jpg,Circumaural,7 Hz - 22 kHz,No,No,Closed,Black / Red,0
Panasonic RP-HX35-R,,Supra-aural,Supra-aural,10 Hz - 25 kHz,No,No,Closed,Black / Red,0
Panasonic RPHT360,,Circumaural,Circumaural,10 Hz - 27 kHz,No,No,Closed,Black / Silver,0
Shure SE215CLR,,In Ear,In Ear,false,No,No,Closed,Translucent Black,0
Razer Star Wars: The Old Republic Gaming Headset,,Circumaural,Circumaural,true,Yes,No,Closed,Black / White,0
Razer Hammerhead Pro,,In Ear,In Ear,true,Yes,No,Closed,Black / Green,4
SteelSeries 51006,,Circumaural,Circumaural,true,Yes,No,Closed,Black / White,0
SteelSeries Siberia,,In Ear,In Ear,30 Hz - 24 kHz,No,No,Closed,White,0
SteelSeries SS-61001,,Circumaural,Circumaural,16 Hz - 28 kHz,Yes,No,Closed,Black / Silver,0
Yamaha EPH-100,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,Black / Silver,4
Yamaha EPH-20 Black,,https://cdna.pcpartpicker.com/static/forever/images/product/574b35fab33459beba738dbada1cab1b.med.256p.jpg,In Ear,20 Hz - 21 kHz,No,No,Closed,Black,0
Yamaha EPH-20 Indigo,,In Ear,In Ear,20 Hz - 21 kHz,No,No,Closed,Black / Purple,0
Yamaha EPH-20 Pink,9.99,In Ear,In Ear,20 Hz - 21 kHz,No,No,Closed,Black / Pink,0
Yamaha EPH-20BR,,In Ear,In Ear,20 Hz - 21 kHz,No,No,Closed,Black / Red,0
Yamaha EPH-20BU,,In Ear,In Ear,20 Hz - 21 kHz,No,No,Closed,Black / Purple,0
Yamaha EPH-20GN,,In Ear,In Ear,20 Hz - 21 kHz,No,No,Closed,White / Green,0
Yamaha EPH-20PI,9.99,https://cdna.pcpartpicker.com/static/forever/images/product/b3774a81d56e080e4efe2856026fe6bc.med.256p.jpg,In Ear,20 Hz - 21 kHz,No,No,Closed,Black / Pink,0
Yamaha EPH-30BL,,In Ear,In Ear,20 Hz - 21 kHz,No,No,Closed,Black / Silver,0
Yamaha EPH-30WH,,In Ear,In Ear,20 Hz - 21 kHz,No,No,Closed,White,0
Yamaha EPH-50,,https://cdna.pcpartpicker.com/static/forever/images/product/b7bd9cab0e2401d37020d7922c7d08a9.256p.jpg,In Ear,20 Hz - 21 kHz,No,No,Closed,Black,0
Yamaha EPH-50 White,,https://cdna.pcpartpicker.com/static/forever/images/product/556bc804acca74c37bd9f4909752b382.med.256p.jpg,In Ear,20 Hz - 21 kHz,No,No,Closed,White,0
Yamaha EPH-50WH,,https://cdna.pcpartpicker.com/static/forever/images/product/11cde82d83f847f89f8e1aa2c8e749e0.med.256p.jpg,In Ear,20 Hz - 21 kHz,No,No,Closed,White,0
Yamaha EPH-C500-BL,,In Ear,In Ear,false,No,No,Closed,Black / Silver,0
Yamaha EPH-C500-WH,,In Ear,In Ear,false,No,No,Closed,White,0
Yamaha HPH-PRO300BL,,Supra-aural,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black / White,0
Yamaha HPH-PRO300BU,,Supra-aural,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black / Blue,0
Yamaha HPH-PRO300WH,,Supra-aural,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black / White,0
Yamaha HPH-PRO400BL,,Supra-aural,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black / White,0
Yamaha HPH-PRO400WH,,https://cdna.pcpartpicker.com/static/forever/images/product/f90d8ad32ee31c7f99746f2b7577e913.256p.jpg,Supra-aural,20 Hz - 20 kHz,No,No,Closed,White / Black,0
Yamaha HPH-PRO500BL,,Supra-aural,Supra-aural,20 Hz - 20 kHz,No,No,Closed,Black / Silver,0
Yamaha RH2C,,Circumaural,Circumaural,25 Hz - 15 kHz,No,No,Semi-open,Black,0
Creative Labs Aurvana Live!,,Circumaural,Circumaural,10 Hz - 30 kHz,No,No,Closed,Black,0
Gear Head HS2750S,,Circumaural,Circumaural,false,No,No,Closed,Black / Silver,0
Gear Head HQ4750BLU,,Supra-aural,Supra-aural,false,No,No,Closed,Black / Blue,0
Gear Head HQ4750RED,,Supra-aural,Supra-aural,false,No,No,Closed,Black / Red,0
Gear Head HQ4750GRN,,Supra-aural,Supra-aural,false,No,No,Closed,Black / Green,0
Gear Head HQ4750BCM,,Supra-aural,Supra-aural,false,No,No,Closed,Black / Gray,0
Gear Head AU1200M,8,Supra-aural,Supra-aural,true,Yes,No,Closed,Black,0
Gear Head AU3700S,,Supra-aural,Supra-aural,true,Yes,No,Closed,Black,5
Gear Head BT9850M,,Supra-aural,Supra-aural,true,Yes,Yes,Closed,Black / Silver,0
AZIO GH808,,Circumaural,Circumaural,true,Yes,No,Closed,Black / Red,0
Cobra HS707,,https://cdna.pcpartpicker.com/static/forever/images/product/bad0a8e90f7b7b21b292f2aec2538448.med.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,0
Ergoguys 3064AV-USB,,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Ergoguys 3066AV,,Circumaural,Circumaural,20 Hz - 19 kHz,Yes,No,Closed,Black / White,0
Etymotic Research ER23-HF3-BLACK-I,,In Ear,In Ear,20 Hz - 15 kHz,No,No,Closed,Black / Silver,0
Imation St550,,Circumaural,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black / Silver,0
Imation EB50-PNK,,https://cdna.pcpartpicker.com/static/forever/images/product/dab23f00bbbca227c834d7636b077d7e.med.256p.jpg,In Ear,20 Hz - 20 kHz,No,No,Closed,Pink / White,0
Imation EB50,,In Ear,In Ear,20 Hz - 20 kHz,No,No,Closed,Pink / White,0
Imation 99154,,In Ear,In Ear,false,No,No,Closed,Black,0
Koss CS-100,39.56,https://cdna.pcpartpicker.com/static/forever/images/product/0e443dbe549b0101e67b23616755c9a5.256p.jpg,Supra-aural,true,Yes,No,Closed,Black / Silver,0
Lenovo P950,,Circumaural,Circumaural,125 Hz - 20 kHz,Yes,No,Closed,Black,0
Microsoft L2 LifeChat LX-2000,,https://cdna.pcpartpicker.com/static/forever/images/product/35c7e9c8233df04f1ee217fb2f0d9773.256p.jpg,Supra-aural,true,Yes,No,Closed,Black,0
Microsoft LifeChat LX-6000,69.08,https://cdna.pcpartpicker.com/static/forever/images/product/e34f82914229a2ec18ead7b918466e42.256p.jpg,Supra-aural,75 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Microsoft LifeChat LX-4000,,https://cdna.pcpartpicker.com/static/forever/images/product/1ed99335326dba5edb4b8882d1e1fc16.256p.jpg,Supra-aural,75 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Microsoft L2 LifeChat LX-1000,,Supra-aural,Supra-aural,80 Hz - 20 kHz,Yes,No,Closed,Black,0
Panasonic 777780526821,,https://cdna.pcpartpicker.com/static/forever/images/product/b39b6f038b2fa179a43c73df21fca26f.med.256p.jpg,Supra-aural,true,Yes,No,Closed,Black,0
Panasonic KX-TCA400,,https://cdna.pcpartpicker.com/static/forever/images/product/4ee1adc32091aa1d313434e9356192a5.med.256p.jpg,Supra-aural,true,Yes,No,Closed,Black,0
Panasonic RP-HC200-W,,Circumaural,Circumaural,true,Yes,No,Closed,White / Black,0
Panasonic RP-HJE190-A,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Black / Blue,0
Panasonic RP-HJE190-N,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Black / Gold,0
Panasonic RP-HJE190-R,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Black / Red,0
Panasonic RP-HJE190-V,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Black / Purple,0
Panasonic RP-HJE190-W,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,White,0
Panasonic RP-HV21-G,,Earbud,Earbud,10 Hz - 25 kHz,Yes,No,Closed,Green / White,0
Panasonic RP-HV21-P,,Earbud,Earbud,10 Hz - 25 kHz,No,No,Closed,Pink / White,0
Panasonic RP-HV21-W,,https://cdna.pcpartpicker.com/static/forever/images/product/602f9a26771fcedfa3d914a009298461.med.256p.jpg,Earbud,10 Hz - 25 kHz,Yes,No,Closed,White,0
Panasonic RP-HV21-v,,https://cdna.pcpartpicker.com/static/forever/images/product/f918e6245c3ba3353361db25daf4bc42.med.256p.jpg,In Ear,10 Hz - 25 kHz,No,No,Closed,White / Purple,0
Panasonic RP-HV41-D,,In Ear,In Ear,10 Hz - 25 kHz,No,No,Closed,Orange,0
Panasonic RP-HV41-G,,In Ear,In Ear,10 Hz - 25 kHz,No,No,Closed,Green,0
Panasonic RP-HV41-K,,In Ear,In Ear,10 Hz - 25 kHz,No,No,Closed,Black / Gray,0
Panasonic RP-HV41-P,,In Ear,In Ear,10 Hz - 25 kHz,No,No,Closed,Pink,0
Panasonic RP-HV41-PB,,In Ear,In Ear,10 Hz - 25 kHz,No,No,Closed,Red,0
Panasonic RP-HV41-V,,In Ear,In Ear,10 Hz - 25 kHz,No,No,Closed,Purple,0
Panasonic RP-HV41-W,,In Ear,In Ear,10 Hz - 25 kHz,No,No,Closed,White,0
Panasonic RP-HV41A,,https://cdna.pcpartpicker.com/static/forever/images/product/946d7043711427845ff89ad434ccd152.256p.jpg,In Ear,10 Hz - 25 kHz,No,No,Closed,Blue,0
Panasonic RP-HX35-K,21.25,Supra-aural,Supra-aural,false,No,No,Closed,Black / Silver,0
Panasonic RP-HX650-K,,Circumaural,Circumaural,10 Hz - 30 kHz,No,No,Closed,Black,0
Philips SHE2105BK/28,,Earbud,Earbud,12 Hz - 22 kHz,No,No,Closed,Black,0
Philips SHE2105PK/28,,Earbud,Earbud,12 Hz - 22 kHz,No,No,Closed,Pink / White,0
Philips SHE2105WT/28,9.99,Earbud,Earbud,12 Hz - 22 kHz,No,No,Closed,White,0
Philips SHE3575BB/28,19.98,In Ear,In Ear,12 Hz - 23.5 kHz,Yes,No,Closed,Blue,0
Philips SHE3590BK/10,,In Ear,In Ear,12 Hz - 23.5 kHz,Yes,No,Closed,Black / Silver,0
Philips SHE3590BL/10,,In Ear,In Ear,12 Hz - 23.5 kHz,Yes,No,Closed,Blue / White,0
Philips SHE3590GY/10,,In Ear,In Ear,12 Hz - 23.5 kHz,Yes,No,Closed,Gray / White,0
Philips SHE3590PK/10,,In Ear,In Ear,12 Hz - 23.5 kHz,Yes,No,Closed,Pink / White,0
Philips SHE3590PP/10,,In Ear,In Ear,12 Hz - 23.5 kHz,Yes,No,Closed,White / Purple,0
Philips SHE3590WT/10,,In Ear,In Ear,12 Hz - 23.5 kHz,No,No,Closed,White,0
Shure SE315-CL,,In Ear,In Ear,22 Hz - 18.5 kHz,No,No,Closed,Transparent,0
Shure SE315-K,248.75,https://cdna.pcpartpicker.com/static/forever/images/product/fb3a36e8bbe405b18b0e5cac02d9c41b.256p.jpg,In Ear,22 Hz - 18.5 kHz,No,No,Closed,Black,0
Shure SRH750DJ,,https://cdna.pcpartpicker.com/static/forever/images/product/5ea52975c58e1ffdc3367c201026552c.med.256p.jpg,Circumaural,5 Hz - 30 kHz,No,No,Closed,Blue / Silver,0
Rosewill RH-189,,In Ear,In Ear,10 Hz - 22 kHz,No,No,Closed,Black / Silver,0
Rosewill RHM-556,,Circumaural,Circumaural,10 Hz - 25 kHz,Yes,No,Closed,Black / Silver,0
Rosewill RHM-6308,,Circumaural,Circumaural,10 Hz - 25 kHz,Yes,No,Closed,Black / Silver,2
Rosewill RHTS-11002,,In Ear,In Ear,18 Hz - 24 kHz,No,No,Closed,Black / Gold,0
Rosewill RHTS-11004,,Circumaural,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black / Silver,4
Rosewill RHTS-12002,,Circumaural,Circumaural,20 Hz - 20 kHz,No,No,Closed,Black / Silver,0
Rosewill RHTS-12004,,In Ear,In Ear,18 Hz - 20 kHz,No,No,Closed,Brown / Black,0
Rosewill RHTS-12005,,Supra-aural,Supra-aural,8 Hz - 21 kHz,No,No,Closed,Black / Silver,0
Rosewill RHTS-12006,,In Ear,In Ear,18 Hz - 24 kHz,No,No,Closed,Brown / Black,0
Rosewill RHTS-12007,,In Ear,In Ear,18 Hz - 20 kHz,No,No,Closed,Black / Silver,0
Rosewill RHTS-12008,,In Ear,In Ear,18 Hz - 20 kHz,No,No,Closed,Black / Silver,0
Rosewill RHTS-8206,,Circumaural,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,5
Panasonic RP-DH1250-S,,Circumaural,Circumaural,5 Hz - 30 kHz,No,No,Closed,Black / Silver,0
Panasonic RP-DJ1205-S,,Supra-aural,Supra-aural,5 Hz - 30 kHz,No,No,Closed,Black / Silver,0
Panasonic RP-DJS200-K,,Supra-aural,Supra-aural,12 Hz - 25 kHz,No,No,Closed,Black,0
Panasonic RP-DJS400-A,,Supra-aural,Supra-aural,10 Hz - 27 kHz,No,No,Closed,Black / Blue,0
Panasonic RP-DJS400-D,,Supra-aural,Supra-aural,10 Hz - 27 kHz,No,No,Closed,Orange / White,0
Panasonic RP-DJS400-G,,Supra-aural,Supra-aural,10 Hz - 27 kHz,No,No,Closed,Green / White,0
Panasonic RP-HC101-K,,Supra-aural,Supra-aural,18 Hz - 24 kHz,No,No,Closed,Black / Silver,0
Panasonic RP-HC200-G,,https://cdna.pcpartpicker.com/static/forever/images/product/f626e5befb21ffacf7498c7a669db570.med.256p.jpg,Circumaural,10 Hz - 24 kHz,No,No,Closed,Black / Green,0
Panasonic RP-HC200-K,,Circumaural,Circumaural,false,No,No,Closed,Black,0
Panasonic RP-HC56-K,,Earbud,Earbud,10 Hz - 20 kHz,No,No,Closed,Black / Silver,0
Panasonic RP-HC720-K,,Circumaural,Circumaural,10 Hz - 30 kHz,No,No,Closed,Black,0
Panasonic RP-HJC120-W,,Earbud,Earbud,20 Hz - 20 kHz,No,No,Closed,White,0
Panasonic RP-HJE120-A,,Earbud,Earbud,20 Hz - 20 kHz,No,No,Closed,Blue / White,0
Panasonic RP-HJE120-D,,Earbud,Earbud,20 Hz - 20 kHz,No,No,Closed,Orange / White,0
Panasonic RP-HJE120-P,,Earbud,Earbud,20 Hz - 20 kHz,No,No,Closed,Pink / White,0
Panasonic RP-HJE120-V,11.49,https://cdna.pcpartpicker.com/static/forever/images/product/3e5a27ce8f3d70915013a1b53926361d.256p.jpg,Earbud,20 Hz - 20 kHz,No,No,Closed,White / Purple,0
Panasonic RP-HJE140-A,,Earbud,Earbud,6 Hz - 25 kHz,No,No,Closed,Blue,0
Panasonic RP-HJE140-D,,https://cdna.pcpartpicker.com/static/forever/images/product/0965fcc4403c3d50d3d40abb57527aeb.med.256p.jpg,Earbud,6 Hz - 25 kHz,No,No,Closed,Orange / White,0
Panasonic RP-HJE140-G,,Earbud,Earbud,6 Hz - 25 kHz,No,No,Closed,Green,0
Panasonic RP-HJE140-K,,Earbud,Earbud,6 Hz - 25 kHz,No,No,Closed,Black,0
Panasonic RP-HJE140-R,,Earbud,Earbud,6 Hz - 25 kHz,No,No,Closed,Red,0
Panasonic RP-HJE280-D,,Earbud,Earbud,6 Hz - 25 kHz,No,No,Closed,Orange,0
Panasonic RP-HJE280-G,,Earbud,Earbud,6 Hz - 25 kHz,No,No,Closed,Green,0
Panasonic RP-HJE290-A,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Green / Black,0
Panasonic RP-HJE290-K,,https://cdna.pcpartpicker.com/static/forever/images/product/99cedae1cd13223f1b20b6d812e9a914.med.256p.jpg,In Ear,6 Hz - 24 kHz,No,No,Closed,Black,0
Panasonic RP-HJE290-R,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Red,0
Panasonic RP-HJE290-W,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,White,0
Panasonic RP-HJE355-A,,https://cdna.pcpartpicker.com/static/forever/images/product/73bafe5ddf40f41edcad25e153817c4f.256p.jpg,In Ear,6 Hz - 24 kHz,No,No,Closed,Black / Silver,0
Panasonic RP-HJE355-K,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Black,0
Panasonic RP-HJE355-R,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,Red,0
Panasonic RP-HJE355-W,,In Ear,In Ear,6 Hz - 24 kHz,No,No,Closed,White,0
Panasonic RP-HJE450-K,,https://cdna.pcpartpicker.com/static/forever/images/product/8515dbd2600a404bf9f04ed4d5baf482.med.256p.jpg,In Ear,6 Hz - 26 kHz,No,No,Closed,Black,0
Panasonic RP-HJE450-R,,Earbud,Earbud,6 Hz - 26 kHz,No,No,Closed,Black / Red,0
Panasonic RP-HJE450-W,27.63,In Ear,In Ear,6 Hz - 26 kHz,No,No,Closed,White,0
Panasonic RP-HJE450P-R,,In Ear,In Ear,6 Hz - 26 kHz,No,No,Closed,Red / Black,0
Panasonic RP-HJE450P-W,,In Ear,In Ear,6 Hz - 26 kHz,No,No,Closed,White,0
Panasonic RP-HS220-A,,Earbud,Earbud,10 Hz - 22 kHz,No,No,Closed,Black / Blue,0
Panasonic RP-HS220-D,22.52,Earbud,Earbud,10 Hz - 22 kHz,No,No,Closed,Black / Orange,0
Panasonic RP-HS220-G,,Earbud,Earbud,10 Hz - 22 kHz,No,No,Closed,Black / Green,0
Panasonic RP-HS220-K,,Earbud,Earbud,10 Hz - 22 kHz,No,No,Closed,Black,0
Panasonic RP-HS220-P,,Earbud,Earbud,10 Hz - 22 kHz,No,No,Closed,Black / Pink,0
Panasonic RP-HS220-R,,Earbud,Earbud,10 Hz - 22 kHz,No,No,Closed,Black / Red,0
Panasonic RP-HS220-S,,Earbud,Earbud,10 Hz - 22 kHz,No,No,Closed,Black / Silver,0
Panasonic RP-HS33-D,,Earbud,Earbud,14 Hz - 24 kHz,No,No,Closed,Black / Orange,0
Panasonic RP-HS33G,,Earbud,Earbud,14 Hz - 24 kHz,No,No,Closed,Black / Green,0
