name,price,image,cas_latency,color,first_word_latency,modules,price_gb,speed
Corsair Dominator Titanium 32 GB,608.99,https://cdna.pcpartpicker.com/static/forever/images/product/d031b41e8948f8b9499ec37c6b33bd91.256p.jpg,30,White,10 ns,2 x 16GB,Price / GB£19.031,DDR5-6000
Corsair Vengeance RGB 128 GB,1289.99,https://cdna.pcpartpicker.com/static/forever/images/product/ef3ced8a8c3b89a50ac43076f6ed0a0f.256p.jpg,42,Black,13.125 ns,2 x 64GB,Price / GB,DDR5-6400
Silicon Power XPOWER Storm RGB 32 GB,,https://m.media-amazon.com/images/I/41vX08fGiSL.jpg,36,Gray,12 ns,2 x 16GB,Price / GB,DDR5-6000
Crucial Pro Overclocking 16 GB,230.65,https://cdna.pcpartpicker.com/static/forever/images/product/f8f8823490aa90aba53773c6912d49d5.256p.jpg,36,Black,12 ns,1 x 16GB,Price / GB£14.416,DDR5-6000
Kingston FURY 32 GB,419.99,https://cdna.pcpartpicker.com/static/forever/images/product/2ed5b9381e57e440ea8756d8f185827e.256p.jpg,40,White,14.286 ns,2 x 16GB,Price / GB£13.125,DDR5-5600
Kingston FURY Beast RGB 8 GB,124.99,https://cdna.pcpartpicker.com/static/forever/images/product/a89902497003d206dc10492db178cc9a.256p.jpg,40,Black,15.385 ns,1 x 8GB,Price / GB,DDR5-5200
Corsair Vengeance LPX 16 GB,35,,16,Black,10 ns,2 x 8GB,,DDR4-3200
Corsair Vengeance LPX 32 GB,60,,16,Black,10 ns,2 x 16GB,,DDR4-3200
Corsair Vengeance LPX 16 GB,50,,18,Black,10 ns,2 x 8GB,,DDR4-3600
Corsair Vengeance LPX 32 GB,75,,18,Black,10 ns,2 x 16GB,,DDR4-3600
Kingston FURY Beast 16 GB,40,,16,Black,10 ns,2 x 8GB,,DDR4-3200
Kingston FURY Beast 32 GB,65,,16,Black,10 ns,2 x 16GB,,DDR4-3200
Kingston FURY Beast 96 GB,279,,30,Black,10 ns,2 x 48GB,,DDR5-6000
Crucial Pro 96 GB,249,,38,Black,11.875 ns,2 x 48GB,,DDR5-5600
Samsung 64 GB ECC,199,,30,Black,10 ns,2 x 32GB,,DDR5-4800
Samsung 96 GB ECC,329,,30,Black,10 ns,2 x 48GB,,DDR5-4800
Samsung 128 GB ECC,429,,30,Black,10 ns,2 x 64GB,,DDR5-4800
Samsung 192 GB ECC,649,,30,Black,10 ns,4 x 48GB,,DDR5-4800
Samsung 256 GB ECC,899,,30,Black,10 ns,4 x 64GB,,DDR5-4800
